Date,Total Resting Calories burned,Total Active Calories burned,Total Active time
2021-07-03 ,3049.57,79.25,22 minutes
2021-07-04 ,1511.35,83.33,23 minutes
2021-07-05 ,1512.78,83.93,22 minutes
2021-07-06 ,1513.75,73.46,21 minutes
2021-07-07 ,1495.66,137.63,38 minutes
2021-07-08 ,1485.03,168.08,48 minutes
2021-07-09 ,1456.12,283.16,75 minutes
2021-07-10 ,1522.32,42.43,13 minutes
2021-07-11 ,1476.88,191.52,55 minutes
2021-07-12 ,1492.94,146.47,40 minutes
2021-07-14 ,3034.56,117.94,35 minutes
2021-07-15 ,1504.73,102.26,29 minutes
2021-07-16 ,1512.88,71.67,22 minutes
2021-07-17 ,1523.97,38.31,11 minutes
2021-07-18 ,1467.66,220.13,64 minutes
2021-07-19 ,1492.12,147.32,41 minutes
2021-07-22 ,4517.41,287.58,85 minutes
2021-07-23 ,1506.58,94.98,28 minutes
2021-07-24 ,1495.87,117.84,38 minutes
2021-07-25 ,1488.57,146.13,44 minutes
2021-07-27 ,1495.11,139.8,38 minutes
2021-07-28 ,1486.53,145.86,46 minutes
2021-07-29 ,1474.44,186.09,58 minutes
2021-07-30 ,1476.32,170.38,56 minutes
2021-07-31 ,1495.74,127.16,38 minutes
2021-08-01 ,1418.42,389.7,110 minutes
2021-08-02 ,1463.17,243.31,68 minutes
2021-08-03 ,1460.46,246.33,71 minutes
2021-08-05 ,1397.57,455.99,130 minutes
2021-08-06 ,2964.59,344.03,100 minutes
2021-08-07 ,1521.13,48.41,14 minutes
2021-08-08 ,1461.1,246.16,70 minutes
2021-08-09 ,1448.64,288.05,82 minutes
2021-08-10 ,1464.5,218.23,67 minutes
2021-08-11 ,1460.99,228.23,70 minutes
2021-08-13 ,1467.53,209.1,64 minutes
2021-08-14 ,1525.45,34.89,10 minutes
2021-08-15 ,1506.34,93.38,28 minutes
2021-08-16 ,1437.83,304.71,92 minutes
2021-08-17 ,1458.55,239.96,73 minutes
2021-08-18 ,1439.92,296.17,90 minutes
2021-08-19 ,1480.8,171.01,52 minutes
2021-08-20 ,1453.38,256.41,77 minutes
2021-08-21 ,1462.73,230.51,69 minutes
2021-08-25 ,5912.67,751.36,217 minutes
2021-08-26 ,1508.52,84.33,26 minutes
2021-08-27 ,1501.68,114.72,32 minutes
2021-08-29 ,3034.86,116.96,35 minutes
2021-08-30 ,1459.56,250.54,72 minutes
2021-09-01 ,1466.18,232.43,65 minutes
2021-09-03 ,4444.75,493.81,153 minutes
2021-09-04 ,1462.11,230.81,69 minutes
2021-09-05 ,1492.06,144.71,41 minutes
2021-09-06 ,1526.52,30.93,9 minutes
2021-09-07 ,1536.49,0.22,0 minutes
2021-09-08 ,1473.08,204.72,59 minutes
2021-09-09 ,1477.47,186.96,55 minutes
2021-09-10 ,1468.58,214.76,63 minutes
2021-09-11 ,1480.06,174.11,52 minutes
2021-09-12 ,1469.6,210.7,62 minutes
2021-09-13 ,1474.79,191.1,57 minutes
2021-09-14 ,1484.14,166.84,49 minutes
2021-09-16 ,2973.88,314.56,92 minutes
2021-09-17 ,1465.61,216.71,66 minutes
