Date,Duration of excercise,Types of excercises,Total distance (m),Total Incline Distance (m),Total Decline Distance (m),Total calories burned,Average speed (m/s),Average Cadence (rate/min),Average heart rate,Max. Altitude (m),Min. Altitude (m),Max. Cadence,Max. Speed(m/s),Max. Heart Rate,Min. Heart Rate
2021-07-13 ,0 minutes,Walking,75.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,0.0
2021-07-17 ,0 minutes,Running,79.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,79.0,0.0,79.0,0.0,0.0
2021-07-24 ,15 minutes,Walking,0.0,0.0,36.26,0.0,104.0,1.35,0.0,0.0,0.0,785.74,0.0,0.0,84.92
2021-07-25 ,0 minutes,Running,165.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,82.0,0.0,87.0,0.0,0.0
2021-07-26 ,16 minutes,Generic excercise,0.0,0.0,69.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-28 ,22 minutes,Walking,0.0,0.0,62.11,0.0,111.0,1.43,0.0,0.0,0.0,1336.69,0.0,0.0,88.31
2021-07-29 ,14 minutes,Walking,0.0,0.0,39.71,0.0,109.0,1.36,0.0,0.0,0.0,847.84,0.0,0.0,90.97
2021-07-30 ,26 minutes,Walking,0.0,0.0,74.34,0.0,131.0,1.67,0.0,0.0,0.0,817.84,0.0,0.0,89.3
2021-08-02 ,14 minutes,Generic excercise,0.0,0.0,56.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-03 ,13 minutes,Walking,0.0,0.0,44.24,0.0,148.0,2.03,0.0,0.0,0.0,1025.48,0.0,0.0,102.29
2021-08-08 ,2 minutes,Running,78.0,10.19,5.37,0.0,30.0,2.85,10.19,37.36,98.0,115.51,114.0,8.12,17.28
2021-08-09 ,9 minutes,Running,101.0,214.5,48.05,0.0,114.78,1.9,214.5,141.87,115.0,577.36,132.0,116.67,78.67
2021-08-22 ,0 minutes,Running,102.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,102.0,0.0,102.0,0.0,0.0
2021-08-26 ,0 minutes,Running,61.0,0.0,0.15,0.0,0.0,0.0,0.0,27.08,70.0,0.0,76.0,26.86,0.0
2021-08-27 ,0 minutes,Running,190.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,95.0,0.0,95.0,0.0,0.0
2021-09-01 ,11 minutes,Walking,0.0,0.0,31.63,0.0,168.0,2.08,0.0,0.0,0.0,665.05,0.0,0.0,92.27
2021-09-03 ,16 minutes,Walking,0.0,0.0,32.69,0.0,111.0,1.38,0.0,0.0,0.0,695.38,0.0,0.0,81.04
2021-09-04 ,23 minutes,Walking+Generic excercise,135.0,94.0,75.52,275.0,0.0,1.25,47.0,75.86,78.73,1725.68,117.0,30.5,0.0
2021-09-20 ,28 minutes,Walking,0.0,0.0,82.02,0.0,110.5,1.4,0.0,0.0,0.0,1043.48,0.0,0.0,88.96
2021-09-22 ,0 minutes,Running,100.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,102.0,0.0,103.0,0.0,0.0
2021-09-30 ,0 minutes,Running,97.0,0.0,13.64,0.0,0.0,0.0,0.0,0.0,102.0,0.0,110.0,0.0,0.0
2021-10-02 ,15 minutes,Walking,0.0,0.0,30.53,0.0,136.0,1.69,0.0,0.0,0.0,641.6,0.0,0.0,84.09
2021-10-05 ,13 minutes,Walking,0.0,0.0,36.95,0.0,153.0,2.85,0.0,0.0,0.0,801.89,0.0,0.0,79.33
2021-10-11 ,24 minutes,Running,120.0,12.31,81.09,0.0,62.5,0.83,6.16,0.0,60.0,1640.58,60.0,0.0,0.0
