,eveningsnack_count,start_date,morningsnack_count,dinner_count,breakfast_count,afternoonsnack_count,lunch_count
0,0.99,2021-07-03 ,0.99,0.99,0.99,0.99,0.99
1,0.95,2021-07-03 ,0.95,0.95,0.95,0.95,0.95
2,0.91,2021-07-03 ,0.91,0.91,0.91,0.91,0.91
3,0.87,2021-07-03 ,0.87,0.87,0.87,0.87,0.87
4,0.83,2021-07-03 ,0.83,0.83,0.83,0.83,0.83
5,0.79,2021-07-03 ,0.79,0.79,0.79,0.79,0.79
6,0.75,2021-07-03 ,0.75,0.75,0.75,0.75,0.75
7,0.71,2021-07-03 ,0.71,0.71,0.71,0.71,0.71
8,0.67,2021-07-03 ,0.67,0.67,0.67,0.67,0.67
9,0.63,2021-07-03 ,0.63,0.63,0.63,0.63,0.63

10,0.0,2021-07-13 ,0.0,0.0,1.0,0.0,0.0

