name,serving_description,start_date,potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,metric_serving_amount,sodium,dietary_fiber,total_fat,monosaturated_fat,protein,polysaturated_fat,iron,sugar,added_sugar,calcium,calorie,saturated_fat,trans_fat,carbohydrate,unit_count_per_calorie

Rice,Servings,2021-07-03 ,83.0,1.0,0.0,0.0,0.0,317 kcal,90,5.0,0.86,0.09,0.0,5.13,0.0,1.0,0.0,0.0,5.0,316.8,0.0,0.0,70.7,0.2840909
Multigrain Rice,Servings,2021-07-03 ,256.0,1.0,0.0,0.0,0.0,353 kcal,100,4.0,3.09,0.64,0.01,7.8,0.06,2.0,0.0,0.0,16.0,352.8,0.03,0.0,76.6,0.28344673
Brown Rice,Servings,2021-07-03 ,293.0,0.0,0.0,0.0,0.0,315 kcal,90,71.0,2.97,1.89,0.0,6.84,0.0,1.0,0.0,0.0,5.0,315.0,0.0,0.0,69.4,0.2857143
Cabbage Kimchi,Servings,2021-07-03 ,180.0,29.0,8.0,0.0,0.0,11 kcal,60,688.0,1.8,0.3,0.0,1.2,0.0,0.0,0.0,0.0,28.0,10.8,0.0,0.0,2.3,5.5555553
Ramen,Servings,2021-07-03 ,385.0,159.0,1.0,0.0,240.0,515 kcal,169,1252.0,3.66,20.599,2.19,15.992,0.8,2.0,0.0,0.0,42.0,515.0,1.57,0.0,73.9,0.32815534
Kimbap,Servings,2021-07-03 ,420.0,386.0,14.0,0.0,79.0,445 kcal,190,662.0,3.31,12.765,2.93,10.656,4.41,3.0,0.0,0.0,42.0,444.8,1.61,0.0,71.2,0.4271583
Banana,Servings,2021-07-03 ,380.0,7.0,10.0,0.0,0.0,80 kcal,100,2.0,1.8,0.2,0.0,1.2,0.0,1.0,0.0,0.0,4.0,80.0,0.0,0.0,21.1,1.25
Coffee + Sugar + Cream ,Servings,2021-07-03 ,72.0,18.0,0.0,0.0,7.0,43 kcal,115,5.0,0.0,1.935,0.0,0.37,0.0,0.0,0.0,0.0,12.0,42.8,0.0,0.0,5.8,2.6869159
Coffee + Beans + Black ,Servings,2021-07-03 ,60.0,0.0,0.0,0.0,0.0,3 kcal,100,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.4,33.333332
milk,Servings,2021-07-03 ,296.0,56.0,2.0,0.0,22.0,120 kcal,200,110.0,0.0,6.4,1.82,6.4,0.22,0.0,0.0,0.0,210.0,120.0,4.34,0.0,9.4,1.6666666
water,cup (240 ml),2021-07-13 ,0.0,0.0,0.0,0.0,0.0,0 kcal,237,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,
