Date,Avg. min Heart Rate (bpm),Avg. max Heart Rate (bpm),Avg. Heart Rate (bpm)
2021-07-09 ,69.28,81.83,73.3333
2021-07-10 ,66.75,80.65,74.25
2021-07-11 ,65.06,100.71,91.6471
2021-07-12 ,73.59,101.71,87.7647
2021-07-13 ,81.43,109.86,85.8571
2021-07-14 ,64.74,77.33,71.8889
2021-07-15 ,59.35,98.47,77.2353
2021-07-16 ,68.12,90.88,76.7059
2021-07-17 ,75.0,103.2,96.2
2021-07-18 ,77.5,99.25,90.625
2021-07-19 ,81.83,109.12,90.9024
2021-07-20 ,63.67,83.27,70.2667
2021-07-21 ,54.49,93.92,70.6154
2021-07-22 ,53.0,85.75,75.3333
2021-07-23 ,69.43,83.32,73.0714
2021-07-24 ,63.29,85.68,75.7368
2021-07-25 ,62.63,90.43,79.1143
2021-07-26 ,62.88,98.41,80.7941
2021-07-27 ,58.54,88.97,75.9231
2021-07-28 ,59.42,102.89,88.2105
2021-07-29 ,61.18,94.53,85.1765
2021-07-30 ,79.93,98.04,86.5357
2021-07-31 ,69.56,94.19,79.5
2021-08-01 ,68.36,108.89,91.3056
2021-08-02 ,65.26,104.21,88.0526
2021-08-03 ,71.47,99.4,87.6333
2021-08-04 ,66.65,104.1,79.3226
2021-08-05 ,61.56,85.36,72.24
2021-08-06 ,60.74,97.64,78.7436
2021-08-07 ,59.69,84.56,73.1026
2021-08-08 ,66.19,109.38,92.1875
2021-08-09 ,73.71,106.58,85.8947
2021-08-10 ,60.48,104.32,89.88
2021-08-11 ,62.14,89.2,74.8571
2021-08-12 ,58.62,90.62,78.8125
2021-08-13 ,58.62,106.04,82.9615
2021-08-15 ,64.26,87.38,72.7941
2021-08-16 ,63.87,81.83,76.3043
2021-08-17 ,61.03,89.94,75.9355
2021-08-18 ,56.0,99.14,90.5714
2021-08-19 ,66.71,92.88,74.4118
2021-08-20 ,59.29,88.71,79.5714
2021-08-21 ,64.72,81.28,69.9487
2021-08-22 ,55.36,89.83,70.5833
2021-08-23 ,51.71,89.71,68.5238
2021-08-24 ,54.64,87.13,70.1282
2021-08-25 ,55.0,85.73,74.5333
2021-08-26 ,54.0,99.58,85.5833
2021-08-28 ,70.0,89.0,77.8667
2021-08-29 ,66.19,93.65,73.8378
2021-08-30 ,56.0,109.44,84.2778
2021-08-31 ,71.16,92.72,79.875
2021-09-01 ,64.72,89.17,77.4722
2021-09-02 ,67.8,79.0,71.6
2021-09-03 ,62.89,85.94,75.4722
2021-09-04 ,55.55,93.47,71.5
2021-09-05 ,55.0,92.5,82.5714
2021-09-08 ,65.56,79.75,74.375
2021-09-09 ,63.77,94.57,80.4333
2021-09-10 ,57.22,93.14,78.5833
2021-09-11 ,55.72,86.31,76.6552
2021-09-12 ,55.0,89.75,74.3929
2021-09-13 ,51.0,106.69,90.625
2021-09-14 ,59.56,73.78,66.0556
2021-09-15 ,56.39,93.96,84.1304
2021-09-16 ,69.24,88.38,78.1034
2021-09-17 ,64.39,86.64,74.697
2021-09-18 ,57.0,95.07,88.9333
2021-09-19 ,65.0,84.09,80.0909
2021-09-20 ,77.47,106.29,88.9412
2021-09-21 ,79.58,102.7,85.925
2021-09-22 ,66.17,93.67,80.7778
2021-09-23 ,59.61,85.03,73.7576
2021-09-24 ,55.93,87.61,71.7955
2021-09-25 ,58.0,89.05,74.0
2021-09-26 ,68.85,86.76,76.4118
2021-09-27 ,62.83,81.08,72.7778
2021-09-28 ,59.47,93.27,73.9333
2021-09-29 ,65.57,90.63,80.3
2021-09-30 ,73.32,112.18,82.8421
2021-10-01 ,64.0,87.94,77.0909
2021-10-02 ,62.07,85.79,73.6897
2021-10-03 ,59.0,94.54,84.9231
2021-10-04 ,61.38,73.71,67.0
2021-10-05 ,59.13,77.93,71.7333
2021-10-06 ,56.88,86.35,74.0882
2021-10-07 ,64.23,107.27,86.6333
2021-10-08 ,62.64,109.07,84.2857
2021-10-09 ,68.6,89.86,78.9714
2021-10-10 ,66.0,108.52,82.5714
2021-10-11 ,90.4,125.0,92.5
2021-10-12 ,70.51,94.31,85.6571
2021-10-13 ,74.88,97.69,82.8125
2021-10-14 ,79.27,96.36,85.1818
2021-10-15 ,60.86,94.29,88.1429
2021-10-16 ,70.61,87.3,78.6522
2021-10-17 ,64.11,89.7,74.5185
2021-10-18 ,62.0,104.36,81.7273
2021-10-19 ,91.5,91.5,91.5
2021-10-20 ,63.65,89.65,74.6129
2021-10-21 ,57.9,88.73,72.7
2021-10-22 ,58.59,95.41,75.7059
2021-10-23 ,60.33,89.67,71.3
2021-10-24 ,54.0,86.0,69.5
2021-10-25 ,80.29,90.71,82.2857
2021-10-26 ,55.78,69.78,62.7826
2021-10-27 ,58.29,97.86,80.2857
2021-10-28 ,65.5,89.53,74.1333
2021-10-29 ,54.0,103.5,89.0
2021-10-30 ,66.97,87.94,74.0645
2021-10-31 ,56.0,99.14,94.2857
2021-11-01 ,72.52,92.68,78.3226
2021-11-02 ,63.97,92.74,78.9706
2021-11-03 ,56.0,96.0,82.7143
2021-11-04 ,73.51,86.74,77.6286
2021-11-05 ,63.56,93.78,80.3889
2021-11-06 ,68.29,98.0,82.1613
2021-11-07 ,66.22,97.65,78.0
2021-11-08 ,59.23,98.67,75.925
2021-11-09 ,68.09,100.43,86.0857
2021-11-10 ,69.0,96.0,82.0
2021-11-11 ,78.79,98.55,83.9737
2021-11-12 ,63.0,104.81,88.8095
2021-11-13 ,77.89,98.32,82.4643
2021-11-14 ,69.06,95.47,84.4375
2021-11-15 ,64.68,97.89,77.9189
2021-11-16 ,60.6,91.77,76.0571
2021-11-17 ,57.0,109.27,95.0909
2021-11-18 ,65.23,94.43,76.4571
2021-11-19 ,54.67,125.47,81.9333
2021-11-20 ,66.86,91.32,81.6786
2021-11-21 ,61.0,108.89,92.0
2021-11-22 ,71.67,103.0,85.1667
2021-11-23 ,62.11,152.0,94.2222
2021-11-24 ,71.44,88.56,74.3333
2021-11-25 ,58.09,87.61,73.3939
2021-11-26 ,57.73,99.59,80.3182
2021-11-27 ,60.0,108.0,93.875
2021-11-28 ,64.85,106.24,77.7576
