Date,Average Sleep Time,Number of times woken up during sleep,Sleep during day,Sleep during night
2021-07-09 ,9:41:01,0,Yes,Yes
2021-07-10 ,6:26:00,1,No,Yes
2021-07-11 ,1:30:00,0,No,Yes
2021-07-12 ,3:04:00,0,No,Yes
2021-07-14 ,8:06:00,1,Yes,Yes
2021-07-15 ,2:36:00,0,No,Yes
2021-07-16 ,3:19:00,0,No,Yes
2021-07-19 ,12:16:00,2,Yes,Yes
2021-07-20 ,9:49:43,0,Yes,Yes
2021-07-21 ,7:26:00,0,Yes,Yes
2021-07-23 ,7:54:03,0,Yes,Yes
2021-07-24 ,10:39:00,2,Yes,Yes
2021-07-25 ,9:13:00,1,Yes,Yes
2021-07-26 ,9:04:00,1,Yes,Yes
2021-07-27 ,11:58:00,1,Yes,Yes
2021-07-28 ,0:14:00,0,No,Yes
2021-07-29 ,2:13:00,0,No,Yes
2021-07-30 ,5:35:00,0,Yes,Yes
2021-07-31 ,6:10:00,0,Yes,Yes
2021-08-01 ,6:10:00,3,Yes,Yes
2021-08-03 ,7:05:02,0,Yes,Yes
2021-08-04 ,7:13:00,0,Yes,Yes
2021-08-05 ,8:26:00,0,Yes,Yes
2021-08-06 ,10:13:59,1,Yes,Yes
2021-08-07 ,13:07:58,1,Yes,Yes
2021-08-08 ,0:49:00,0,No,Yes
2021-08-09 ,8:12:00,2,Yes,Yes
2021-08-10 ,4:53:00,1,Yes,Yes
2021-08-11 ,10:36:00,0,Yes,Yes
2021-08-12 ,7:02:00,1,Yes,Yes
2021-08-13 ,6:55:00,0,Yes,Yes
2021-08-15 ,8:45:00,1,Yes,Yes
2021-08-16 ,11:03:36,0,Yes,Yes
2021-08-17 ,7:21:00,0,Yes,Yes
2021-08-19 ,7:34:00,0,Yes,Yes
2021-08-20 ,2:53:00,1,Yes,Yes
2021-08-21 ,11:41:00,1,Yes,Yes
2021-08-22 ,6:58:44,0,Yes,Yes
2021-08-23 ,7:20:48,2,Yes,Yes
2021-08-24 ,9:48:05,0,Yes,Yes
2021-08-25 ,3:57:00,1,No,Yes
2021-08-28 ,2:57:00,0,No,Yes
2021-08-29 ,6:12:00,0,No,Yes
2021-08-30 ,1:05:00,0,No,Yes
2021-08-31 ,8:50:00,0,Yes,Yes
2021-09-01 ,6:38:02,2,Yes,Yes
2021-09-02 ,2:36:13,1,No,Yes
2021-09-03 ,10:25:00,2,Yes,Yes
2021-09-04 ,11:40:00,2,Yes,Yes
2021-09-05 ,0:20:00,0,No,Yes
2021-09-08 ,3:26:00,0,No,Yes
2021-09-10 ,8:07:25,0,Yes,Yes
2021-09-11 ,9:02:00,1,Yes,Yes
2021-09-12 ,7:52:00,0,Yes,Yes
2021-09-13 ,1:11:00,0,Yes,Yes
2021-09-14 ,5:35:00,0,Yes,Yes
2021-09-15 ,1:20:51,0,Yes,No
2021-09-16 ,5:36:00,1,Yes,Yes
2021-09-17 ,6:45:00,0,Yes,Yes
2021-09-18 ,1:32:00,0,No,Yes
2021-09-19 ,1:08:00,0,No,Yes
2021-09-21 ,11:55:01,1,Yes,Yes
2021-09-22 ,6:23:06,0,Yes,Yes
2021-09-23 ,6:43:00,0,Yes,Yes
2021-09-24 ,10:36:25,1,Yes,Yes
2021-09-25 ,2:17:00,0,No,Yes
2021-09-26 ,3:17:00,0,No,Yes
2021-09-27 ,9:32:03,1,Yes,Yes
2021-09-28 ,7:35:00,1,Yes,Yes
2021-09-29 ,9:22:00,1,Yes,Yes
2021-09-30 ,9:06:05,1,Yes,Yes
2021-10-01 ,9:46:09,0,Yes,Yes
2021-10-02 ,9:26:02,1,Yes,Yes
2021-10-03 ,1:07:00,0,No,Yes
2021-10-04 ,6:42:05,1,Yes,Yes
2021-10-06 ,6:50:00,0,Yes,Yes
2021-10-07 ,5:20:00,0,Yes,Yes
2021-10-08 ,1:15:00,0,No,Yes
