Date,Total sleep time,Avg. mental recovery,Avg. physical recovery,Avg. movement awakening,Total sleep cycles,Avg. sleep efficiency,Avg. sleep score
2021-07-09 ,10 hours 42 min,80.27,43.08,21.9393,4.0,89.45,66.33
2021-07-10 ,7 hours 7 min,79.41,24.15,13.5246,4.0,89.69,52.77
2021-07-12 ,3 hours 5 min,74.0,19.0,44.0,1.0,81.28,38.0
2021-07-14 ,9 hours 11 min,87.0,56.0,18.0,4.0,90.12,61.0
2021-07-15 ,2 hours 37 min,73.0,16.0,33.0,1.0,82.28,44.0
2021-07-16 ,3 hours 20 min,62.0,20.0,18.0,2.0,86.96,39.0
2021-07-19 ,12 hours 21 min,73.71,41.59,47.4953,6.0,81.11,60.81
2021-07-20 ,9 hours 27 min,80.9,49.94,34.3774,5.0,87.18,62.21
2021-07-21 ,7 hours 28 min,75.0,60.0,19.0,2.0,90.67,73.0
2021-07-23 ,8 hours 9 min,80.33,46.66,16.2638,4.0,89.91,75.46
2021-07-24 ,10 hours 23 min,80.15,47.3,20.4575,4.0,89.25,70.23
2021-07-25 ,8 hours 59 min,76.61,39.43,25.5102,4.0,85.96,71.71
2021-07-26 ,9 hours 7 min,77.57,48.52,31.4095,2.0,85.38,59.59
2021-07-27 ,12 hours 38 min,81.28,49.83,37.0396,4.0,85.21,53.56
2021-07-29 ,2 hours 15 min,64.0,30.0,27.0,1.0,85.29,64.0
2021-07-30 ,5 hours 36 min,86.0,55.0,11.0,4.0,89.01,78.0
2021-07-31 ,6 hours 12 min,85.0,47.0,16.0,3.0,92.51,76.0
2021-08-01 ,8 hours 24 min,76.78,27.0,13.2222,3.0,93.48,51.44
2021-08-03 ,6 hours 19 min,76.13,31.93,30.6755,3.0,84.83,61.73
2021-08-04 ,7 hours 14 min,93.0,65.0,19.0,5.0,89.95,83.0
2021-08-05 ,8 hours 27 min,88.0,63.0,19.0,4.0,90.68,76.0
2021-08-06 ,9 hours 35 min,76.86,23.28,17.7043,5.0,88.66,54.91
2021-08-07 ,12 hours 44 min,74.44,36.95,19.7435,6.0,89.36,64.05
2021-08-09 ,9 hours 17 min,74.36,43.73,12.0,2.0,91.42,59.63
2021-08-10 ,5 hours 4 min,80.35,40.07,16.7961,4.0,89.92,67.09
2021-08-11 ,10 hours 38 min,69.0,70.0,20.0,3.0,91.55,57.0
2021-08-12 ,8 hours 11 min,75.0,53.0,24.0,3.0,89.86,62.0
2021-08-13 ,6 hours 56 min,89.0,45.0,22.0,4.0,90.17,71.0
2021-08-15 ,9 hours 7 min,75.08,40.62,17.2523,5.0,92.41,69.76
