Date,Duration of walking,Total steps,Total calories burned,Average speed (m/s),Total Distance (m)
2021-10-26 ,21 minutes,2224,85.04,1.2361,1660.54
2021-10-27 ,71 minutes,8103,298.88,0.8272,6205.86
2021-10-28 ,47 minutes,6180,229.96,0.7155,4750.7
2021-10-29 ,47 minutes,5299,194.97,0.8144,3981.31
2021-10-30 ,45 minutes,5442,197.78,0.7958,4123.24
2021-10-31 ,11 minutes,2223,79.82,0.5638,1721.42
2021-11-01 ,52 minutes,5462,203.34,1.0432,4140.01
2021-11-02 ,32 minutes,4392,157.15,0.8,3369.94
2021-11-03 ,33 minutes,4080,149.05,0.7414,3093.74
2021-11-04 ,52 minutes,5581,205.89,0.8842,4204.18
2021-11-05 ,42 minutes,5084,184.95,0.802,3834.35
2021-11-06 ,52 minutes,6657,244.76,0.7683,5081.53
2021-11-07 ,35 minutes,4599,165.26,0.7985,3502.65
2021-11-08 ,35 minutes,4059,146.59,0.9517,3090.14
2021-11-09 ,41 minutes,4819,176.17,0.8618,3671.71
2021-11-10 ,57 minutes,5901,220.27,0.9389,4504.58
2021-11-11 ,24 minutes,3382,121.24,0.7267,2585.83
2021-11-12 ,40 minutes,4881,177.4,0.8864,3700.3
2021-11-13 ,48 minutes,5642,208.25,0.8433,4326.74
2021-11-14 ,37 minutes,4701,171.29,0.7482,3571.57
2021-11-15 ,41 minutes,4717,175.85,0.8546,3582.8
2021-11-16 ,57 minutes,6289,228.77,0.9206,4802.31
2021-11-17 ,29 minutes,3930,142.98,0.7207,3012.01
2021-11-18 ,43 minutes,4944,177.94,0.8516,3755.23
2021-11-19 ,32 minutes,4016,146.29,0.7978,3046.7
2021-11-20 ,16 minutes,3589,128.21,0.3992,2798.61
2021-11-21 ,32 minutes,3955,143.88,0.7827,2995.43
2021-11-22 ,39 minutes,4617,166.0,0.9872,3552.9
2021-11-23 ,26 minutes,2659,100.93,1.1802,1975.48
2021-11-24 ,23 minutes,4174,151.0,0.5613,3258.4
2021-11-25 ,33 minutes,4670,169.07,0.6963,3599.0
2021-11-26 ,49 minutes,5380,195.91,0.9042,4091.78
2021-11-27 ,56 minutes,6225,230.13,0.8587,4719.06
2021-11-28 ,57 minutes,6177,229.37,0.9037,4757.09
2021-11-29 ,35 minutes,3460,124.29,1.1055,2671.65
