Date,Step Count,Speed (m/s),Distance,Calories
2021-07-03 ,2080,1.29,1541.24,79.25
2021-07-04 ,2185,1.26,1623.68,83.33
2021-07-05 ,2122,1.33,1561.34,83.93
2021-07-06 ,1931,1.27,1447.91,73.46
2021-07-07 ,3621,1.24,2698.54,137.63
2021-07-08 ,11555,1.24,8595.3717,451.24
2021-07-09 ,8381,1.15,6280.728,325.23
2021-07-10 ,5111,0.61,3817.3457,191.52
2021-07-11 ,4018,0.46,3053.701,142.32
2021-07-12 ,4992,1.01,3705.4987,190.13
2021-07-13 ,3032,0.84,2288.9261,109.73
2021-07-14 ,4156,0.75,3166.6897,151.26
2021-07-15 ,2281,0.36,1760.3467,81.4
2021-07-16 ,4125,0.52,3136.9468,146.81
2021-07-17 ,8010,0.64,6088.1185,294.2
2021-07-18 ,8629,0.58,6589.8408,311.66
2021-07-19 ,5726,0.91,4293.2045,220.91
2021-07-20 ,3842,0.73,2882.1435,142.97
2021-07-21 ,3446,0.45,2624.2246,121.64
2021-07-22 ,2581,0.61,1934.3542,94.98
2021-07-23 ,2060,1.23,1524.35,78.26
2021-07-24 ,12390,0.57,9483.9318,457.96
2021-07-25 ,10158,0.53,7720.7145,372.64
2021-07-26 ,9427,0.52,7141.816,340.13
2021-07-27 ,10037,0.72,7542.5885,371.65
2021-07-28 ,8510,0.85,6395.601,319.67
2021-07-29 ,4777,0.48,3648.6624,169.54
2021-07-30 ,7552,0.4,5772.8781,271.74
2021-07-31 ,12876,0.61,9782.3574,477.35
2021-08-01 ,13503,0.51,10326.3914,491.11
2021-08-02 ,11853,0.91,9021.7126,443.58
2021-08-03 ,16630,0.64,12617.718,607.55
2021-08-04 ,10176,0.54,7878.785,359.96
2021-08-05 ,12655,0.6,9535.4291,460.98
2021-08-06 ,8736,0.81,6558.2952,328.5
2021-08-07 ,7676,0.59,5840.8633,284.99
2021-08-08 ,13373,0.89,10107.565,499.36
2021-08-09 ,6311,1.34,4724.33,236.76
2021-08-10 ,10126,0.74,7759.9895,361.06
2021-08-11 ,13097,0.35,10108.166,459.85
2021-08-12 ,12464,0.32,9642.5997,437.62
2021-08-13 ,5654,0.31,4382.5996,198.24
2021-08-14 ,986,1.32,745.78,34.89
2021-08-15 ,14217,0.45,10837.2157,516.23
2021-08-16 ,14370,0.37,11079.8444,507.15
2021-08-17 ,13995,0.46,10734.219,497.35
2021-08-18 ,5984,0.36,4637.0996,210.18
2021-08-19 ,18860,0.58,14292.7999,679.96
2021-08-20 ,12408,0.43,9494.7656,444.68
2021-08-21 ,14023,0.51,10682.3736,511.21
2021-08-22 ,14846,0.58,11219.876,538.36
2021-08-23 ,5871,1.17,4337.54,223.5
2021-08-24 ,4628,0.77,3520.3621,165.58
2021-08-25 ,7537,0.55,5747.766,270.39
2021-08-26 ,1782,0.29,1381.127,63.0
2021-08-27 ,8439,1.22,6404.7449,305.02
2021-08-28 ,3103,0.96,2332.6168,113.23
2021-08-29 ,13272,0.66,10020.5285,480.74
2021-08-30 ,12087,0.97,9080.3946,458.32
2021-08-31 ,5120,1.28,3845.94,195.77
2021-09-01 ,18603,0.72,14018.5236,685.41
2021-09-02 ,3295,1.18,2477.6469,123.52
2021-09-03 ,14423,0.8,10879.1712,535.81
2021-09-04 ,9265,0.55,7074.604,332.51
2021-09-05 ,3034,0.38,2310.7656,107.15
2021-09-06 ,847,1.32,639.11,30.93
2021-09-07 ,5660,0.51,4299.5642,204.94
