Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-09 ,80.27,89.45,66.33
2021-07-10 ,79.41,89.69,52.77
2021-07-12 ,74.0,81.28,38.0
2021-07-14 ,87.0,90.12,61.0
2021-07-15 ,73.0,82.28,44.0
2021-07-16 ,62.0,86.96,39.0
2021-07-19 ,73.71,81.11,60.81
2021-07-20 ,80.9,87.18,62.21
2021-07-21 ,75.0,90.67,73.0
2021-07-23 ,80.33,89.91,75.46
2021-07-24 ,80.15,89.25,70.23
2021-07-25 ,76.61,85.96,71.71
2021-07-26 ,77.57,85.38,59.59
2021-07-27 ,81.28,85.21,53.56
2021-07-29 ,64.0,85.29,64.0
2021-07-30 ,86.0,89.01,78.0
2021-07-31 ,85.0,92.51,76.0
2021-08-01 ,76.78,93.48,51.44
2021-08-03 ,76.13,84.83,61.73
2021-08-04 ,93.0,89.95,83.0
2021-08-05 ,88.0,90.68,76.0
2021-08-06 ,76.86,88.66,54.91
2021-08-07 ,74.44,89.36,64.05
2021-08-09 ,74.36,91.42,59.63
2021-08-10 ,80.35,89.92,67.09
2021-08-11 ,69.0,91.55,57.0
2021-08-12 ,75.0,89.86,62.0
2021-08-13 ,89.0,90.17,71.0
2021-08-15 ,75.08,92.41,69.76
2021-08-16 ,73.01,86.24,50.38
2021-08-17 ,81.0,92.31,62.0
2021-08-19 ,72.0,89.48,72.0
2021-08-20 ,72.51,83.56,49.02
2021-08-21 ,60.29,90.61,51.47
2021-08-22 ,75.53,85.21,49.86
2021-08-23 ,74.61,90.47,54.85
2021-08-24 ,71.61,86.59,66.31
2021-08-25 ,84.0,91.53,56.0
2021-08-28 ,74.0,89.62,63.0
2021-08-29 ,70.0,86.67,47.0
2021-08-30 ,70.0,72.0,31.0
2021-08-31 ,80.0,85.71,64.0
2021-09-01 ,53.92,86.03,53.42
2021-09-02 ,75.51,87.01,43.0
2021-09-03 ,76.18,82.37,59.35
2021-09-04 ,77.01,89.9,68.74
2021-09-08 ,80.0,94.76,52.0
2021-09-10 ,75.68,92.42,69.27
2021-09-11 ,83.18,87.39,63.21
2021-09-12 ,70.0,86.74,79.0
2021-09-13 ,70.0,82.43,36.0
2021-09-14 ,69.0,90.27,55.0
2021-09-15 ,73.0,87.1,45.0
2021-09-16 ,75.57,80.69,53.66
2021-09-17 ,89.0,92.16,80.0
2021-09-18 ,74.0,74.0,44.0
2021-09-19 ,73.0,83.78,62.0
2021-09-21 ,78.22,90.14,70.89
2021-09-22 ,75.95,89.24,71.0
2021-09-23 ,83.0,93.09,71.0
2021-09-24 ,73.21,88.69,50.15
2021-09-25 ,74.0,86.33,64.0
2021-09-26 ,83.0,90.64,73.0
2021-09-27 ,75.94,88.62,57.4
2021-09-28 ,77.76,88.35,76.42
2021-09-29 ,74.0,88.8,71.26
2021-09-30 ,69.18,82.56,50.39
2021-10-01 ,71.36,87.99,63.58
2021-10-02 ,82.5,91.6,73.75
2021-10-03 ,70.0,74.65,46.0
2021-10-04 ,74.0,84.91,63.83
2021-10-06 ,81.0,91.02,67.0
2021-10-07 ,70.0,90.74,69.0
2021-10-08 ,70.0,77.92,46.0
2021-10-09 ,78.75,85.46,64.83
2021-10-16 ,80.0,87.61,70.0
2021-10-17 ,78.81,90.95,71.19
2021-10-18 ,79.0,83.17,59.0
2021-10-20 ,81.0,89.36,78.0
2021-10-21 ,75.87,84.04,51.84
2021-10-22 ,91.0,91.03,66.0
2021-10-23 ,78.25,80.8,58.08
2021-10-25 ,75.0,98.63,69.0
2021-10-26 ,86.35,94.23,76.82
2021-10-27 ,70.0,89.57,34.0
2021-10-28 ,76.79,91.83,71.38
2021-10-30 ,77.67,89.33,77.04
2021-11-01 ,83.0,84.37,58.73
2021-11-02 ,94.0,86.58,66.0
2021-11-04 ,74.0,87.23,64.0
2021-11-05 ,77.02,87.83,52.2
2021-11-06 ,71.0,88.4,56.0
2021-11-07 ,80.12,89.02,69.46
2021-11-08 ,76.81,91.72,65.3
2021-11-09 ,82.9,87.43,61.43
2021-11-11 ,66.83,88.18,59.61
2021-11-12 ,57.0,87.43,41.0
2021-11-13 ,85.63,90.51,61.96
2021-11-14 ,62.0,87.63,73.0
2021-11-15 ,79.43,89.06,66.81
2021-11-16 ,95.0,87.9,63.0
2021-11-18 ,66.81,87.11,52.3
2021-11-19 ,83.44,87.37,74.87
2021-11-20 ,75.53,89.2,64.42
2021-11-21 ,73.0,74.71,43.0
2021-11-23 ,75.0,100.0,70.0
2021-11-24 ,81.29,89.42,81.82
2021-11-25 ,70.38,90.69,53.62
2021-11-26 ,88.0,92.24,64.0
2021-11-28 ,79.85,88.99,64.08
2021-11-29 ,75.0,86.36,45.0
