Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-07-03 ,2080,1.29,1541.24,No
2021-07-04 ,2185,1.26,1623.68,No
2021-07-06 ,1931,1.27,1447.91,No
2021-07-07 ,3621,1.24,2698.54,No
2021-07-08 ,11555,1.24,8595.37,Yes
2021-07-09 ,8381,1.15,6280.73,No
2021-07-10 ,5111,0.61,3817.35,No
2021-07-11 ,4018,0.46,3053.7,No
2021-07-12 ,4992,1.0,3705.5,No
2021-07-13 ,3032,0.84,2288.93,No
2021-07-14 ,4156,0.75,3166.69,No
2021-07-15 ,1928,1.29,1458.52,No
2021-07-16 ,4125,0.51,3136.95,No
2021-07-17 ,8010,0.64,6088.12,No
2021-07-18 ,8629,0.58,6589.84,No
2021-07-19 ,5726,0.9,4293.2,No
2021-07-20 ,3842,0.72,2882.14,No
2021-07-21 ,3446,0.45,2624.22,No
2021-07-22 ,2530,0.3,1954.38,No
2021-07-23 ,2060,1.23,1524.35,No
2021-07-24 ,12390,0.57,9483.93,Yes
2021-07-25 ,10158,0.52,7720.71,Yes
2021-07-26 ,9427,0.52,7141.82,No
2021-07-27 ,7099,0.5,5374.64,No
2021-07-28 ,8510,0.85,6395.6,No
2021-07-29 ,4777,0.48,3648.66,No
2021-07-30 ,7552,0.4,5772.88,No
2021-07-31 ,12876,0.6,9782.36,Yes
2021-08-01 ,13503,0.51,10326.39,Yes
2021-08-02 ,11853,0.91,9021.71,Yes
2021-08-03 ,16630,0.64,12617.72,Yes
2021-08-04 ,10176,0.54,7878.78,Yes
2021-08-05 ,8310,0.71,6196.53,No
2021-08-06 ,8736,0.81,6558.3,No
2021-08-07 ,7676,0.59,5840.86,No
2021-08-08 ,13373,0.89,10107.56,Yes
2021-08-09 ,6311,1.34,4724.33,No
2021-08-10 ,10126,0.73,7759.99,Yes
2021-08-11 ,13097,0.35,10108.17,Yes
2021-08-12 ,12464,0.32,9642.6,Yes
2021-08-13 ,1014,1.37,774.49,No
2021-08-14 ,986,1.32,745.78,No
2021-08-15 ,14217,0.45,10837.22,Yes
2021-08-16 ,14370,0.37,11079.84,Yes
2021-08-17 ,13995,0.46,10734.22,Yes
2021-08-18 ,5984,0.36,4637.1,No
2021-08-19 ,18860,0.58,14292.8,Yes
2021-08-20 ,12408,0.43,9494.77,Yes
2021-08-21 ,14023,0.51,10682.37,Yes
2021-08-22 ,14846,0.58,11219.88,Yes
2021-08-23 ,5871,1.17,4337.54,No
2021-08-24 ,4628,0.77,3520.36,No
2021-08-25 ,7537,0.55,5747.77,No
2021-08-26 ,1782,0.29,1381.13,No
2021-08-27 ,8439,1.22,6404.74,No
2021-08-28 ,3103,0.96,2332.62,No
2021-08-29 ,7613,0.77,5723.89,No
2021-08-30 ,12087,0.96,9080.39,Yes
2021-08-31 ,5120,1.28,3845.94,No
2021-09-01 ,18603,0.71,14018.52,Yes
2021-09-02 ,3295,1.18,2477.65,No
2021-09-03 ,14423,0.79,10879.17,Yes
2021-09-04 ,9265,0.55,7074.6,No
2021-09-05 ,3034,0.38,2310.77,No
2021-09-06 ,847,1.32,639.11,No
2021-09-07 ,5660,0.51,4299.56,No
2021-09-08 ,9161,0.93,6885.67,No
2021-09-09 ,10126,0.8,7643.25,Yes
2021-09-10 ,9318,0.36,7149.3,No
2021-09-11 ,9489,0.44,7237.48,No
2021-09-12 ,9903,0.42,7597.05,No
2021-09-13 ,8396,0.74,6398.74,No
2021-09-14 ,9493,0.84,7195.88,No
2021-09-15 ,7482,0.4,5754.66,No
2021-09-16 ,8885,0.44,6804.9,No
2021-09-17 ,10246,0.84,7766.5,Yes
2021-09-18 ,9282,0.39,7132.19,No
2021-09-19 ,18677,1.01,14040.12,Yes
2021-09-20 ,18433,1.03,13568.28,Yes
2021-09-21 ,3970,1.17,2930.98,No
2021-09-22 ,19511,0.8,14691.53,Yes
2021-09-23 ,8661,1.02,6543.94,No
2021-09-24 ,4082,0.97,3043.86,No
2021-09-25 ,783,0.19,605.22,No
2021-09-26 ,13265,0.55,10055.86,Yes
2021-09-27 ,4955,0.3,3807.21,No
2021-09-28 ,3357,0.39,2560.67,No
2021-09-29 ,5479,0.32,4198.77,No
2021-09-30 ,5355,0.58,4076.36,No
2021-10-01 ,10213,0.37,7756.98,Yes
2021-10-02 ,9531,0.35,7246.78,No
2021-10-03 ,6052,0.85,4538.41,No
2021-10-04 ,10494,0.71,7985.56,Yes
2021-10-05 ,14655,0.84,10903.87,Yes
2021-10-06 ,13098,0.49,9988.74,Yes
2021-10-07 ,11635,0.94,8788.49,Yes
2021-10-08 ,4942,0.43,3807.95,No
2021-10-09 ,13105,0.69,9873.37,Yes
2021-10-10 ,11108,0.89,8377.46,Yes
2021-10-11 ,15963,0.96,11949.92,Yes
2021-10-12 ,16175,0.93,11984.07,Yes
2021-10-13 ,6270,1.18,4653.9,No
2021-10-14 ,13497,0.46,10241.94,Yes
2021-10-15 ,3104,0.26,2396.51,No
2021-10-16 ,12034,0.48,9291.84,Yes
2021-10-17 ,4501,0.79,3415.08,No
2021-10-18 ,3010,0.48,2313.07,No
2021-10-19 ,118,1.15,86.39,No
2021-10-20 ,13150,0.45,10062.0,Yes
2021-10-21 ,7880,0.3,6049.52,No
2021-10-22 ,7369,0.28,5635.59,No
2021-10-23 ,9513,0.39,7287.27,No
2021-10-24 ,3956,1.3,2977.32,No
2021-10-25 ,4635,1.08,3385.52,No
2021-10-26 ,10241,0.69,7753.45,Yes
2021-10-27 ,5304,0.28,4085.77,No
2021-10-28 ,10931,0.43,8308.8,Yes
2021-10-29 ,9127,0.46,6870.94,No
2021-10-30 ,11071,0.42,8428.84,Yes
2021-10-31 ,5947,0.58,4526.34,No
2021-11-01 ,6963,0.81,5272.61,No
2021-11-02 ,5983,0.26,4583.63,No
2021-11-03 ,3127,0.26,2398.74,No
2021-11-04 ,11060,0.34,8376.87,Yes
2021-11-05 ,7007,0.56,5289.32,No
2021-11-06 ,7886,0.29,6043.15,No
2021-11-07 ,5475,0.37,4190.86,No
2021-11-08 ,3132,0.28,2404.85,No
2021-11-09 ,5591,0.64,4234.9,No
2021-11-10 ,6290,0.32,4815.72,No
2021-11-11 ,5526,0.36,4225.73,No
2021-11-12 ,6614,0.29,5069.17,No
2021-11-13 ,7143,0.27,5473.17,No
2021-11-14 ,6492,0.35,4938.26,No
2021-11-15 ,6805,0.62,5133.84,No
2021-11-16 ,7171,0.28,5501.38,No
2021-11-17 ,2946,0.24,2273.84,No
2021-11-18 ,11451,0.46,8697.63,Yes
2021-11-19 ,6198,0.23,4769.34,No
2021-11-20 ,5961,0.23,4581.27,No
2021-11-21 ,5745,0.42,4389.97,No
2021-11-22 ,2581,1.35,1956.53,No
2021-11-23 ,6458,0.62,4904.81,No
2021-11-24 ,3367,0.21,2611.19,No
2021-11-25 ,12127,0.36,9310.73,Yes
2021-11-26 ,3599,0.29,2756.64,No
2021-11-27 ,10499,0.53,7941.89,Yes
2021-11-28 ,12684,0.56,9722.24,Yes
