Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-09 ,7 hours 49 min,4 hours 39 min,21:11:29,23:54:30,16,Yes,3 hours 10 min
2021-07-10 ,5 hours 38 min,1 hours 44 min,00:22:30,23:47:51,13,Yes,3 hours 54 min
2021-07-11 ,0 hours 58 min,0 hours 0 min,00:02:51,01:32:51,3,Yes,0 hours 58 min
2021-07-12 ,3 hours 4 min,0 hours 0 min,05:42:56,08:46:56,6,Yes,3 hours 4 min
2021-07-14 ,7 hours 32 min,5 hours 31 min,21:01:35,22:49:35,19,Yes,2 hours 1 min
2021-07-15 ,2 hours 36 min,0 hours 0 min,04:16:56,06:52:56,4,Yes,2 hours 36 min
2021-07-16 ,1 hours 52 min,0 hours 0 min,05:32:48,08:51:48,5,Yes,1 hours 52 min
2021-07-19 ,10 hours 50 min,6 hours 39 min,06:13:05,23:59:07,21,Yes,4 hours 11 min
2021-07-20 ,8 hours 21 min,7 hours 11 min,21:00:50,23:38:33,19,Yes,1 hours 10 min
2021-07-21 ,5 hours 43 min,4 hours 21 min,21:36:06,23:29:06,16,Yes,1 hours 22 min
2021-07-23 ,6 hours 48 min,4 hours 12 min,21:01:08,23:59:11,18,Yes,2 hours 36 min
2021-07-24 ,8 hours 58 min,4 hours 5 min,00:00:11,23:53:34,22,Yes,4 hours 53 min
2021-07-25 ,6 hours 58 min,4 hours 46 min,00:03:34,23:32:07,17,Yes,2 hours 12 min
2021-07-26 ,7 hours 26 min,6 hours 7 min,21:02:13,22:41:13,15,Yes,1 hours 19 min
2021-07-27 ,9 hours 9 min,5 hours 58 min,07:39:12,23:56:15,22,Yes,3 hours 11 min
2021-07-28 ,0 hours 14 min,0 hours 0 min,00:18:15,00:32:15,0,Yes,0 hours 14 min
2021-07-29 ,2 hours 13 min,1 hours 56 min,08:43:10,08:43:10,2,Yes,0 hours 17 min
2021-07-30 ,5 hours 3 min,4 hours 18 min,21:06:09,21:33:09,12,Yes,0 hours 45 min
2021-07-31 ,4 hours 49 min,4 hours 49 min,20:23:18,21:00:18,11,No,0 hours 0 min
2021-08-01 ,5 hours 8 min,3 hours 49 min,21:21:39,23:18:39,16,Yes,1 hours 19 min
2021-08-03 ,5 hours 44 min,5 hours 11 min,21:09:35,21:28:35,14,Yes,0 hours 33 min
2021-08-04 ,6 hours 41 min,6 hours 23 min,21:05:45,21:11:45,14,Yes,0 hours 18 min
2021-08-05 ,5 hours 24 min,5 hours 4 min,21:12:52,21:13:52,14,Yes,0 hours 20 min
2021-08-06 ,7 hours 40 min,2 hours 45 min,06:33:11,23:34:16,18,Yes,4 hours 55 min
2021-08-07 ,9 hours 0 min,3 hours 5 min,03:35:19,23:59:03,28,Yes,5 hours 55 min
2021-08-08 ,0 hours 49 min,0 hours 0 min,00:00:03,00:49:03,1,Yes,0 hours 49 min
2021-08-09 ,6 hours 35 min,6 hours 5 min,21:00:29,21:29:29,16,Yes,0 hours 30 min
2021-08-10 ,4 hours 15 min,3 hours 46 min,08:32:36,08:56:36,9,Yes,0 hours 29 min
2021-08-11 ,6 hours 41 min,5 hours 54 min,21:04:22,21:38:22,24,Yes,0 hours 47 min
2021-08-12 ,6 hours 22 min,5 hours 30 min,21:08:53,22:00:53,14,Yes,0 hours 52 min
2021-08-13 ,6 hours 55 min,6 hours 55 min,,,13,No,0 hours 0 min
2021-08-15 ,8 hours 45 min,6 hours 20 min,07:05:48,21:18:06,21,Yes,2 hours 25 min
2021-08-16 ,9 hours 36 min,9 hours 9 min,21:15:01,21:20:01,20,Yes,0 hours 27 min
2021-08-17 ,5 hours 3 min,4 hours 32 min,21:06:25,21:59:25,13,Yes,0 hours 31 min
2021-08-19 ,6 hours 9 min,5 hours 19 min,21:00:26,21:31:26,12,Yes,0 hours 50 min
2021-08-20 ,2 hours 53 min,2 hours 2 min,08:27:45,08:56:45,6,Yes,0 hours 51 min
2021-08-21 ,8 hours 48 min,7 hours 8 min,08:57:57,23:04:08,25,Yes,1 hours 40 min
2021-08-22 ,6 hours 58 min,5 hours 9 min,21:13:55,22:47:55,12,Yes,1 hours 49 min
2021-08-23 ,6 hours 16 min,4 hours 24 min,21:11:39,23:24:40,16,Yes,1 hours 52 min
2021-08-24 ,7 hours 5 min,4 hours 15 min,21:07:45,23:57:45,16,Yes,2 hours 50 min
2021-08-25 ,3 hours 57 min,0 hours 0 min,00:00:45,08:39:23,8,Yes,3 hours 57 min
2021-08-28 ,2 hours 26 min,0 hours 0 min,05:05:01,08:02:01,5,Yes,2 hours 26 min
2021-08-29 ,5 hours 31 min,2 hours 50 min,21:09:01,23:37:01,12,Yes,2 hours 41 min
2021-08-30 ,1 hours 5 min,0 hours 0 min,06:00:04,07:05:04,2,Yes,1 hours 5 min
2021-08-31 ,7 hours 47 min,4 hours 58 min,21:02:53,23:56:53,18,Yes,2 hours 49 min
2021-09-01 ,5 hours 59 min,3 hours 14 min,00:02:53,23:26:01,14,Yes,2 hours 45 min
2021-09-02 ,1 hours 23 min,0 hours 0 min,00:00:01,23:55:48,5,Yes,1 hours 23 min
2021-09-03 ,8 hours 50 min,3 hours 18 min,00:02:48,23:31:50,22,Yes,5 hours 32 min
2021-09-04 ,9 hours 46 min,6 hours 24 min,04:40:57,23:37:04,24,Yes,3 hours 22 min
2021-09-05 ,0 hours 20 min,0 hours 0 min,00:04:04,00:24:04,0,Yes,0 hours 20 min
2021-09-08 ,1 hours 0 min,0 hours 56 min,21:19:53,21:23:53,5,Yes,0 hours 4 min
2021-09-10 ,6 hours 18 min,6 hours 18 min,,,15,No,0 hours 0 min
2021-09-11 ,7 hours 18 min,4 hours 46 min,21:06:14,23:22:14,21,Yes,2 hours 32 min
2021-09-12 ,7 hours 52 min,6 hours 53 min,21:15:01,21:56:01,14,Yes,0 hours 59 min
2021-09-13 ,1 hours 11 min,1 hours 11 min,,,3,No,0 hours 0 min
2021-09-14 ,4 hours 21 min,3 hours 7 min,21:14:24,21:58:24,11,Yes,1 hours 14 min
2021-09-15 ,1 hours 20 min,1 hours 20 min,,,1,No,0 hours 0 min
2021-09-16 ,5 hours 36 min,2 hours 39 min,05:10:41,08:05:41,13,Yes,2 hours 57 min
2021-09-17 ,5 hours 30 min,4 hours 35 min,21:01:38,21:42:38,16,Yes,0 hours 55 min
2021-09-18 ,1 hours 32 min,1 hours 24 min,08:52:46,08:52:46,3,Yes,0 hours 8 min
2021-09-19 ,1 hours 8 min,0 hours 0 min,06:55:35,08:03:35,2,Yes,1 hours 8 min
2021-09-21 ,9 hours 50 min,7 hours 0 min,07:50:15,23:56:15,23,Yes,2 hours 50 min
2021-09-22 ,6 hours 23 min,5 hours 18 min,21:07:30,21:56:30,13,Yes,1 hours 5 min
2021-09-23 ,3 hours 19 min,3 hours 3 min,21:05:31,21:21:31,10,Yes,0 hours 16 min
2021-09-24 ,10 hours 36 min,6 hours 18 min,04:18:38,22:14:07,22,Yes,4 hours 18 min
2021-09-25 ,2 hours 17 min,0 hours 0 min,05:05:31,07:22:31,5,Yes,2 hours 17 min
2021-09-26 ,3 hours 17 min,1 hours 38 min,21:03:28,22:33:28,7,Yes,1 hours 39 min
2021-09-27 ,6 hours 15 min,4 hours 26 min,07:09:34,21:51:03,18,Yes,1 hours 49 min
2021-09-28 ,5 hours 19 min,5 hours 5 min,21:03:18,22:35:18,12,Yes,0 hours 14 min
2021-09-29 ,6 hours 15 min,3 hours 9 min,07:12:28,22:59:31,18,Yes,3 hours 6 min
2021-09-30 ,9 hours 6 min,5 hours 10 min,06:36:41,23:03:48,16,Yes,3 hours 56 min
2021-10-01 ,7 hours 49 min,5 hours 46 min,21:13:58,23:49:07,19,Yes,2 hours 3 min
2021-10-02 ,8 hours 9 min,5 hours 48 min,21:08:01,23:29:02,19,Yes,2 hours 21 min
2021-10-03 ,1 hours 7 min,0 hours 36 min,08:37:06,08:58:06,1,Yes,0 hours 31 min
2021-10-04 ,6 hours 7 min,3 hours 46 min,21:07:15,23:28:20,11,Yes,2 hours 21 min
2021-10-06 ,6 hours 19 min,4 hours 40 min,21:04:33,22:15:33,13,Yes,1 hours 39 min
2021-10-07 ,4 hours 7 min,4 hours 7 min,,,11,No,0 hours 0 min
2021-10-08 ,1 hours 15 min,0 hours 0 min,07:38:58,08:53:58,0,Yes,1 hours 15 min
2021-10-09 ,6 hours 41 min,4 hours 27 min,21:00:17,23:12:17,13,Yes,2 hours 14 min
2021-10-16 ,10 hours 24 min,8 hours 16 min,21:16:59,23:24:59,22,Yes,2 hours 8 min
2021-10-17 ,6 hours 48 min,4 hours 37 min,21:02:18,22:59:25,13,Yes,2 hours 11 min
2021-10-18 ,3 hours 23 min,0 hours 0 min,04:05:27,07:28:27,6,Yes,3 hours 23 min
2021-10-20 ,10 hours 45 min,9 hours 12 min,21:16:39,22:31:39,25,Yes,1 hours 33 min
2021-10-21 ,8 hours 34 min,6 hours 53 min,21:12:35,23:29:35,17,Yes,1 hours 41 min
2021-10-22 ,9 hours 1 min,6 hours 22 min,21:03:15,23:42:15,18,Yes,2 hours 39 min
2021-10-23 ,8 hours 33 min,7 hours 20 min,21:09:20,23:33:28,19,Yes,1 hours 13 min
2021-10-25 ,0 hours 54 min,0 hours 54 min,,,2,No,0 hours 0 min
2021-10-26 ,7 hours 25 min,4 hours 59 min,21:00:17,23:56:22,20,Yes,2 hours 26 min
2021-10-27 ,1 hours 0 min,1 hours 0 min,,,1,No,0 hours 0 min
2021-10-28 ,6 hours 46 min,4 hours 28 min,21:10:55,23:53:55,15,Yes,2 hours 18 min
2021-10-30 ,10 hours 8 min,7 hours 17 min,21:01:40,23:42:40,24,Yes,2 hours 51 min
2021-11-01 ,8 hours 42 min,5 hours 48 min,21:02:24,23:49:24,17,Yes,2 hours 54 min
2021-11-02 ,8 hours 35 min,7 hours 12 min,21:09:39,23:36:39,20,Yes,1 hours 23 min
2021-11-04 ,9 hours 29 min,6 hours 30 min,21:02:56,23:53:56,18,Yes,2 hours 59 min
2021-11-05 ,9 hours 25 min,7 hours 31 min,21:00:23,22:51:23,18,Yes,1 hours 54 min
2021-11-06 ,8 hours 36 min,6 hours 5 min,21:00:34,23:30:34,23,Yes,2 hours 31 min
2021-11-07 ,7 hours 2 min,5 hours 38 min,08:40:46,21:58:48,16,Yes,1 hours 24 min
2021-11-08 ,5 hours 3 min,2 hours 53 min,21:00:54,23:01:54,15,Yes,2 hours 10 min
2021-11-09 ,10 hours 4 min,7 hours 6 min,21:00:43,23:55:43,20,Yes,2 hours 58 min
2021-11-11 ,9 hours 46 min,7 hours 11 min,21:00:36,23:34:30,25,Yes,2 hours 34 min
2021-11-12 ,2 hours 37 min,2 hours 20 min,00:08:30,00:24:30,7,Yes,0 hours 17 min
2021-11-13 ,8 hours 8 min,5 hours 15 min,21:00:06,23:51:06,22,Yes,2 hours 53 min
2021-11-14 ,9 hours 45 min,6 hours 38 min,21:01:53,23:54:53,19,Yes,3 hours 7 min
