com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2021-07-03 02:08:26.717,2021-07-03 02:08:26.717,-1,0,0,0.0,0.0,9bc27202-137a-452a-b6ae-ea0e5d9a601b.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,9bc27202-137a-452a-b6ae-ea0e5d9a601b,1622937600000,
0,0,,0,2021-07-03 02:08:26.814,2021-07-03 02:08:26.814,-1,0,0,0.0,0.0,b168d29b-78a0-491a-8b07-3f25c1638188.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,b168d29b-78a0-491a-8b07-3f25c1638188,1623110400000,
2080,1324422,,0,2021-07-03 15:07:26.266,2021-07-03 02:08:26.645,60,240000,36,1541.24,79.25,54fdbee2-a6fd-4951-927b-6da86841c6c5.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,1324422,41580000,54fdbee2-a6fd-4951-927b-6da86841c6c5,1625270400000,
0,0,,0,2021-07-03 02:08:26.864,2021-07-03 02:08:26.864,-1,0,0,0.0,0.0,960bd7c8-acf1-44dd-a753-704cf85a5755.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,960bd7c8-acf1-44dd-a753-704cf85a5755,1623196800000,
0,0,,0,2021-07-03 02:08:27.018,2021-07-03 02:08:27.018,-1,0,0,0.0,0.0,3aca0824-3528-452c-b7e7-b5199df86862.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,3aca0824-3528-452c-b7e7-b5199df86862,1623456000000,
0,0,,0,2021-07-03 02:08:26.894,2021-07-03 02:08:26.894,-1,0,0,0.0,0.0,6e2e6f42-a5fe-4ba4-8153-12510721cc86.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,6e2e6f42-a5fe-4ba4-8153-12510721cc86,1623283200000,
0,0,,0,2021-07-03 02:08:26.792,2021-07-03 02:08:26.792,-1,0,0,0.0,0.0,8af02292-f037-48cb-a91b-029674dde481.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,8af02292-f037-48cb-a91b-029674dde481,1623024000000,
0,0,,0,2021-07-03 02:08:27.165,2021-07-03 02:08:27.165,-1,0,0,0.0,0.0,00adc907-c628-47ed-8531-b7af3f34764a.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,00adc907-c628-47ed-8531-b7af3f34764a,1623628800000,
0,0,,0,2021-07-03 02:08:26.939,2021-07-03 02:08:26.939,-1,0,0,0.0,0.0,d079286a-b5b6-4abe-a12e-b7912c2091e3.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,d079286a-b5b6-4abe-a12e-b7912c2091e3,1623369600000,
0,0,,0,2021-07-03 02:08:27.222,2021-07-03 02:08:27.222,-1,0,0,0.0,0.0,6e33e706-1b82-451e-8455-ee6a22ff9cfe.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,6e33e706-1b82-451e-8455-ee6a22ff9cfe,1623715200000,
0,0,,0,2021-07-03 02:08:27.115,2021-07-03 02:08:27.115,-1,0,0,0.0,0.0,783126fb-9a00-482f-84aa-1ec59f926966.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,783126fb-9a00-482f-84aa-1ec59f926966,1623542400000,
0,0,,0,2021-07-03 02:08:27.369,2021-07-03 02:08:27.369,-1,0,0,0.0,0.0,08c45cc4-216b-46cb-944b-16b26a768b03.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,08c45cc4-216b-46cb-944b-16b26a768b03,1623974400000,
0,0,,0,2021-07-03 02:08:27.269,2021-07-03 02:08:27.269,-1,0,0,0.0,0.0,134ea506-3c42-4b73-9300-d9eabea32441.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,134ea506-3c42-4b73-9300-d9eabea32441,1623801600000,
0,0,,0,2021-07-03 02:08:27.324,2021-07-03 02:08:27.324,-1,0,0,0.0,0.0,8651907c-71ba-486c-86b3-462e4a571eda.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,8651907c-71ba-486c-86b3-462e4a571eda,1623888000000,
0,0,,0,2021-07-03 02:08:27.531,2021-07-03 02:08:27.531,-1,0,0,0.0,0.0,9f62c041-680d-4415-9946-53ac91092d53.extra_data.json,OvMFo+Qpk+,0,com.sec.android.app.shealth,0,-1,9f62c041-680d-4415-9946-53ac91092d53,1624233600000,
