com.samsung.shealth.report,6196009,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1624719600000,2021-07-04 05:39:40.652,2021-07-04 05:39:40.138,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,759895c8-5cf8-4868-a262-d9b1ec380e6b,759895c8-5cf8-4868-a262-d9b1ec380e6b.compressed_content.json,
Asia/Seoul,1625324400000,2021-07-11 06:09:56.005,2021-07-11 06:09:55.085,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,6bcd8034-eeee-4e97-8a61-ad2bacc604a8,6bcd8034-eeee-4e97-8a61-ad2bacc604a8.compressed_content.json,
Asia/Seoul,1626534000000,2021-07-25 05:56:03.382,2021-07-25 05:56:01.969,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,acd90a02-67ee-4528-ad39-cd3152fb5705,acd90a02-67ee-4528-ad39-cd3152fb5705.compressed_content.json,
Asia/Seoul,1628953200000,2021-08-22 06:07:44.819,2021-08-22 06:07:43.081,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,0404a814-d1d9-4d0f-bf5a-d469bbb683ed,0404a814-d1d9-4d0f-bf5a-d469bbb683ed.compressed_content.json,
Asia/Seoul,1629558000000,2021-08-29 05:57:09.776,2021-08-29 05:57:08.576,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,796990e0-b275-46d9-98d3-1e029f4013e8,796990e0-b275-46d9-98d3-1e029f4013e8.compressed_content.json,
Asia/Seoul,1627138800000,2021-08-01 05:54:14.046,2021-08-01 05:54:12.615,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,635effea-9703-4a17-bee9-207d1c52b41d,635effea-9703-4a17-bee9-207d1c52b41d.compressed_content.json,
Asia/Seoul,1627743600000,2021-08-08 05:47:35.651,2021-08-08 05:47:34.388,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,0af974bb-a007-4328-8980-700c04e167a1,0af974bb-a007-4328-8980-700c04e167a1.compressed_content.json,
Asia/Seoul,1630767600000,2021-09-12 05:42:12.622,2021-09-12 05:42:11.404,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,5c562272-b732-4dd6-9efa-1fc99c7337a0,5c562272-b732-4dd6-9efa-1fc99c7337a0.compressed_content.json,
Asia/Seoul,1633791600000,2021-10-17 05:40:16.685,2021-10-17 05:40:15.410,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,d543d127-fedc-417c-9023-94811aa7a339,d543d127-fedc-417c-9023-94811aa7a339.compressed_content.json,
Asia/Seoul,1631372400000,2021-09-19 05:42:08.912,2021-09-19 05:42:07.151,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,e5dfbf19-fd26-4837-9a74-6122d5474945,e5dfbf19-fd26-4837-9a74-6122d5474945.compressed_content.json,
Asia/Seoul,1633186800000,2021-10-16 05:40:56.186,2021-10-16 05:40:54.963,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,574abe71-0820-4da0-a14b-70cc2572e54a,574abe71-0820-4da0-a14b-70cc2572e54a.compressed_content.json,
Asia/Seoul,1634396400000,2021-10-24 06:28:47.671,2021-10-24 06:28:45.561,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,ab37691e-c1ce-4073-9c25-7c033789f4eb,ab37691e-c1ce-4073-9c25-7c033789f4eb.compressed_content.json,
Asia/Seoul,1635001200000,2021-10-31 05:52:08.563,2021-10-31 05:52:07.294,0,0,2,OvMFo+Qpk+,X,com.sec.android.app.shealth,084e9345-07b4-409c-8dd3-7e66147d95e2,084e9345-07b4-409c-8dd3-7e66147d95e2.compressed_content.json,
