com.samsung.shealth.tracker.pedometer_day_summary,6196009,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
2185,af9faddf-445c-4016-b24a-ec70dfb06340.binning_data.json,1288258,6000,0,2021-07-04 15:49:17.790,com.sec.android.app.shealth,2021-07-04 15:49:17.790,,1.2603687,1623.68,83.329994,2185,OvMFo+Qpk+,com.sec.android.app.shealth,0,af9faddf-445c-4016-b24a-ec70dfb06340.achievement.json,af9faddf-445c-4016-b24a-ec70dfb06340,1625356800000,
2080,8bfed0b3-72fe-4365-90d7-16dcd9e9466f.binning_data.json,1195408,6000,0,2021-07-03 15:07:27.085,com.sec.android.app.shealth,2021-07-03 15:07:27.085,,1.2892998,1541.24,79.24999,2080,OvMFo+Qpk+,com.sec.android.app.shealth,0,8bfed0b3-72fe-4365-90d7-16dcd9e9466f.achievement.json,8bfed0b3-72fe-4365-90d7-16dcd9e9466f,1625270400000,
2080,e863c38f-f6ff-4f77-927a-ff033f986afc.binning_data.json,1195408,6000,0,2021-07-03 10:29:30.608,com.sec.android.app.shealth,2021-07-03 02:35:06.135,e863c38f-f6ff-4f77-927a-ff033f986afc.source_info.json,1.2892998,1541.24,79.24999,2080,VfS0qUERdZ,com.sec.android.app.shealth,0,e863c38f-f6ff-4f77-927a-ff033f986afc.achievement.json,e863c38f-f6ff-4f77-927a-ff033f986afc,1625270400000,
2122,01104998-8331-494a-84cf-73c7d7bee19b.binning_data.json,1176541,6000,0,2021-07-05 16:02:57.975,com.sec.android.app.shealth,2021-07-05 16:02:57.975,,1.3270589,1561.34,83.93,2122,OvMFo+Qpk+,com.sec.android.app.shealth,0,01104998-8331-494a-84cf-73c7d7bee19b.achievement.json,01104998-8331-494a-84cf-73c7d7bee19b,1625443200000,
2122,fba10aee-e257-4917-8077-01ec00f74e5f.binning_data.json,1176541,6000,0,2021-07-05 08:57:57.939,com.sec.android.app.shealth,2021-07-04 23:16:01.391,fba10aee-e257-4917-8077-01ec00f74e5f.source_info.json,1.3270589,1561.34,83.93,2122,VfS0qUERdZ,com.sec.android.app.shealth,0,fba10aee-e257-4917-8077-01ec00f74e5f.achievement.json,fba10aee-e257-4917-8077-01ec00f74e5f,1625443200000,
1931,1fa0efc0-66ca-40ef-bb64-6364e6c70a86.binning_data.json,1138724,6000,20,2021-07-06 15:18:33.337,com.sec.android.app.shealth,2021-07-06 15:18:33.337,,1.2715194,1447.91,73.45999,1911,OvMFo+Qpk+,com.sec.android.app.shealth,0,1fa0efc0-66ca-40ef-bb64-6364e6c70a86.achievement.json,1fa0efc0-66ca-40ef-bb64-6364e6c70a86,1625529600000,
2185,0f063f5e-3a14-4b36-9ffc-e0d345d123a4.binning_data.json,1288258,6000,0,2021-07-04 09:16:22.326,com.sec.android.app.shealth,2021-07-03 19:52:25.585,0f063f5e-3a14-4b36-9ffc-e0d345d123a4.source_info.json,1.2603687,1623.68,83.329994,2185,VfS0qUERdZ,com.sec.android.app.shealth,0,0f063f5e-3a14-4b36-9ffc-e0d345d123a4.achievement.json,0f063f5e-3a14-4b36-9ffc-e0d345d123a4,1625356800000,
3621,ff95f62f-3ad5-4ba2-8c18-f03c4109682b.binning_data.json,2183724,6000,2,2021-07-07 15:00:00.759,com.sec.android.app.shealth,2021-07-07 15:00:00.759,,1.235751,2698.54,137.62997,3619,OvMFo+Qpk+,com.sec.android.app.shealth,0,ff95f62f-3ad5-4ba2-8c18-f03c4109682b.achievement.json,ff95f62f-3ad5-4ba2-8c18-f03c4109682b,1625616000000,
4364,e7ad0c71-4a50-45a0-8025-892693598166.binning_data.json,2686651,6000,9,2021-07-08 15:00:02.931,com.sec.android.app.shealth,2021-07-08 15:00:02.931,,1.1979078,3218.36,168.07999,4355,OvMFo+Qpk+,com.sec.android.app.shealth,0,e7ad0c71-4a50-45a0-8025-892693598166.achievement.json,e7ad0c71-4a50-45a0-8025-892693598166,1625702400000,
1931,75da070e-d0c3-4f13-80e1-7402430c3408.binning_data.json,1138724,6000,20,2021-07-06 12:15:02.199,com.sec.android.app.shealth,2021-07-05 23:39:38.433,75da070e-d0c3-4f13-80e1-7402430c3408.source_info.json,1.2715194,1447.91,73.45999,1911,VfS0qUERdZ,com.sec.android.app.shealth,0,75da070e-d0c3-4f13-80e1-7402430c3408.achievement.json,75da070e-d0c3-4f13-80e1-7402430c3408,1625529600000,
3621,a5bac46b-b3a7-40d8-aaf4-f128d5eb228b.binning_data.json,2183724,6000,2,2021-07-07 14:42:57.357,com.sec.android.app.shealth,2021-07-07 00:17:53.504,a5bac46b-b3a7-40d8-aaf4-f128d5eb228b.source_info.json,1.235751,2698.54,137.62997,3619,VfS0qUERdZ,com.sec.android.app.shealth,0,a5bac46b-b3a7-40d8-aaf4-f128d5eb228b.achievement.json,a5bac46b-b3a7-40d8-aaf4-f128d5eb228b,1625616000000,
