com.samsung.health.water_intake,6196009,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2021-07-13 02:53:40.136,250.0,,2021-07-13 02:53:40.143,2021-07-13 02:53:40.143,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,574dd64c-e065-473e-b426-bf5979dae021,
2021-07-12 14:59:59.998,250.0,,2021-07-13 02:53:55.995,2021-07-13 02:53:55.995,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,3e3f2d91-88e6-418a-ace2-38c842b0963a,
2021-07-13 02:53:40.571,250.0,,2021-07-13 02:53:40.577,2021-07-13 02:53:40.577,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,b3517402-eaca-45c6-9d56-2c56e8ba5b40,
2021-09-05 11:27:15.724,250.0,,2021-09-05 11:27:15.729,2021-09-05 11:27:15.729,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,d9de0d98-daec-4999-a99d-84bc283b0926,
2021-07-12 14:59:59.998,250.0,,2021-07-13 02:53:56.595,2021-07-13 02:53:56.595,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,3c1fe380-efa6-4bd4-8c4f-95a353311e04,
2021-07-13 02:53:40.988,250.0,,2021-07-13 02:53:40.994,2021-07-13 02:53:40.994,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,f03bd751-89d9-4ec3-bf69-e67baf21241b,
2021-09-05 11:27:16.058,250.0,,2021-09-05 11:27:16.064,2021-09-05 11:27:16.064,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,bfd118f7-b754-4374-a109-3404bc1f36f8,
2021-09-05 11:27:14.139,250.0,,2021-09-05 11:27:14.148,2021-09-05 11:27:14.148,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,f7f2d7f0-7d5e-49c1-bd36-7b0cad208851,
2021-07-13 02:53:41.356,250.0,,2021-07-13 02:53:41.361,2021-07-13 02:53:41.361,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,178acfbe-bad5-4ebe-8600-575d30e869de,
2021-09-05 11:27:16.392,250.0,,2021-09-05 11:27:16.398,2021-09-05 11:27:16.398,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,9c9ce911-9e5a-492e-8eb0-f3caf903a117,
2021-09-05 11:27:14.540,250.0,,2021-09-05 11:27:14.548,2021-09-05 11:27:14.548,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,3f8b3402-84a4-45c1-b5b1-888e43ad0767,
2021-07-12 14:59:59.998,250.0,,2021-07-13 02:53:54.630,2021-07-13 02:53:54.630,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,4c1636aa-3446-472b-8c43-b58dd17641f7,
2021-07-12 14:59:59.998,250.0,,2021-07-13 02:53:55.311,2021-07-13 02:53:55.311,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,f47b2492-7838-47a8-b6bd-83e3bb32e5a5,
2021-09-05 11:27:14.856,250.0,,2021-09-05 11:27:14.863,2021-09-05 11:27:14.863,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,02f01575-c403-4e5e-a273-0a356428baf4,
2021-09-05 11:27:15.223,250.0,,2021-09-05 11:27:15.229,2021-09-05 11:27:15.229,UTC+0900,OvMFo+Qpk+,250.0,,com.sec.android.app.shealth,5db97118-0132-4918-9629-c7882069bac2,
