com.samsung.health.nutrition,6170019,3
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,added_sugar,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
898.0,43.0,9.0,0.0,52.0,2021-07-06 23:00:00.000,,1268.0,7.3,12.5,2021-07-07 10:02:25.229,2021-07-07 10:02:25.229,100001,4.7,35.2,1.5,40.0,4.1,아침,0.0,6.0,583.0,UTC+0900,V57RQzDK0T,3.9,0.0,com.sec.android.app.shealth,85.1,a8ae803d-9789-4947-928d-9b443b116451,
183.0,10.0,0.0,0.0,210.0,2021-07-02 23:00:00.000,,243.0,0.8,7.7,2021-07-03 03:02:06.040,2021-07-03 03:02:06.040,100001,3.0,11.9,1.5,10.0,0.3,아침,0.0,3.0,389.0,UTC+0900,V57RQzDK0T,2.0,0.0,com.sec.android.app.shealth,65.5,bf40a614-9a52-42e2-bc92-167916028eca,
637.0,6.0,17.0,0.0,20.0,2021-07-08 02:52:55.459,,993.0,6.4,9.4,2021-07-08 02:53:47.219,2021-07-08 02:53:47.219,100001,3.7,23.1,2.0,32.0,1.5,아침,0.0,5.0,505.0,UTC+0900,V57RQzDK0T,2.3,0.0,com.sec.android.app.shealth,83.8,81d2d76b-70cc-4e27-a03e-3a7123f12168,
0.0,0.0,0.0,0.0,0.0,2021-07-08 02:58:55.659,,0.0,0.0,0.0,2021-07-08 03:01:02.025,2021-07-08 02:59:15.619,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,1122.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,107fe693-e4e5-4065-af39-c86b92234fcd,
0.0,0.0,0.0,0.0,0.0,2021-07-14 05:35:25.567,,0.0,0.0,0.0,2021-07-14 05:41:16.554,2021-07-14 05:40:13.120,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,1357.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,0c64a365-3877-4c82-9517-a0aa5b9424e7,
0.0,0.0,0.0,0.0,0.0,2021-07-18 03:00:00.000,,1880.0,0.0,16.0,2021-07-18 07:08:52.935,2021-07-18 07:08:52.935,100002,0.0,12.0,0.0,0.0,4.6,점심,0.0,0.0,500.0,UTC+0900,V57RQzDK0T,8.0,0.0,com.sec.android.app.shealth,77.0,12dcccac-1de2-4620-beb4-e5bbebf751d0,
892.0,4.0,15.0,0.0,85.0,2021-07-08 12:05:43.389,,758.0,6.9,10.5,2021-07-08 12:07:39.662,2021-07-08 12:07:39.662,100003,2.6,25.5,4.6,50.0,3.2,저녁,0.0,11.0,545.0,UTC+0900,V57RQzDK0T,2.0,0.0,com.sec.android.app.shealth,84.0,4a175e9d-5ff9-47ba-a8ed-7e0fec0d8dd4,
693.0,14.0,6.0,40.0,120.0,2021-07-17 23:00:00.000,,822.0,0.0,25.1,2021-07-18 07:07:29.609,2021-07-18 07:07:29.609,100001,9.5,35.1,6.8,12.0,0.1,아침,0.0,2.0,379.0,UTC+0900,V57RQzDK0T,5.8,0.0,com.sec.android.app.shealth,0.7,9e8f3e80-4d33-4a08-ad71-0fb7ba629857,
0.0,0.0,0.0,0.0,0.0,2021-07-19 02:53:17.587,,0.0,0.0,0.0,2021-07-19 02:57:31.137,2021-07-19 02:57:31.137,100001,0.0,0.0,0.0,0.0,0.0,아침,0.0,0.0,978.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,2ee9a890-2c49-4969-b8cc-9c4b1d46ec0e,
0.0,0.0,0.0,0.0,0.0,2021-07-22 03:22:08.941,,0.0,0.0,0.0,2021-07-22 03:28:07.755,2021-07-22 03:28:07.755,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,1210.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,79b67641-ffa3-4b3b-ac93-4fbcf0c6189c,
0.0,0.0,0.0,0.0,0.0,2021-07-13 05:10:12.142,,0.0,0.0,0.0,2021-07-13 05:16:53.872,2021-07-13 05:16:53.872,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,1187.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,77cec411-6358-479b-beb8-5486fc997102,
0.0,0.0,0.0,0.0,0.0,2021-07-21 02:51:42.132,,0.0,0.0,0.0,2021-07-21 02:53:01.781,2021-07-21 02:53:01.781,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,1105.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,4ca0300f-8f93-4c90-a015-324d11964a0c,
492.0,6.0,36.0,0.0,0.0,2021-07-08 12:07:43.083,,6.0,4.2,0.6,2021-07-08 12:09:46.648,2021-07-08 12:09:05.979,100006,0.0,1.8,0.0,6.0,30.6,저녁 간식,0.0,0.0,144.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,35.4,0e99e88e-5cf8-424a-ac74-ba7b3851b371,
0.0,0.0,0.0,0.0,0.0,2021-07-21 23:00:00.000,,0.0,0.0,0.0,2021-07-22 03:21:27.875,2021-07-22 03:21:27.875,100001,0.0,0.0,0.0,0.0,0.0,아침,0.0,0.0,370.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,b6906b73-17aa-4751-b233-55ece661337d,
0.0,0.0,0.0,0.0,0.0,2021-09-29 02:12:06.505,,0.0,0.0,0.0,2021-09-29 02:18:58.782,2021-09-29 02:18:58.782,100002,0.0,0.0,0.0,0.0,0.0,점심,0.0,0.0,1378.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,0ae2f5dd-e7fa-4e39-bcb7-b5f66f3c394a,
0.0,0.0,0.0,0.0,0.0,2021-07-21 02:45:50.164,,0.0,0.0,0.0,2021-07-21 02:48:12.459,2021-07-21 02:48:12.459,100001,0.0,0.0,0.0,0.0,0.0,아침,0.0,0.0,552.0,UTC+0900,V57RQzDK0T,0.0,0.0,com.sec.android.app.shealth,0.0,d32b3c72-a384-4059-8fb5-933b27fb452a,
