com.samsung.health.food_info,6196009,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
83.0,1.0,0.0,0.0,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2021-07-13 07:38:12.369,2021-07-13 07:38:12.369,0.0,5.13,0.0,1.0,쌀밥,0.0,0.0,5.0,316.8,인분,,TKIQsULl+e,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,87a97522-bc72-4b7c-b239-f5f5e70ffc72,1,
380.0,7.0,10.0,0.0,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2021-07-13 07:38:12.388,2021-07-13 07:38:12.388,0.0,1.2,0.0,1.0,바나나,0.0,0.0,4.0,80.0,인분,,TKIQsULl+e,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,a0ed4322-2831-41f1-9995-4a15fc6475b0,1,
256.0,1.0,0.0,0.0,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2021-07-13 07:38:12.370,2021-07-13 07:38:12.370,0.01,7.8,0.06,2.0,잡곡밥,0.0,0.0,16.0,352.8,인분,,TKIQsULl+e,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,bd25aedd-2ab5-48be-9505-0b27e3dd2a8c,1,
72.0,18.0,0.0,0.0,7.0,"43 kcal, 115 g당",,samsungosp-203017,115,5.0,0.0,1.935,2021-07-13 07:38:12.388,2021-07-13 07:38:12.388,0.0,0.37,0.0,0.0,"커피,설탕,프림",0.0,0.0,12.0,42.8,인분,,TKIQsULl+e,g,0.0,0.0,com.sec.android.app.shealth,5.8,2.6869159,dc974b05-1b0e-4835-a3d6-1f7f456c0bd3,1,
293.0,0.0,0.0,0.0,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2021-07-13 07:38:12.373,2021-07-13 07:38:12.373,0.0,6.84,0.0,1.0,현미밥,0.0,0.0,5.0,315.0,인분,,TKIQsULl+e,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,8c65615d-f269-4666-b8f8-54fbc8c8b115,1,
180.0,29.0,8.0,0.0,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2021-07-13 07:38:12.382,2021-07-13 07:38:12.382,0.0,1.2,0.0,0.0,배추김치,0.0,0.0,28.0,10.8,인분,,TKIQsULl+e,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,6bf19586-ed34-44ec-85fb-01be7ad745cc,1,
60.0,0.0,0.0,0.0,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2021-07-13 07:38:12.389,2021-07-13 07:38:12.389,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,0.0,2.0,3.0,인분,,TKIQsULl+e,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,783f2771-98aa-4b78-98bb-61eb37d63974,1,
296.0,56.0,2.0,0.0,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2021-07-13 07:38:12.392,2021-07-13 07:38:12.392,1.82,6.4,0.22,0.0,우유,0.0,0.0,210.0,120.0,인분,,TKIQsULl+e,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,3d96b3df-2582-437e-958a-8ffa598c44a0,1,
385.0,159.0,1.0,0.0,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2021-07-13 07:38:12.385,2021-07-13 07:38:12.385,2.19,15.992,0.8,2.0,라면,0.0,0.0,42.0,515.0,인분,,TKIQsULl+e,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,9a16386e-60b1-425f-8458-e0ca104f89ab,1,
803.0,1.0,25.0,0.0,22.0,"3979 kcal, 2280g당",,fatsecret-5203621,450,600.0,13.8,19.98,2021-07-13 07:55:14.713,2021-07-13 07:55:12.330,8.517,26.81,4.043,33.0,짜장면,6.56,,8.0,785.0,인분 (450 g),,TKIQsULl+e,g,5.621,0.0,com.sec.android.app.shealth,129.41,0.57319224,328943a2-1f19-49e1-b0cb-def2516c56d5,1,
420.0,386.0,14.0,0.0,79.0,"445 kcal, 191 g당",,samsungosp-016001,190,662.0,3.31,12.765,2021-07-13 07:38:12.386,2021-07-13 07:38:12.386,2.93,10.656,4.41,3.0,김밥,0.0,0.0,42.0,444.8,인분,,TKIQsULl+e,g,1.61,0.0,com.sec.android.app.shealth,71.2,0.4271583,53c6172e-05ea-48f9-bfb4-063cd5170b75,1,
422.0,0.0,11.0,0.0,0.0,"89 kcal, 100g당",,fatsecret-35755,118,1.0,3.1,0.39,2021-07-13 07:55:56.032,2021-07-13 07:55:56.032,0.038,1.29,0.086,2.0,바나나,14.43,,0.0,105.0,개 중형 (길이 18 cm - 20 cm),,TKIQsULl+e,g,0.132,,com.sec.android.app.shealth,26.95,1.125,ecfba612-c886-4ffd-b199-921dbddd9c90,1,
