com.samsung.shealth.tracker.pedometer_event,6196009,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2021-11-01 11:51:32.000,2021-11-01 12:16:48.000,2021-11-01 12:16:48.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2462,2021-11-01 12:16:48.000,f12ed8ea-7f50-a083-3e95-f40295ede922,
2021-11-02 11:36:29.000,2021-11-02 12:14:42.000,2021-11-02 12:14:42.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3863,2021-11-02 12:14:42.000,a46a0824-3089-aa1f-95d3-5ae162713310,
2021-11-03 11:37:14.000,2021-11-03 12:17:22.000,2021-11-03 12:17:22.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,4099,2021-11-03 12:17:22.000,f8844849-6bcc-58d0-c3c6-3314a96e3017,
2021-11-10 11:22:11.000,2021-11-10 12:01:48.000,2021-11-10 12:01:48.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3610,2021-11-10 12:01:48.000,7ca25815-110c-198a-15ba-20e5ec604ad9,
2021-11-11 11:25:05.000,2021-11-11 12:06:02.000,2021-11-11 12:06:02.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3910,2021-11-11 12:06:02.000,7af7ec23-d650-8886-6b5a-53124e20fdf5,
2021-11-12 11:56:01.000,2021-11-12 12:14:00.000,2021-11-12 12:14:00.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,1868,2021-11-12 12:14:00.000,904038e1-2578-3322-e55e-68e6d1342daf,
2021-11-18 11:45:18.000,2021-11-18 12:27:12.000,2021-11-18 12:27:12.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3744,2021-11-18 12:27:12.000,aa7bffd9-fb9d-525b-3605-569efd53d3ef,
2021-12-01 11:47:57.000,2021-12-01 12:13:13.000,2021-12-01 12:13:13.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2589,2021-12-01 12:13:13.000,7c78c551-6e7b-7db0-2c8d-b7b762405da0,
2021-11-23 11:31:49.000,2021-11-23 12:14:09.000,2021-11-23 12:14:09.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3703,2021-11-23 12:14:09.000,3276fed9-d388-5f76-c9c0-03f3cdef015b,
2021-11-05 12:10:36.000,2021-11-05 12:29:44.000,2021-11-05 12:29:44.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,1629,2021-11-05 12:29:44.000,0717b714-b553-bad2-7f98-798f63d0cbc8,
2021-11-08 11:26:16.000,2021-11-08 12:07:55.000,2021-11-08 12:07:55.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3608,2021-11-08 12:07:55.000,cf971032-4cc9-9ad1-0a10-4c44081b5160,
2021-11-15 11:51:22.000,2021-11-15 12:12:17.000,2021-11-15 12:12:17.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2012,2021-11-15 12:12:17.000,05f4dd2d-aa8c-656e-3d99-79ea77cf04b7,
2021-11-16 11:49:48.000,2021-11-16 12:14:50.000,2021-11-16 12:14:50.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,2636,2021-11-16 12:14:50.000,530a4a45-b8da-2db8-5e2d-2e9005e43615,
2021-11-25 12:08:30.000,2021-11-25 12:30:14.000,2021-11-25 12:30:14.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,1746,2021-11-25 12:30:14.000,1341da90-8add-1ef4-f822-0cac80048741,
2021-11-29 12:08:50.000,2021-11-29 12:21:37.000,2021-11-29 12:21:37.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,1059,2021-11-29 12:21:37.000,28463a76-186d-8cf9-329e-6a36eddb6290,
2021-11-09 11:42:32.000,2021-11-09 11:56:03.000,2021-11-09 11:56:03.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,1302,2021-11-09 11:56:03.000,1d501161-4654-bc4a-2d71-347a711c8d76,
2021-11-22 11:42:28.000,2021-11-22 12:24:27.000,2021-11-22 12:24:27.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3753,2021-11-22 12:24:27.000,5a956951-83c7-ce19-21aa-d97a4b16755a,
2021-11-17 11:34:01.000,2021-11-17 12:13:02.000,2021-11-17 12:13:02.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3825,2021-11-17 12:13:02.000,cd15a097-c94f-3b09-b02c-53022edf1a91,
2021-12-02 11:21:25.000,2021-12-02 12:02:39.000,2021-12-02 12:02:39.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3896,2021-12-02 12:02:39.000,f953bb5d-4333-d194-6896-01581ba56ff5,
2021-11-30 11:24:05.000,2021-11-30 12:00:43.000,2021-11-30 12:00:43.000,1,UTC+0900,hmQws4UQ7U,com.sec.android.app.shealth,3623,2021-11-30 12:00:43.000,1b7d1243-4d9d-6c64-8667-b33a7e85c509,
