com.samsung.shealth.activity.goal,6196009,1
update_time,create_time,value,time_offset,deviceuuid,pkg_name,set_time,datauuid
2016-09-10 02:15:31.616,2016-09-10 02:15:31.616,60,UTC+0900,poYXze4wAV,com.sec.android.app.shealth,1473473731611,644846b6-0f63-4e15-8785-d97be064e78b,
2019-07-15 12:56:17.829,2019-07-15 12:56:17.829,120,UTC+0100,poYXze4wAV,com.sec.android.app.shealth,1563195377826,1aa87a52-679a-4ff0-b24c-1a87f0bb33aa,
2019-07-20 04:06:58.264,2019-07-20 04:06:58.264,120,UTC+0800,poYXze4wAV,com.sec.android.app.shealth,1563595618262,4254bb62-efdf-4db2-b8ea-a81400b5a151,
2019-05-06 08:34:22.335,2019-05-06 08:34:22.335,120,UTC+0900,poYXze4wAV,com.sec.android.app.shealth,1557131662331,ceac11fd-ff7b-4848-bf17-ffe273dcb775,
2019-07-11 08:56:22.386,2019-07-11 08:56:22.386,120,UTC+0800,poYXze4wAV,com.sec.android.app.shealth,1562835382381,7fc6bcb1-0739-4b7b-a221-4880d6d138a7,
2019-07-15 12:57:39.225,2019-07-15 12:57:39.225,120,UTC+0200,poYXze4wAV,com.sec.android.app.shealth,1563195459221,b6c214ec-ac8a-46d8-8b73-f9a651f450c1,
2019-07-17 10:43:41.106,2019-07-17 10:43:41.106,120,UTC+0100,poYXze4wAV,com.sec.android.app.shealth,1563360221096,9cf8029f-97e3-4595-ae2f-769b91fceee9,
2019-07-20 04:16:25.230,2019-07-20 04:16:25.230,120,UTC+0900,poYXze4wAV,com.sec.android.app.shealth,1563596185225,1bd754ec-9560-4a38-a465-6e7f05f3d4fc,
2019-07-11 17:40:03.904,2019-07-11 17:40:03.904,120,UTC+0200,poYXze4wAV,com.sec.android.app.shealth,1562866803859,1a1e9670-aaed-47b4-b657-bad1942747ad,
2020-03-17 15:01:34.115,2020-03-17 15:01:34.115,120,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,1584457277710,62b8f685-9acb-4966-9506-ce844963e48f,
2019-07-19 12:10:48.165,2019-07-19 12:10:48.165,120,UTC+0200,poYXze4wAV,com.sec.android.app.shealth,1563538248155,39c1749c-bf6e-41b3-b427-427e4f458b45,
2020-04-11 01:06:03.129,2020-04-11 01:06:03.129,120,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,1586567163122,f4983d25-9c82-4655-80b7-d90d42043883,
2019-07-15 12:47:21.772,2019-07-15 12:47:21.772,120,UTC+0200,poYXze4wAV,com.sec.android.app.shealth,1563194841770,90dede6a-d5b2-4411-8792-574a79adca1d,
2019-07-15 12:46:40.162,2019-07-15 12:46:40.162,120,UTC+0100,poYXze4wAV,com.sec.android.app.shealth,1563194800093,80a0a234-de5f-4a36-ad4a-e493fad78ca5,
2019-07-20 03:59:43.265,2019-07-20 03:59:43.265,120,UTC+0830,poYXze4wAV,com.sec.android.app.shealth,1563595183262,ec15ccf0-3a18-47f4-8698-7874935bb849,
2019-07-20 02:49:03.616,2019-07-20 02:49:03.616,120,UTC+0800,poYXze4wAV,com.sec.android.app.shealth,1563590943611,f193b291-e359-4b83-9d95-a162fc77fa7d,
