com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
1112,741704,90,0,2021-07-31 15:51:12.796,2021-07-08 05:57:49.772,60,60000,13,864.1305,38.45599,6b0f3446-8cc8-4dfb-b2ef-9bd9fdc396be.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,741704,55680000,6b0f3446-8cc8-4dfb-b2ef-9bd9fdc396be,1625702400000,
0,0,,0,2021-07-08 05:57:50.260,2021-07-08 05:57:50.260,-1,0,0,0.0,0.0,70682718-6616-4d12-8ea9-42f5c884ddab.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,70682718-6616-4d12-8ea9-42f5c884ddab,1623369600000,
0,0,,0,2021-07-08 05:57:50.750,2021-07-08 05:57:50.750,-1,0,0,0.0,0.0,e0ca9448-00e3-4b93-898a-ff8da541909d.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,e0ca9448-00e3-4b93-898a-ff8da541909d,1623542400000,
0,0,,0,2021-07-08 05:57:51.135,2021-07-08 05:57:51.135,-1,0,0,0.0,0.0,69b34e6f-f073-4b50-ba05-f089570a5cf0.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,69b34e6f-f073-4b50-ba05-f089570a5cf0,1623801600000,
0,0,,0,2021-07-08 05:57:50.612,2021-07-08 05:57:50.612,-1,0,0,0.0,0.0,ba42de24-0cf2-45fc-8c11-40b119386153.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,ba42de24-0cf2-45fc-8c11-40b119386153,1623456000000,
0,0,,0,2021-07-08 05:57:51.509,2021-07-08 05:57:51.509,-1,0,0,0.0,0.0,ed69aca0-37d2-48ae-9ec6-a7fa6c656b49.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,ed69aca0-37d2-48ae-9ec6-a7fa6c656b49,1624060800000,
0,0,,0,2021-07-08 05:57:51.331,2021-07-08 05:57:51.331,-1,0,0,0.0,0.0,07ffdf0f-e9b3-45c9-a6ae-a5775c6e2cbb.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,07ffdf0f-e9b3-45c9-a6ae-a5775c6e2cbb,1623888000000,
0,0,,0,2021-07-08 05:57:50.903,2021-07-08 05:57:50.903,-1,0,0,0.0,0.0,8d690ac7-3b42-4412-98e0-1c8cd82dd49f.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,8d690ac7-3b42-4412-98e0-1c8cd82dd49f,1623628800000,
0,0,,0,2021-07-08 05:57:51.809,2021-07-08 05:57:51.809,-1,0,0,0.0,0.0,b4aca033-491a-4e15-8b51-8de525ff69f2.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,b4aca033-491a-4e15-8b51-8de525ff69f2,1624320000000,
0,0,,0,2021-07-08 05:57:52.110,2021-07-08 05:57:52.110,-1,0,0,0.0,0.0,1857c2cd-3014-410f-825e-6f3bde2621b2.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,1857c2cd-3014-410f-825e-6f3bde2621b2,1624579200000,
