Date,Min. average HR (daily),Max. average HR (daily),Avg. HR (daily),Number of samples (daily),Avg. day HR,Max. average HR (day),Min. average HR (day),Number of samples (day),Avg. night HR,Max. average HR (night),Min. average HR (night),Number of samples (night)
2021-07-03 ,40.0,107.0,53.94,36,51.33,96.0,40.0,18,56.56,107.0,43.0,18
2021-07-04 ,40.0,170.0,58.1,30,49.2,93.0,40.0,20,75.9,170.0,43.0,10
2021-07-05 ,40.0,112.0,64.58,31,51.58,95.0,40.0,19,85.17,112.0,52.0,12
2021-07-06 ,40.0,112.0,63.76,34,56.86,112.0,40.0,21,74.92,108.0,48.0,13
2021-07-07 ,40.0,115.0,59.44,32,46.65,84.0,40.0,17,73.93,115.0,52.0,15
2021-07-08 ,40.0,126.0,62.62,32,54.15,126.0,40.0,20,76.75,116.0,51.0,12
2021-07-09 ,44.0,72.0,59.75,4, , , , ,59.75,72.0,44.0,4
2021-07-10 ,41.0,107.0,60.43,28,53.6,80.0,41.0,15,68.31,107.0,43.0,13
2021-07-11 ,40.0,105.0,60.69,29,59.5,105.0,40.0,18,62.64,105.0,48.0,11
2021-07-12 ,41.0,114.0,63.42,31,52.82,92.0,41.0,17,76.29,114.0,50.0,14
2021-07-13 ,40.0,116.0,63.76,33,54.56,106.0,40.0,18,74.8,116.0,47.0,15
2021-07-14 ,40.0,153.0,64.64,33,50.91,107.0,40.0,22,92.09,153.0,50.0,11
2021-07-15 ,40.0,118.0,63.87,30,60.28,118.0,40.0,18,69.25,107.0,47.0,12
2021-07-16 ,40.0,117.0,66.03,33,59.15,99.0,40.0,20,76.62,117.0,52.0,13
2021-07-17 ,40.0,112.0,56.32,28,53.42,112.0,40.0,19,62.44,83.0,42.0,9
2021-07-18 ,42.0,153.0,64.7,37,56.11,105.0,42.0,19,73.78,153.0,43.0,18
2021-07-19 ,43.0,123.0,70.13,30,58.63,109.0,43.0,19,90.0,123.0,50.0,11
2021-07-20 ,40.0,111.0,66.84,31,54.5,103.0,40.0,18,83.92,111.0,53.0,13
2021-07-21 ,44.0,128.0,67.3,27,57.11,112.0,44.0,18,87.67,128.0,58.0,9
2021-07-22 ,43.0,119.0,59.84,32,52.89,90.0,43.0,18,68.79,119.0,47.0,14
2021-07-23 ,40.0,125.0,63.97,35,56.5,95.0,40.0,22,76.62,125.0,49.0,13
2021-07-24 ,40.0,112.0,56.83,36,52.19,101.0,40.0,21,63.33,112.0,48.0,15
2021-07-25 ,41.0,118.0,58.86,28,50.95,79.0,41.0,19,75.56,118.0,48.0,9
2021-07-26 ,44.0,121.0,59.2,35,53.18,94.0,44.0,22,69.38,121.0,51.0,13
2021-07-27 ,40.0,116.0,60.49,47,53.39,116.0,40.0,28,70.95,110.0,46.0,19
2021-07-28 ,40.0,107.0,57.31,45,50.75,97.0,40.0,20,62.56,107.0,43.0,25
2021-07-29 ,40.0,118.0,63.9,40,51.72,72.0,40.0,18,73.86,118.0,52.0,22
2021-07-30 ,40.0,113.0,59.55,31,52.78,113.0,40.0,18,68.92,113.0,42.0,13
2021-07-31 ,43.0,105.0,58.0,21,47.92,54.0,43.0,12,71.44,105.0,53.0,9
2021-08-01 ,42.0,151.0,64.07,27,55.89,103.0,42.0,18,80.44,151.0,54.0,9
2021-08-02 ,42.0,108.0,64.24,33,60.37,108.0,42.0,19,69.5,103.0,51.0,14
2021-08-03 ,41.0,136.0,60.65,49,48.23,74.0,41.0,30,80.26,136.0,45.0,19
2021-08-04 ,40.0,104.0,54.21,24,50.44,78.0,40.0,16,61.75,104.0,47.0,8
2021-08-05 ,40.0,119.0,61.17,35,51.8,98.0,40.0,20,73.67,119.0,47.0,15
2021-08-06 ,40.0,92.0,54.45,42,54.11,91.0,40.0,18,54.71,92.0,41.0,24
2021-08-07 ,40.0,104.0,55.97,32,54.0,104.0,40.0,17,58.2,101.0,48.0,15
