Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-08 ,70.0,87.3,49.0
2021-07-09 ,75.97,87.01,58.25
2021-07-10 ,70.06,87.26,59.18
2021-07-11 ,75.49,85.26,61.91
2021-07-12 ,77.55,88.56,68.48
2021-07-13 ,60.35,84.71,56.94
2021-07-14 ,74.0,81.99,66.0
2021-07-15 ,72.73,84.08,63.51
2021-07-16 ,79.18,86.17,65.2
2021-07-17 ,76.6,83.44,65.7
2021-07-18 ,71.0,86.96,79.0
2021-07-19 ,74.0,88.16,59.0
2021-07-20 ,58.98,89.75,53.19
2021-07-21 ,62.0,82.95,65.0
2021-07-22 ,66.37,81.61,56.67
2021-07-24 ,61.55,80.31,49.51
2021-07-25 ,77.96,85.19,63.87
2021-07-26 ,70.0,78.33,39.0
2021-07-27 ,84.0,88.49,68.0
2021-07-28 ,73.85,82.84,69.62
2021-07-29 ,80.0,81.8,67.85
2021-07-30 ,79.54,84.45,62.82
2021-07-31 ,74.7,84.0,60.83
2021-08-01 ,75.38,84.04,58.59
2021-08-02 ,69.95,83.45,60.09
2021-08-03 ,67.04,86.85,48.12
2021-08-04 ,69.44,87.26,57.48
2021-08-05 ,76.69,87.19,62.66
2021-08-06 ,76.42,84.07,59.83
2021-08-07 ,76.12,82.28,63.19
2021-08-08 ,82.1,84.84,73.86
2021-08-09 ,70.98,81.52,59.9
2021-08-10 ,72.37,83.28,54.66
2021-08-11 ,75.0,89.8,63.0
2021-08-12 ,71.8,87.87,55.81
2021-08-13 ,60.0,82.98,58.0
2021-08-14 ,67.63,82.79,48.12
2021-08-15 ,75.89,87.55,59.95
2021-08-16 ,76.34,85.97,50.03
2021-08-17 ,65.25,84.08,67.95
2021-08-18 ,69.8,82.57,58.79
2021-08-19 ,68.34,79.33,52.02
2021-08-20 ,70.03,89.05,63.36
2021-08-21 ,54.07,85.85,56.48
2021-08-22 ,70.02,82.31,52.97
2021-08-23 ,73.29,85.9,52.78
2021-08-24 ,70.0,86.78,49.0
2021-08-25 ,71.77,79.97,47.32
2021-08-26 ,74.78,83.79,59.74
2021-08-27 ,72.9,89.65,56.49
2021-08-28 ,71.81,86.2,58.66
2021-08-29 ,72.01,84.17,62.8
2021-08-30 ,74.05,83.29,64.38
2021-08-31 ,68.99,84.3,68.95
2021-09-01 ,60.13,81.09,56.71
2021-09-02 ,71.57,84.29,63.62
2021-09-03 ,67.61,82.46,57.25
2021-09-04 ,65.99,82.58,61.91
2021-09-05 ,78.35,83.81,60.24
2021-09-06 ,70.0,85.11,47.0
2021-09-07 ,68.12,82.63,52.26
2021-09-08 ,62.9,84.35,54.28
2021-09-09 ,65.94,82.23,54.08
2021-09-10 ,40.0,86.85,57.0
2021-09-11 ,66.31,86.87,66.4
2021-09-12 ,70.0,91.18,48.0
2021-09-27 ,66.0,80.73,56.0
2021-10-13 ,47.0,84.14,68.0
2021-10-20 ,58.83,81.94,50.9
2021-10-22 ,75.05,87.03,70.61
2021-10-23 ,68.72,88.32,57.17
2021-10-24 ,73.0,83.67,69.0
2021-10-26 ,59.33,82.65,62.31
2021-11-02 ,71.59,86.42,52.14
2021-11-05 ,60.0,88.84,40.0
