Date,Total sleep time,Nap duration,Starting sleep time(night),Ending sleep time(night),Number of times woken up during sleep,Sleep during night,Total night sleep
2021-07-03 ,8 hours 52 min,6 hours 45 min,21:07:16,23:52:16,21,Yes,2 hours 7 min
2021-07-04 ,6 hours 54 min,3 hours 47 min,00:00:16,21:27:15,24,Yes,3 hours 7 min
2021-07-05 ,5 hours 50 min,5 hours 11 min,21:15:46,21:28:46,13,Yes,0 hours 39 min
2021-07-06 ,5 hours 44 min,5 hours 10 min,21:08:31,21:29:31,18,Yes,0 hours 34 min
2021-07-07 ,4 hours 14 min,3 hours 42 min,21:12:45,21:28:45,14,Yes,0 hours 32 min
2021-07-08 ,3 hours 26 min,2 hours 55 min,21:00:36,21:30:36,9,Yes,0 hours 31 min
2021-07-09 ,10 hours 37 min,7 hours 25 min,21:01:50,23:56:25,21,Yes,3 hours 12 min
2021-07-10 ,13 hours 14 min,5 hours 15 min,00:20:25,23:43:12,39,Yes,7 hours 59 min
2021-07-11 ,7 hours 59 min,7 hours 7 min,00:15:12,21:29:30,23,Yes,0 hours 52 min
2021-07-12 ,1 hours 48 min,1 hours 48 min,,,1,No,0 hours 0 min
2021-07-13 ,4 hours 27 min,3 hours 32 min,21:06:39,22:01:39,11,Yes,0 hours 55 min
2021-07-14 ,6 hours 30 min,6 hours 10 min,21:10:27,21:30:27,13,Yes,0 hours 20 min
2021-07-17 ,9 hours 41 min,7 hours 32 min,21:02:56,22:51:56,24,Yes,2 hours 9 min
2021-07-19 ,7 hours 38 min,6 hours 39 min,21:12:13,21:48:13,19,Yes,0 hours 59 min
2021-07-20 ,5 hours 16 min,5 hours 9 min,21:22:24,21:29:24,13,Yes,0 hours 7 min
2021-07-24 ,10 hours 9 min,8 hours 20 min,21:01:21,23:29:21,23,Yes,1 hours 49 min
2021-07-25 ,5 hours 38 min,5 hours 13 min,21:02:04,21:22:04,12,Yes,0 hours 25 min
2021-07-27 ,6 hours 27 min,5 hours 24 min,21:21:38,21:58:38,17,Yes,1 hours 3 min
2021-07-29 ,7 hours 9 min,6 hours 27 min,21:01:34,21:29:34,17,Yes,0 hours 42 min
2021-07-30 ,2 hours 45 min,2 hours 45 min,,,6,No,0 hours 0 min
2021-07-31 ,6 hours 19 min,5 hours 44 min,21:10:41,22:14:41,20,Yes,0 hours 35 min
2021-08-01 ,4 hours 50 min,2 hours 38 min,01:02:23,03:21:23,12,Yes,2 hours 12 min
2021-08-02 ,5 hours 15 min,5 hours 15 min,,,9,No,0 hours 0 min
2021-08-04 ,6 hours 25 min,5 hours 0 min,21:00:06,22:11:06,18,Yes,1 hours 25 min
2021-08-05 ,5 hours 50 min,4 hours 30 min,21:09:27,22:12:27,10,Yes,1 hours 20 min
2021-08-07 ,6 hours 50 min,3 hours 57 min,21:05:19,23:58:20,17,Yes,2 hours 53 min
2021-08-08 ,6 hours 27 min,4 hours 58 min,00:07:20,01:32:21,15,Yes,1 hours 29 min
2021-08-10 ,5 hours 56 min,4 hours 52 min,21:00:18,21:59:18,16,Yes,1 hours 4 min
2021-08-12 ,4 hours 48 min,4 hours 48 min,,,14,No,0 hours 0 min
2021-08-14 ,8 hours 36 min,6 hours 19 min,21:00:36,23:15:36,20,Yes,2 hours 17 min
2021-08-15 ,8 hours 30 min,4 hours 35 min,02:26:14,22:53:43,24,Yes,3 hours 55 min
2021-08-16 ,5 hours 23 min,5 hours 23 min,,,10,No,0 hours 0 min
2021-08-17 ,8 hours 1 min,6 hours 57 min,21:24:24,21:59:24,18,Yes,1 hours 4 min
2021-08-18 ,7 hours 1 min,6 hours 4 min,21:29:35,21:56:35,17,Yes,0 hours 57 min
2021-08-21 ,4 hours 21 min,2 hours 43 min,21:10:48,23:23:48,15,Yes,1 hours 38 min
2021-08-22 ,7 hours 23 min,6 hours 8 min,00:05:48,07:49:58,17,Yes,1 hours 15 min
2021-08-23 ,3 hours 41 min,3 hours 41 min,,,12,No,0 hours 0 min
2021-08-24 ,4 hours 6 min,4 hours 6 min,,,12,No,0 hours 0 min
2021-08-26 ,7 hours 32 min,6 hours 9 min,21:11:16,22:56:16,16,Yes,1 hours 23 min
2021-08-27 ,7 hours 14 min,5 hours 21 min,21:12:42,23:05:42,20,Yes,1 hours 53 min
2021-08-28 ,4 hours 33 min,3 hours 48 min,21:15:06,23:47:07,15,Yes,0 hours 45 min
2021-08-29 ,2 hours 13 min,0 hours 0 min,00:07:07,05:36:01,4,Yes,2 hours 13 min
2021-08-30 ,5 hours 56 min,4 hours 40 min,21:04:03,22:12:03,14,Yes,1 hours 16 min
2021-08-31 ,5 hours 22 min,4 hours 53 min,21:41:09,22:10:09,14,Yes,0 hours 29 min
2021-09-01 ,6 hours 7 min,5 hours 26 min,21:04:49,21:29:49,15,Yes,0 hours 41 min
2021-09-02 ,4 hours 17 min,4 hours 17 min,,,9,No,0 hours 0 min
2021-09-04 ,1 hours 36 min,1 hours 36 min,,,4,No,0 hours 0 min
2021-09-05 ,6 hours 17 min,6 hours 17 min,,,15,No,0 hours 0 min
2021-09-07 ,4 hours 38 min,3 hours 46 min,21:09:07,21:47:07,10,Yes,0 hours 52 min
2021-09-08 ,5 hours 30 min,5 hours 5 min,21:55:34,22:20:34,17,Yes,0 hours 25 min
2021-09-09 ,7 hours 54 min,6 hours 25 min,21:23:52,22:28:52,17,Yes,1 hours 29 min
2021-09-11 ,6 hours 48 min,4 hours 7 min,21:16:44,23:31:45,17,Yes,2 hours 41 min
2021-09-12 ,6 hours 29 min,5 hours 13 min,00:06:45,22:40:03,17,Yes,1 hours 16 min
2021-09-13 ,6 hours 22 min,5 hours 42 min,21:07:57,21:37:57,13,Yes,0 hours 40 min
2021-09-14 ,5 hours 21 min,4 hours 19 min,21:00:00,21:37:00,9,Yes,1 hours 2 min
2021-09-16 ,5 hours 27 min,4 hours 17 min,21:16:20,22:33:20,15,Yes,1 hours 10 min
2021-09-18 ,6 hours 13 min,4 hours 54 min,21:21:05,23:11:05,16,Yes,1 hours 19 min
2021-09-19 ,6 hours 14 min,3 hours 31 min,21:00:42,23:56:47,16,Yes,2 hours 43 min
2021-09-20 ,8 hours 29 min,5 hours 56 min,00:24:47,08:30:56,23,Yes,2 hours 33 min
2021-09-21 ,7 hours 21 min,4 hours 56 min,21:11:06,23:24:06,18,Yes,2 hours 25 min
2021-09-22 ,7 hours 3 min,6 hours 38 min,21:04:36,21:24:36,17,Yes,0 hours 25 min
2021-09-24 ,7 hours 51 min,5 hours 52 min,21:09:20,23:59:20,19,Yes,1 hours 59 min
2021-09-25 ,9 hours 48 min,6 hours 47 min,00:12:20,23:57:41,20,Yes,3 hours 1 min
2021-09-26 ,12 hours 24 min,7 hours 38 min,00:20:41,22:16:49,33,Yes,4 hours 46 min
