com.samsung.shealth.tracker.pedometer_step_count,6196009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
12839,4,0,22,2021-10-23 21:52:00.000,,,2021-10-23 21:54:20.205,2021-10-23 21:54:20.205,22,1.25,16.05,0.91,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 21:53:00.000,06357250-94b3-4b9e-999f-99099e597e05,
,,0,9,2021-10-23 20:00:00.000,,,2021-10-23 21:50:18.000,2021-10-23 20:00:59.000,9,0.110677086,6.640625,0.37280273,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-23 20:00:59.000,0186a50a-783d-d274-f227-f0ce7f002d3c,
14824,4,0,22,2021-10-23 22:36:00.000,,,2021-10-23 22:55:13.406,2021-10-23 22:55:13.406,22,1.0833334,16.06,0.9,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 22:37:00.000,fb55a32a-e252-4966-8775-c332435537c9,
40374,4,0,56,2021-10-23 22:37:00.000,,,2021-10-23 22:55:13.444,2021-10-23 22:55:13.444,92,1.4722222,59.44,5.04,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 22:38:00.000,4d0adfe2-8c28-420c-9ba4-cf8accb29d84,
50634,4,0,81,2021-10-23 23:36:00.000,,,2021-10-23 23:40:08.833,2021-10-23 23:40:08.833,81,1.1944444,60.48,3.24,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:37:00.000,f8541c19-1ac7-47f3-922e-a2a35665adb0,
,,0,11,2021-10-23 23:47:00.000,,,2021-10-23 23:48:00.000,2021-10-23 23:47:59.000,11,0.13561198,8.136719,0.45196533,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-23 23:47:59.000,94f98e1e-8257-3afb-6a6d-7364e936e571,
21522,4,0,30,2021-10-23 23:35:00.000,,,2021-10-23 23:40:08.784,2021-10-23 23:40:08.784,30,1.0277778,22.12,1.21,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:36:00.000,30a24859-619e-47af-b83e-7cab63210830,
60000,4,0,99,2021-10-23 23:52:00.000,,,2021-10-23 23:52:59.780,2021-10-23 23:52:00.535,107,1.3481673,80.89004,4.2799973,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:53:00.000,3abd5816-682b-4f84-8c4d-39ad1d10804d,
4363,4,0,8,2021-10-23 23:46:00.000,,,2021-10-23 23:46:58.472,2021-10-23 23:46:57.148,8,1.4370128,6.27,0.32,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:47:00.000,8f745cad-50aa-4404-b444-802658a145d3,
,,0,55,2021-10-23 23:51:00.000,,,2021-10-23 23:52:00.000,2021-10-23 23:51:59.000,55,0.6817057,40.902344,2.2540283,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-23 23:51:59.000,3d71b8fd-f058-a045-cc46-69d89b64d0fa,
59643,4,0,110,2021-10-24 01:05:00.000,,,2021-10-24 01:05:59.914,2021-10-24 01:05:00.520,110,1.423134,84.88005,4.399997,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 01:06:00.000,5d16d56c-be57-4c5c-a073-c8b5d84ecd1d,
,,0,42,2021-10-24 01:06:00.000,,,2021-10-24 01:07:00.000,2021-10-24 01:06:59.000,42,0.5441732,32.65039,1.6903076,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:06:59.000,98ec72fa-c0dc-40d6-8370-78e2a9522d4e,
,,0,14,2021-10-24 01:28:00.000,,,2021-10-24 01:32:00.000,2021-10-24 01:28:59.000,14,0.17973633,10.78418,0.5625,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:28:59.000,52e6f2d8-5e54-16ab-48b6-e777c7c0d442,
,,0,5,2021-10-24 01:37:00.000,,,2021-10-24 01:38:00.000,2021-10-24 01:37:59.000,5,0.06269531,3.7617188,0.2029419,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:37:59.000,2dc9fc1e-ad79-1c7a-965a-8c2eb55a5395,
33142,4,0,59,2021-10-24 01:58:00.000,,,2021-10-24 02:00:36.484,2021-10-24 02:00:36.484,59,1.3611112,45.11,2.36,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 01:59:00.000,546fb431-8e9d-4a28-9301-1969d9b076ad,
,,0,11,2021-10-23 22:32:00.000,,,2021-10-23 22:33:00.000,2021-10-23 22:32:59.000,11,0.14589843,8.753906,0.4373169,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-23 22:32:59.000,7739e4bc-7353-689d-1538-7662c587635f,
7819,4,0,15,2021-10-24 02:09:00.000,,,2021-10-24 02:14:58.443,2021-10-24 02:14:58.443,15,1.5,11.73,0.6,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:10:00.000,f0d3e650-d20b-49a0-a937-fb8737390713,
8972,4,0,0,2021-10-23 22:38:00.000,,,2021-10-23 22:55:13.480,2021-10-23 22:55:13.480,34,1.4722222,13.21,2.91,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 22:39:00.000,f4d98767-8e04-4afd-9999-bd77c87342f6,
,,0,26,2021-10-24 02:11:00.000,,,2021-10-24 02:12:00.000,2021-10-24 02:11:59.000,26,0.3397461,20.384766,1.0421753,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:11:59.000,0e19790a-95f4-c173-fe6c-310236f2fed2,
43828,4,0,70,2021-10-23 23:40:00.000,,,2021-10-23 23:42:05.959,2021-10-23 23:40:13.033,70,1.1887323,52.1,2.81,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:41:00.000,b3bcd810-5dfe-475b-8a31-2f3e1c453722,
,,0,14,2021-10-24 02:16:00.000,,,2021-10-24 02:17:00.000,2021-10-24 02:16:59.000,14,0.17579752,10.547852,0.5704956,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:16:59.000,b044e8c5-d879-4f63-4324-7b8d07daec84,
20685,4,0,37,2021-10-23 23:47:00.000,,,2021-10-23 23:50:06.347,2021-10-23 23:50:06.347,37,1.3888888,28.73,1.48,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:48:00.000,cbccb210-f835-449f-a4a3-5efa0e8227ee,
,,0,15,2021-10-24 02:25:00.000,,,2021-10-24 02:26:00.000,2021-10-24 02:25:59.000,15,0.19000651,11.400391,0.6087036,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:25:59.000,08d4ba1d-65ff-3076-a470-febc56a8aa6f,
27963,4,0,49,2021-10-23 23:53:00.000,,,2021-10-23 23:55:01.147,2021-10-23 23:53:00.383,49,1.3331548,37.280003,1.9699998,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:54:00.000,bd213cef-2b2b-45ee-a14c-0da7a4df1346,
29530,4,0,40,2021-10-24 02:25:00.000,,,2021-10-24 02:28:00.975,2021-10-24 02:28:00.975,40,0.9722222,28.71,1.65,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:26:00.000,bb6af02f-6e98-4191-9b50-fc4ecac73910,
,,0,108,2021-10-23 23:52:00.000,,,2021-10-23 23:53:00.000,2021-10-23 23:52:59.000,108,1.3754394,82.52637,4.3515625,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-23 23:52:59.000,1a79bac4-10ad-e284-1fe5-e74ebd197772,
,,0,14,2021-10-24 02:34:00.000,,,2021-10-24 02:35:00.000,2021-10-24 02:34:59.000,14,0.17392579,10.435547,0.5748291,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:34:59.000,c9101230-5b70-687c-9938-92c1bf56e9a0,
,,0,19,2021-10-24 01:03:00.000,,,2021-10-24 01:04:00.000,2021-10-24 01:03:59.000,19,0.249056,14.943359,0.7595215,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:03:59.000,45cef845-814e-fb9b-02b2-6fa77fff1f6e,
10975,4,0,16,2021-10-24 02:38:00.000,,,2021-10-24 02:45:52.851,2021-10-24 02:45:52.851,16,1.0833334,11.89,0.65,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:39:00.000,71194744-15c3-4b75-846c-6cc8f70c5ff0,
46293,4,0,70,2021-10-23 23:51:00.000,,,2021-10-23 23:51:59.911,2021-10-23 23:51:00.674,70,1.112461,51.500008,2.8099985,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-23 23:52:00.000,e00f8a82-8508-4653-a501-f66fdb074f37,
7745,4,0,10,2021-10-24 02:56:00.000,,,2021-10-24 03:00:26.749,2021-10-24 03:00:26.749,10,0.9166667,7.1,0.42,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:57:00.000,50dfe647-f206-4cb3-ad82-4429a94e741f,
,,0,46,2021-10-23 23:50:00.000,,,2021-10-23 23:51:00.000,2021-10-23 23:50:59.000,46,0.59554034,35.73242,1.8476562,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-23 23:50:59.000,84563f15-cc17-8a0e-632b-d05cb9ae4222,
12701,4,0,21,2021-10-24 01:31:00.000,,,2021-10-24 01:32:09.597,2021-10-24 01:32:09.597,21,1.2777778,16.23,0.84,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 01:32:00.000,c4efd5ae-acbc-460b-9fc0-9e046f38d53f,
52450,4,0,70,2021-10-24 01:04:00.000,,,2021-10-24 01:04:59.933,2021-10-24 01:04:00.238,100,1.2644296,66.31999,6.169999,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 01:05:00.000,0555a847-3d39-4388-a32f-250917836099,
,,0,25,2021-10-24 02:51:00.000,,,2021-10-24 02:52:00.000,2021-10-24 02:51:59.000,25,0.31199545,18.719727,1.0264893,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:51:59.000,774f0096-cfdf-a3c1-d227-8f86b94e3591,
,,0,34,2021-10-24 01:32:00.000,,,2021-10-24 01:33:00.000,2021-10-24 01:32:59.000,34,0.4363607,26.18164,1.3692627,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:32:59.000,3f00d87b-ceee-e948-ee6d-634a16e14562,
,,0,110,2021-10-24 01:05:00.000,,,2021-10-24 01:06:00.000,2021-10-24 01:05:59.000,110,1.4112793,84.67676,4.4196167,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:05:59.000,82522434-8785-5b85-de0f-3f31f48dc24a,
,,0,20,2021-10-24 02:57:00.000,,,2021-10-24 02:58:00.000,2021-10-24 02:57:59.000,20,0.25566405,15.339844,0.81170654,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:57:59.000,1e89d301-5eb7-dc32-8456-9b594ebd3fa2,
,,0,10,2021-10-24 01:41:00.000,,,2021-10-24 01:42:01.000,2021-10-24 01:41:59.000,10,0.13032226,7.819336,0.40222168,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:41:59.000,27287a7c-fe6f-2bb6-78bb-428971149db8,
46794,4,0,53,2021-10-24 01:35:00.000,,,2021-10-24 01:35:59.794,2021-10-24 01:35:52.013,72,1.012083,47.360004,2.9199996,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 01:36:00.000,c22c20fa-2d69-483b-91bf-532f60fc9899,
,,0,32,2021-10-24 03:04:00.000,,,2021-10-24 03:05:00.000,2021-10-24 03:04:59.000,32,0.40341797,24.205078,1.3009644,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 03:04:59.000,6edef62e-fb9b-3605-51d9-3da148de4a05,
,,0,10,2021-10-24 01:36:00.000,,,2021-10-24 01:37:00.000,2021-10-24 01:36:59.000,10,0.12727864,7.6367188,0.4093628,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:36:59.000,d8b3bdda-2917-e29f-ecdb-2e6bad023d2d,
20625,4,0,38,2021-10-24 01:59:00.000,,,2021-10-24 02:00:36.519,2021-10-24 02:00:36.519,38,1.4166666,29.22,1.52,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:00:00.000,f9d5d65d-d62b-42d4-96f5-5fd3326b14b7,
,,0,107,2021-10-24 03:12:00.000,,,2021-10-24 03:13:00.000,2021-10-24 03:12:59.000,107,1.3867351,83.2041,4.2999268,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 03:12:59.000,d4cc8bba-301b-b78a-9beb-21d29134d1cb,
16892,4,0,23,2021-10-24 02:11:00.000,,,2021-10-24 02:14:58.535,2021-10-24 02:14:58.535,25,1.0833334,18.3,1.02,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 02:12:00.000,7d02c024-b226-4bd3-8cae-ec81147814ed,
49997,4,0,34,2021-10-24 03:11:00.000,,,2021-10-24 03:15:06.125,2021-10-24 03:15:06.125,78,0.9444444,47.22,4.49,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 03:12:00.000,6722c2c2-50f7-41b6-a867-f187de139b7d,
,,0,113,2021-10-24 03:13:00.000,,,2021-10-24 03:14:00.000,2021-10-24 03:13:59.000,113,1.522754,91.365234,4.4887695,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 03:13:59.000,74e43bf0-941d-13a9-ffe1-1ebfda0bfd7c,
,,0,62,2021-10-24 02:12:00.000,,,2021-10-24 02:13:00.000,2021-10-24 02:12:59.000,62,0.7938151,47.628906,2.501892,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:12:59.000,26fa65b4-3cc4-6f2e-a375-9839ebb0f2ee,
,,0,19,2021-10-24 03:33:00.000,,,2021-10-24 03:34:00.000,2021-10-24 03:33:59.000,19,0.2505371,15.032227,0.76104736,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 03:33:59.000,e53f2624-6fa0-c86b-5848-02ac02ded2ea,
,,0,67,2021-10-24 04:37:00.000,,,2021-10-24 04:38:01.000,2021-10-24 04:37:59.000,67,0.83209634,49.92578,2.7497559,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 04:37:59.000,13d242ef-eae8-e0a0-62a0-1922b15d0692,
,,0,22,2021-10-24 02:18:00.000,,,2021-10-24 02:19:00.000,2021-10-24 02:18:59.000,22,0.27371418,16.422852,0.901001,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:18:59.000,8bc74087-ec71-2f90-c2cf-a698e6acb202,
,,0,43,2021-10-24 04:42:00.000,,,2021-10-24 04:43:00.000,2021-10-24 04:42:59.000,43,0.53102213,31.861328,1.7714844,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 04:42:59.000,c7a776af-473a-2a38-fe84-89cfd1d980ca,
58764,4,0,78,2021-10-24 04:49:00.000,,,2021-10-24 04:50:12.763,2021-10-24 04:50:12.763,77,0.9444444,55.5,3.15,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 04:50:00.000,251014fb-5df6-47e5-8f56-f047eff4315e,
,,0,42,2021-10-24 02:26:00.000,,,2021-10-24 02:27:00.000,2021-10-24 02:26:59.000,42,0.5402832,32.416992,1.6934814,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:26:59.000,f4d19618-4e0f-0f7b-dc15-e753023e90a3,
,,0,65,2021-10-24 04:49:00.000,,,2021-10-24 04:50:00.000,2021-10-24 04:49:59.000,65,0.8062337,48.374023,2.6721191,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 04:49:59.000,3cd1814a-14d1-695f-bd7c-118bdd6f24e7,
,,0,13,2021-10-24 05:03:00.000,,,2021-10-24 05:04:00.000,2021-10-24 05:03:59.000,13,0.16354166,9.8125,0.5303955,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 05:03:59.000,26d34a40-c34e-3bbf-d502-9164b8417dc4,
6256,4,0,9,2021-10-24 05:05:00.000,,,2021-10-24 05:15:05.017,2021-10-24 05:15:05.017,9,1.0277778,6.43,0.38,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 05:06:00.000,dbfdca93-d959-444b-8c7e-a720e44f8e26,
38355,4,0,65,2021-10-24 01:57:00.000,,,2021-10-24 02:00:36.438,2021-10-24 02:00:36.438,65,1.2777778,49.01,2.61,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 01:58:00.000,4f1bfc14-6a52-4ee5-ab2c-31e6d566cef3,
,,0,36,2021-10-24 01:59:00.000,,,2021-10-24 02:00:00.000,2021-10-24 01:59:59.000,36,0.4630371,27.782227,1.4448242,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 01:59:59.000,364ae71d-0ac0-68c1-48e9-6a393a211da1,
,,0,40,2021-10-24 05:27:00.000,,,2021-10-24 05:28:00.000,2021-10-24 05:27:59.000,40,0.51197916,30.71875,1.6193237,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 05:27:59.000,f9165dbe-2a70-6a8c-36b4-d0c16db8d5ac,
29704,4,0,44,2021-10-24 05:26:00.000,,,2021-10-24 05:35:00.931,2021-10-24 05:35:00.931,44,1.0833334,32.18,1.8,UTC+0900,Jxx4Glzrrb,com.sec.android.app.shealth,2021-10-24 05:27:00.000,0d72a50e-a8ad-4548-adfc-f15e0988c616,
,,0,14,2021-10-24 02:09:00.000,,,2021-10-24 02:10:00.000,2021-10-24 02:09:59.000,14,0.1818685,10.912109,0.56396484,UTC+0900,KmBeZnzV9y,com.sec.android.app.shealth,2021-10-24 02:09:59.000,c38af38c-6706-8bca-36fa-7c631e97ec20,
