Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-07-13 ,8955,1.56,7167.45,No
2021-07-14 ,27070,1.4,21407.96,Yes
2021-07-15 ,19476,1.48,15231.33,Yes
2021-07-16 ,10718,1.52,8399.92,Yes
2021-07-17 ,19452,1.47,15200.61,Yes
2021-07-18 ,6835,1.21,5330.44,No
2021-07-19 ,8298,1.27,6737.81,No
2021-07-20 ,7082,1.74,5827.73,No
2021-07-21 ,31066,1.36,24311.27,Yes
2021-07-22 ,5825,1.5,4503.83,No
2021-07-23 ,16951,1.19,13052.22,Yes
2021-07-25 ,8586,1.49,6796.26,No
2021-07-26 ,14239,0.96,11044.38,Yes
2021-07-27 ,6248,1.53,4919.59,No
2021-07-28 ,18494,1.47,14682.36,Yes
2021-07-29 ,22040,1.08,17009.51,Yes
2021-07-30 ,6302,0.82,4801.95,No
2021-07-31 ,14064,1.25,10934.07,Yes
2021-08-01 ,1428,1.57,1170.58,No
2021-08-02 ,4435,1.35,3618.44,No
2021-08-03 ,4651,1.15,3757.57,No
2021-08-04 ,5156,1.44,4222.1,No
2021-08-05 ,23587,1.38,18590.28,Yes
2021-08-06 ,19682,1.42,15866.56,Yes
2021-08-07 ,5869,1.56,4713.0,No
2021-08-08 ,12453,1.27,9943.16,Yes
2021-08-09 ,7807,1.6,6168.06,No
2021-08-10 ,19694,1.39,15531.84,Yes
2021-08-11 ,11107,1.37,8839.58,Yes
2021-08-12 ,4243,1.26,3334.85,No
2021-08-13 ,5348,0.64,4155.76,No
2021-08-14 ,17077,1.4,13423.65,Yes
2021-08-15 ,11,1.33,8.68,No
2021-08-16 ,20761,1.49,16945.55,Yes
2021-08-17 ,18665,1.52,14906.86,Yes
2021-08-18 ,29,2.49,28.52,No
2021-08-19 ,9424,1.13,7428.68,No
2021-08-20 ,14095,1.36,11092.8,Yes
2021-08-21 ,4667,1.49,3628.97,No
2021-08-23 ,4038,0.97,3065.44,No
2021-08-24 ,16538,1.36,12763.38,Yes
2021-08-26 ,15926,1.07,12472.34,Yes
2021-08-27 ,7724,1.54,6001.04,No
2021-08-28 ,15769,1.06,11992.26,Yes
2021-08-29 ,3587,0.94,2823.55,No
2021-08-30 ,10233,1.23,7887.76,Yes
2021-08-31 ,5740,0.81,4402.14,No
2021-09-01 ,7550,1.3,6042.36,No
2021-09-02 ,6807,1.72,5470.61,No
2021-09-03 ,27279,1.24,21303.25,Yes
2021-09-04 ,15146,1.71,12366.06,Yes
2021-09-05 ,10551,1.44,8416.94,Yes
2021-09-06 ,8605,1.53,6817.96,No
2021-09-07 ,12630,1.45,9984.1,Yes
2021-09-08 ,1546,0.55,1181.06,No
2021-09-09 ,13921,1.51,10954.02,Yes
2021-09-10 ,19920,1.39,15604.16,Yes
2021-09-11 ,7652,1.61,6022.27,No
2021-09-12 ,4277,1.33,3310.24,No
2021-09-13 ,2871,0.47,2224.55,No
2021-09-14 ,1551,0.4,1181.73,No
2021-09-15 ,16022,1.21,12526.36,Yes
2021-09-17 ,24371,1.44,19260.53,Yes
2021-09-18 ,32925,1.34,26055.4,Yes
2021-09-19 ,10783,0.94,8458.35,Yes
2021-09-20 ,3370,1.15,2769.52,No
2021-09-21 ,683,2.01,605.93,No
2021-09-22 ,1511,0.59,1163.26,No
2021-09-23 ,9885,1.2,7739.53,No
2021-09-24 ,18297,1.47,14450.86,Yes
2021-09-25 ,8882,1.54,7000.2,No
2021-09-26 ,9430,1.15,7543.06,No
2021-09-27 ,5970,1.49,4771.68,No
2021-09-28 ,685,0.67,524.8,No
2021-09-29 ,5194,1.47,4137.9,No
