com.samsung.shealth.report,6200039,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1625929200000,2021-07-18 05:07:04.135,2021-07-18 05:07:03.373,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,cd0ddae4-9fd5-4850-9c3c-2c3d6f79edd6,cd0ddae4-9fd5-4850-9c3c-2c3d6f79edd6.compressed_content.json,
Asia/Seoul,1627138800000,2021-08-06 05:05:19.529,2021-08-06 05:04:06.690,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,08a68cf1-a247-4e5f-b8a6-4c26906d81a6,08a68cf1-a247-4e5f-b8a6-4c26906d81a6.compressed_content.json,
Asia/Seoul,1630767600000,2021-09-14 06:24:09.848,2021-09-14 06:24:06.321,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,fab1f189-0a47-4673-8c64-6bcbbd1cf5bd,fab1f189-0a47-4673-8c64-6bcbbd1cf5bd.compressed_content.json,
Asia/Seoul,1635001200000,2021-10-31 05:08:03.936,2021-10-31 05:08:02.058,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,33ff499e-652f-41b0-b844-ed3e0c8b8f3b,33ff499e-652f-41b0-b844-ed3e0c8b8f3b.compressed_content.json,
Asia/Seoul,1630162800000,2021-09-05 05:04:25.091,2021-09-05 05:04:22.310,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,10d170c4-60ad-4e10-9452-50fac5ecb923,10d170c4-60ad-4e10-9452-50fac5ecb923.compressed_content.json,
Asia/Seoul,1627743600000,2021-08-08 05:04:42.351,2021-08-08 05:04:30.650,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,fbdbe849-0353-4c84-bbed-da75c83aea32,fbdbe849-0353-4c84-bbed-da75c83aea32.compressed_content.json,
Asia/Seoul,1634396400000,2021-10-25 05:04:28.737,2021-10-24 05:04:11.545,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,f7651027-df51-4f8e-8b8b-25ba752bc27d,f7651027-df51-4f8e-8b8b-25ba752bc27d.compressed_content.json,
Asia/Seoul,1631372400000,2021-09-19 05:09:33.235,2021-09-19 05:09:31.637,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,9edba8b4-6ebf-436b-b8a0-7372cc79d814,9edba8b4-6ebf-436b-b8a0-7372cc79d814.compressed_content.json,
Asia/Seoul,1638630000000,2021-12-12 05:07:38.150,2021-12-12 05:07:25.599,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,bdc2dca2-6a26-4027-9f70-f1517192cd67,bdc2dca2-6a26-4027-9f70-f1517192cd67.compressed_content.json,
Asia/Seoul,1636210800000,2021-11-15 05:04:55.815,2021-11-15 05:04:48.790,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,b62ec181-4133-443d-97d9-375805cc82df,b62ec181-4133-443d-97d9-375805cc82df.compressed_content.json,
Asia/Seoul,1628348400000,2021-08-15 05:22:45.562,2021-08-15 05:22:39.697,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,6c7a649d-9ef4-433e-bad3-cd2e5df7ffdd,6c7a649d-9ef4-433e-bad3-cd2e5df7ffdd.compressed_content.json,
Asia/Seoul,1631977200000,2021-09-26 05:07:40.870,2021-09-26 05:07:39.430,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,4b41b832-f592-45a4-895a-dcec71f3050a,4b41b832-f592-45a4-895a-dcec71f3050a.compressed_content.json,
Asia/Seoul,1636815600000,2021-11-21 06:24:37.819,2021-11-21 06:24:34.517,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,5421160b-b7a7-4f46-acee-10f1f478dad5,5421160b-b7a7-4f46-acee-10f1f478dad5.compressed_content.json,
Asia/Seoul,1628953200000,2021-08-22 05:11:42.929,2021-08-22 05:11:41.515,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,e3234841-153a-48cf-acfe-c5aee96a88f5,e3234841-153a-48cf-acfe-c5aee96a88f5.compressed_content.json,
Asia/Seoul,1633186800000,2021-10-14 05:11:05.697,2021-10-14 05:11:03.421,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,435bf721-2eed-4a9c-8b3a-a0f65b8e66fb,435bf721-2eed-4a9c-8b3a-a0f65b8e66fb.compressed_content.json,
Asia/Seoul,1637420400000,2021-11-28 05:05:04.738,2021-11-28 05:05:02.238,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,806d547c-6e5f-4cba-a0c4-460b2c7d3b44,806d547c-6e5f-4cba-a0c4-460b2c7d3b44.compressed_content.json,
Asia/Seoul,1629558000000,2021-08-29 05:36:55.583,2021-08-29 05:36:51.976,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,d0b6b936-f937-4246-870b-78478b619342,d0b6b936-f937-4246-870b-78478b619342.compressed_content.json,
Asia/Seoul,1633791600000,2021-10-17 05:10:09.893,2021-10-17 05:10:03.275,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,fc26ee26-50df-4b0b-ad89-6b03ff89f7f4,fc26ee26-50df-4b0b-ad89-6b03ff89f7f4.compressed_content.json,
Asia/Seoul,1638025200000,2021-12-06 05:04:13.459,2021-12-06 05:04:11.565,0,0,2,MvwKid7qVC,X,com.sec.android.app.shealth,c0a11212-d727-4e75-954a-791a287f504d,c0a11212-d727-4e75-954a-791a287f504d.compressed_content.json,
