com.samsung.shealth.tracker.pedometer_day_summary,6200039,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
6142,bc5fd829-87a5-4a33-a36f-31aaf2eb5285.binning_data.json,3485923,6000,16,2015-12-08 15:00:04.793,com.sec.android.app.shealth,2015-12-08 15:00:04.793,,3.9722216,4392.03,202.66,6126,wakAfCXJCw,com.sec.android.app.shealth,0,bc5fd829-87a5-4a33-a36f-31aaf2eb5285.achievement.json,bc5fd829-87a5-4a33-a36f-31aaf2eb5285,1449532800000,
782,ae45633a-4915-4476-840c-056190832b3e.binning_data.json,393547,6000,9,2015-12-14 15:00:02.910,com.sec.android.app.shealth,2015-12-14 15:00:02.910,,3.0277777,542.6,29.37,773,wakAfCXJCw,com.sec.android.app.shealth,0,ae45633a-4915-4476-840c-056190832b3e.achievement.json,ae45633a-4915-4476-840c-056190832b3e,1450051200000,
4703,d59d2406-9e6d-4e24-85f4-9ec54cc6794f.binning_data.json,2418776,6000,60,2015-12-20 15:00:03.192,com.sec.android.app.shealth,2015-12-20 15:00:03.192,,5.567721,3414.53,167.24,4643,wakAfCXJCw,com.sec.android.app.shealth,0,d59d2406-9e6d-4e24-85f4-9ec54cc6794f.achievement.json,d59d2406-9e6d-4e24-85f4-9ec54cc6794f,1450569600000,
1290,a4140453-bf0d-43cb-8a7e-a0b709ca5fb1.binning_data.json,675727,6000,6,2015-12-26 15:00:03.195,com.sec.android.app.shealth,2015-12-26 15:00:03.195,,4.388889,931.13,48.76,1284,wakAfCXJCw,com.sec.android.app.shealth,0,a4140453-bf0d-43cb-8a7e-a0b709ca5fb1.achievement.json,a4140453-bf0d-43cb-8a7e-a0b709ca5fb1,1451088000000,
16021,6b8fcec9-eb69-40f4-ade9-ed44567530de.binning_data.json,9282417,6000,192,2015-12-09 15:00:02.926,com.sec.android.app.shealth,2015-12-09 11:32:05.054,,3.6044986,11496.32,516.76,15829,wakAfCXJCw,com.sec.android.app.shealth,6359,6b8fcec9-eb69-40f4-ade9-ed44567530de.achievement.json,6b8fcec9-eb69-40f4-ade9-ed44567530de,1449619200000,
1532,c8f3e20d-5c79-4f4d-b51d-a38edb5f910c.binning_data.json,1037648,6000,0,2016-01-01 15:00:11.007,com.sec.android.app.shealth,2016-01-01 15:00:11.007,,2.3611112,1058.74,54.11,1532,wakAfCXJCw,com.sec.android.app.shealth,0,c8f3e20d-5c79-4f4d-b51d-a38edb5f910c.achievement.json,c8f3e20d-5c79-4f4d-b51d-a38edb5f910c,1451606400000,
3721,ff6ffbcd-a3e3-4d6c-8837-cca8f728ee68.binning_data.json,2272253,6000,0,2015-12-10 15:00:18.952,com.sec.android.app.shealth,2015-12-10 15:00:18.952,,2.6388888,2617.69,114.44,3721,wakAfCXJCw,com.sec.android.app.shealth,0,ff6ffbcd-a3e3-4d6c-8837-cca8f728ee68.achievement.json,ff6ffbcd-a3e3-4d6c-8837-cca8f728ee68,1449705600000,
635,955f39c2-1e60-4a39-892e-0565d3c6c654.binning_data.json,306843,6000,0,2015-12-15 15:00:01.895,com.sec.android.app.shealth,2015-12-15 15:00:01.895,,1.9722222,420.32,24.94,635,wakAfCXJCw,com.sec.android.app.shealth,0,955f39c2-1e60-4a39-892e-0565d3c6c654.achievement.json,955f39c2-1e60-4a39-892e-0565d3c6c654,1450137600000,
3196,c5b936ac-de0e-4a9d-9007-e913bf7f9eec.binning_data.json,1887353,6000,0,2015-12-16 15:00:02.053,com.sec.android.app.shealth,2015-12-16 15:00:02.053,,3.2222223,2252.85,106.57,3196,wakAfCXJCw,com.sec.android.app.shealth,0,c5b936ac-de0e-4a9d-9007-e913bf7f9eec.achievement.json,c5b936ac-de0e-4a9d-9007-e913bf7f9eec,1450224000000,
597,96dc4f19-bb7f-48c4-b4d9-50643d666fe4.binning_data.json,256289,6000,8,2016-01-07 15:00:03.366,com.sec.android.app.shealth,2016-01-07 15:00:03.366,,2.5555558,411.6,26.12,589,wakAfCXJCw,com.sec.android.app.shealth,0,96dc4f19-bb7f-48c4-b4d9-50643d666fe4.achievement.json,96dc4f19-bb7f-48c4-b4d9-50643d666fe4,1452124800000,
599,3f62e146-6a25-4dcd-bb75-8fe9473e49df.binning_data.json,257314,6000,4,2015-12-21 15:00:45.892,com.sec.android.app.shealth,2015-12-21 15:00:45.892,,2.7447352,411.92,24.97,595,wakAfCXJCw,com.sec.android.app.shealth,0,3f62e146-6a25-4dcd-bb75-8fe9473e49df.achievement.json,3f62e146-6a25-4dcd-bb75-8fe9473e49df,1450656000000,
4626,f76b8bc8-82bb-4db3-8e6b-0d62ce7d64cd.binning_data.json,2801800,6000,13,2015-12-11 15:00:05.302,com.sec.android.app.shealth,2015-12-11 15:00:05.302,,2.5504308,3277.21,150.17,4613,wakAfCXJCw,com.sec.android.app.shealth,0,f76b8bc8-82bb-4db3-8e6b-0d62ce7d64cd.achievement.json,f76b8bc8-82bb-4db3-8e6b-0d62ce7d64cd,1449792000000,
408,2d795e3f-e2a1-4883-9a48-39265103b590.binning_data.json,221776,6000,5,2016-01-13 15:00:02.915,com.sec.android.app.shealth,2016-01-13 15:00:02.915,,2.2777777,300.97,13.959999,403,wakAfCXJCw,com.sec.android.app.shealth,0,2d795e3f-e2a1-4883-9a48-39265103b590.achievement.json,2d795e3f-e2a1-4883-9a48-39265103b590,1452643200000,
638,391a607c-4ee7-49db-a044-3cf49d1cf369.binning_data.json,351996,6000,15,2015-12-22 15:00:47.459,com.sec.android.app.shealth,2015-12-22 15:00:47.459,,2.3611112,444.25,26.81,623,wakAfCXJCw,com.sec.android.app.shealth,0,391a607c-4ee7-49db-a044-3cf49d1cf369.achievement.json,391a607c-4ee7-49db-a044-3cf49d1cf369,1450742400000,
951,6c582947-5422-4dd2-8cef-b01acf59e284.binning_data.json,510589,6000,7,2016-01-19 15:00:38.425,com.sec.android.app.shealth,2016-01-19 15:00:38.425,,6.1564813,693.67,33.359997,944,wakAfCXJCw,com.sec.android.app.shealth,0,6c582947-5422-4dd2-8cef-b01acf59e284.achievement.json,6c582947-5422-4dd2-8cef-b01acf59e284,1453161600000,
11685,068b9eeb-3834-4afa-a637-d09d9a73af04.binning_data.json,6856314,6000,24,2015-12-27 15:00:42.950,com.sec.android.app.shealth,2015-12-27 15:00:42.950,,2.5,8303.26,363.87,11661,wakAfCXJCw,com.sec.android.app.shealth,5033,068b9eeb-3834-4afa-a637-d09d9a73af04.achievement.json,068b9eeb-3834-4afa-a637-d09d9a73af04,1451174400000,
3406,58c385d3-188a-4157-87b2-95f22988c54a.binning_data.json,2133670,6000,12,2015-12-17 15:00:02.022,com.sec.android.app.shealth,2015-12-17 15:00:02.022,,6.805555,2407.8699,117.19,3394,wakAfCXJCw,com.sec.android.app.shealth,0,58c385d3-188a-4157-87b2-95f22988c54a.achievement.json,58c385d3-188a-4157-87b2-95f22988c54a,1450310400000,
1235,2c65435d-d4a6-4d96-87e1-031ca0063788.binning_data.json,560326,6000,1,2015-12-28 15:00:48.671,com.sec.android.app.shealth,2015-12-28 15:00:48.671,,6.9444447,846.9,47.63,1234,wakAfCXJCw,com.sec.android.app.shealth,0,2c65435d-d4a6-4d96-87e1-031ca0063788.achievement.json,2c65435d-d4a6-4d96-87e1-031ca0063788,1451260800000,
671,1b27c263-9cc4-42e0-a47b-83dbc9ca728e.binning_data.json,388102,6000,4,2016-01-25 15:00:03.355,com.sec.android.app.shealth,2016-01-25 15:00:03.355,,1.8488289,485.53,23.65,667,wakAfCXJCw,com.sec.android.app.shealth,0,1b27c263-9cc4-42e0-a47b-83dbc9ca728e.achievement.json,1b27c263-9cc4-42e0-a47b-83dbc9ca728e,1453680000000,
743,969735f6-1346-4a7f-b805-d7199d91d687.binning_data.json,394809,6000,1,2016-01-03 15:00:03.375,com.sec.android.app.shealth,2016-01-03 15:00:03.375,,2.2546926,524.94,28.789999,742,wakAfCXJCw,com.sec.android.app.shealth,0,969735f6-1346-4a7f-b805-d7199d91d687.achievement.json,969735f6-1346-4a7f-b805-d7199d91d687,1451779200000,
692,5ee14951-efea-4570-85ba-e295e2f86204.binning_data.json,362134,6000,1,2015-12-23 15:00:03.066,com.sec.android.app.shealth,2015-12-23 15:00:03.066,,2.9166667,472.58,26.79,691,wakAfCXJCw,com.sec.android.app.shealth,0,5ee14951-efea-4570-85ba-e295e2f86204.achievement.json,5ee14951-efea-4570-85ba-e295e2f86204,1450828800000,
2328,8b0bb9ab-f352-4dd2-a68a-af94b59f7267.binning_data.json,1457239,6000,1,2016-01-02 15:00:02.998,com.sec.android.app.shealth,2016-01-02 15:00:02.998,,2.9503918,1628.88,78.13,2327,wakAfCXJCw,com.sec.android.app.shealth,0,8b0bb9ab-f352-4dd2-a68a-af94b59f7267.achievement.json,8b0bb9ab-f352-4dd2-a68a-af94b59f7267,1451692800000,
892,cc497d56-7fa2-4963-afb9-135f36e59d54.binning_data.json,517325,6000,12,2016-01-09 15:00:04.925,com.sec.android.app.shealth,2016-01-09 15:00:04.925,,4.138889,627.9,33.77,880,wakAfCXJCw,com.sec.android.app.shealth,0,cc497d56-7fa2-4963-afb9-135f36e59d54.achievement.json,cc497d56-7fa2-4963-afb9-135f36e59d54,1452297600000,
807,688eaa97-884d-4da6-97f5-b16951ea3924.binning_data.json,411183,6000,4,2015-12-29 15:00:02.351,com.sec.android.app.shealth,2015-12-29 15:00:02.351,,2.4687226,574.38,30.71,803,wakAfCXJCw,com.sec.android.app.shealth,0,688eaa97-884d-4da6-97f5-b16951ea3924.achievement.json,688eaa97-884d-4da6-97f5-b16951ea3924,1451347200000,
2989,b0f3b51e-e37b-4ee4-861f-9244e5624061.binning_data.json,1850940,6000,8,2015-12-12 15:00:03.458,com.sec.android.app.shealth,2015-12-12 15:00:03.458,,2.1123152,2119.02,97.31,2981,wakAfCXJCw,com.sec.android.app.shealth,1039,b0f3b51e-e37b-4ee4-861f-9244e5624061.achievement.json,b0f3b51e-e37b-4ee4-861f-9244e5624061,1449878400000,
11608,8154997f-a4bc-44a0-829c-05be02ec9202.binning_data.json,7050194,6000,0,2016-02-03 21:35:27.000,com.sec.android.app.shealth,2016-02-03 03:00:19.907,,2.0000002,8073.96,367.05,11608,wakAfCXJCw,com.sec.android.app.shealth,3263,8154997f-a4bc-44a0-829c-05be02ec9202.achievement.json,8154997f-a4bc-44a0-829c-05be02ec9202,1454457600000,
