com.samsung.health.sleep_stage,6200039,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-07-13 16:34:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 16:34:22.000,2021-07-13 17:29:22.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 17:29:22.000,fde16151-0ca5-e935-1706-702c3401cad4,
2021-07-13 16:32:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 16:32:22.000,2021-07-13 16:34:22.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 16:34:22.000,d1065040-f361-3e3b-d658-62bd552545c5,
2021-07-13 17:29:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 17:29:22.000,2021-07-13 17:30:22.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 17:30:22.000,79e192cc-229c-947e-735a-4cc28d779153,
2021-07-13 17:37:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 17:37:22.000,2021-07-13 17:54:22.000,40004,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 17:54:22.000,3b2bf875-5250-1ed4-591f-e615a413c7b3,
2021-07-13 17:54:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 17:54:22.000,2021-07-13 17:56:22.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 17:56:22.000,897e3b83-2bf9-2455-c8fd-2ee05a700d45,
2021-07-13 17:56:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 17:56:22.000,2021-07-13 18:22:22.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 18:22:22.000,27727200-7c10-c513-6ff9-18d72a70016e,
2021-07-13 19:26:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 19:26:22.000,2021-07-13 19:28:22.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 19:28:22.000,9da1c248-9092-73d2-fba7-fbd3f4cd89c7,
2021-07-13 19:28:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 19:28:22.000,2021-07-13 19:29:22.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 19:29:22.000,3b38bf02-e0af-98bf-2d36-263d602f8c1c,
2021-07-13 19:29:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 19:29:22.000,2021-07-13 19:32:22.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 19:32:22.000,bb1145b2-1be4-930e-d68c-766c5ad94b98,
2021-07-13 19:59:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 19:59:22.000,2021-07-13 20:15:22.000,40003,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 20:15:22.000,1d81ddc2-63c8-cdb2-2dd3-52be6cd9325e,
