com.samsung.shealth.exercise.weather,6201005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,0,2016-04-04 01:55:02.262,36.35045,,북동. 45.0,구름과 해,0,0,AccuWeather,2016-04-04 01:55:02.273,2016-04-04 01:55:02.273,1,127.4276,57.0,66,UTC+0900,wakAfCXJCw,9a597ce9-8be9-4c30-b8bb-1ad9eaf6ce7a,com.sec.android.app.shealth,mi/h,0,6.7,4,2e22595c-9164-4c9a-ac11-cd76187d109f,
0.0,0,2016-04-04 03:42:43.893,36.34433,,동남동. 113.0,일부 화창,0,0,AccuWeather,2016-04-04 03:42:43.902,2016-04-04 03:42:43.902,1,127.41611,62.0,55,UTC+0900,wakAfCXJCw,6a9ecc4e-2604-4c15-805d-4bc988807431,com.sec.android.app.shealth,mi/h,0,9.2,4,d5cff6a3-719d-43c3-a15d-007549d32765,
0.0,0,2016-04-05 02:18:22.788,36.328648,,서남서. 248.0,일부 화창,0,0,AccuWeather,2016-04-05 02:18:22.791,2016-04-05 02:18:22.791,1,127.40501,55.0,47,UTC+0900,wakAfCXJCw,3ef788a1-5d3f-4ae9-a556-519a4d44df6e,com.sec.android.app.shealth,mi/h,0,6.3,4,c3dc6647-1876-4a68-b9ba-c213053f9a2a,
0.0,0,2016-04-06 22:26:12.434,36.344387,,북. 0.0,비,0,0,AccuWeather,2016-04-06 22:26:12.448,2016-04-06 22:26:12.448,1,127.41618,49.0,97,UTC+0900,wakAfCXJCw,43cf0054-89b3-47da-883d-950a41564cd3,com.sec.android.app.shealth,mi/h,0,1.2,7,63fa767a-1da9-480c-aade-35493e0ee2d7,
0.0,0,2016-04-07 03:18:11.374,36.339256,,북서. 315.0,흐림,0,0,AccuWeather,2016-04-07 03:18:11.387,2016-04-07 03:18:11.387,1,127.416985,62.0,81,UTC+0900,wakAfCXJCw,6c955add-652c-4903-9162-f7fdb26b2c10,com.sec.android.app.shealth,mi/h,0,6.3,20,2db78b62-b869-4283-89da-ef101b4a2771,
0.0,0,2016-04-11 01:49:22.793,36.357807,,동. 90.0,대체로 화창,0,0,AccuWeather,2016-04-11 01:49:22.798,2016-04-11 01:49:22.798,1,127.40259,53.0,49,UTC+0900,wakAfCXJCw,e5f8d9fa-aea9-4870-b6f3-5fb69c4292da,com.sec.android.app.shealth,mi/h,0,7.1,1,b2e4db71-8f21-49aa-96cc-4a1bb5316b84,
0.0,0,2016-04-07 04:55:01.457,36.34432,,동. 90.0,대체로 흐림,0,0,AccuWeather,2016-04-07 04:55:01.461,2016-04-07 04:55:01.461,1,127.41613,63.0,62,UTC+0900,wakAfCXJCw,07eb610f-99a6-4237-9eb0-261bc08e0981,com.sec.android.app.shealth,mi/h,0,3.9,20,9a6b4528-7801-46f9-b2f8-0806b271cf63,
0.0,0,2016-04-12 07:49:16.733,36.344795,,서. 270.0,대체로 흐림,0,0,AccuWeather,2016-04-12 07:49:16.737,2016-04-12 07:49:16.737,1,127.41578,65.0,40,UTC+0900,wakAfCXJCw,5b392012-5b41-4a12-bc5f-8a2cafb3f923,com.sec.android.app.shealth,mi/h,0,8.6,20,0adc46c0-1a5b-450e-a589-08c0cf9ecb65,
0.0,0,2016-04-11 02:21:39.621,36.347042,,동. 90.0,대체로 화창,0,0,AccuWeather,2016-04-11 02:21:39.628,2016-04-11 02:21:39.628,1,127.409966,56.0,65,UTC+0900,wakAfCXJCw,e29d8457-d16f-46d0-ae3d-f4f59482a5a4,com.sec.android.app.shealth,mi/h,0,7.2,1,07fc3eb1-8090-4de2-98ae-448e279715cc,
0.0,0,2016-06-12 04:35:01.682,36.352093,,남남서. 203.0,흐림,0,0,AccuWeather,2016-06-12 04:35:01.696,2016-06-12 04:35:01.696,1,127.402756,79.0,76,UTC+0900,wakAfCXJCw,9c856304-0688-4482-a7e0-737bad88ee32,com.sec.android.app.shealth,mi/h,0,4.6,20,529b11d5-8461-4fd0-95d5-74c9b0109404,
