com.samsung.health.floors_climbed,6201005,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-10-09 00:43:08.000,,2021-10-09 00:53:06.804,2021-10-09 00:53:06.603,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-09 00:43:19.000,acac7362-578e-40bc-b273-c49ea93fddf3,
2021-10-12 02:03:06.000,,2021-10-12 02:18:05.490,2021-10-12 02:18:05.275,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-12 02:04:07.000,b3cad1ed-78d2-4c6d-b515-dffe24231679,
2021-10-13 04:01:40.000,,2021-10-13 04:06:14.550,2021-10-13 04:06:14.430,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-13 04:02:13.000,ac627225-06b3-4264-9511-829f9ea10c21,
2021-10-14 22:17:42.000,,2021-10-14 22:39:55.714,2021-10-14 22:39:53.840,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-14 22:18:47.000,e53d8499-3993-4395-820e-452721dc7c1b,
2021-10-15 00:46:23.000,,2021-10-15 01:18:52.231,2021-10-15 01:18:51.885,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-15 00:46:50.000,f47e870d-546e-4137-a401-505507535702,
2021-10-15 04:23:35.000,,2021-10-15 05:08:39.784,2021-10-15 05:08:39.574,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-15 04:24:06.000,42be3a3c-4732-4dd2-8854-f1db95066ad7,
2021-10-17 23:26:28.000,,2021-10-17 23:29:02.640,2021-10-17 23:29:02.280,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-17 23:26:47.000,de792f19-b58b-4d8a-a77c-6f61375b3e93,
2021-10-18 06:50:18.000,,2021-10-18 07:24:40.013,2021-10-18 07:24:39.883,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-18 06:50:57.000,f152726c-f896-44ac-bd6f-59319cb8c282,
2021-10-19 06:51:28.000,,2021-10-19 07:01:57.715,2021-10-19 07:01:57.630,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-19 06:51:50.000,fe3c82ab-ce2e-49d7-9993-2e5a0a51b2b5,
2021-10-20 00:33:18.000,,2021-10-20 01:03:45.612,2021-10-20 01:03:44.462,3.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-20 00:34:18.000,0f0581b5-2d60-4d3a-9520-ff3cd82341b9,
2021-10-20 22:14:21.000,,2021-10-20 22:21:21.396,2021-10-20 22:21:21.396,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-20 22:14:46.000,f0c8320d-3628-4099-a283-7d00d8061be7,
2021-10-21 00:08:50.000,,2021-10-21 01:09:48.015,2021-10-21 01:09:47.752,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-21 00:09:31.000,531323a5-4fb9-433a-b4d8-06daafd11017,
2021-10-21 06:11:31.000,,2021-10-21 06:39:28.552,2021-10-21 06:39:28.484,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-21 06:11:49.000,05ff6901-69e1-4e7a-9cfb-43a0e7f50c0d,
2021-10-22 07:31:36.000,,2021-10-22 07:45:21.473,2021-10-22 07:45:21.047,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-22 07:32:07.000,54e80498-704e-4f3e-a392-49c833b96d7c,
2021-10-24 22:17:55.000,,2021-10-24 22:23:30.099,2021-10-24 22:23:29.674,2.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-24 22:19:28.000,3e9544fd-58ce-4b47-b463-778739413f40,
2021-10-26 00:53:06.000,,2021-10-26 02:57:01.762,2021-10-26 02:57:01.529,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-26 00:53:45.000,df53c463-c722-4214-94b1-46e1c9b6e2b0,
2021-10-26 22:16:44.000,,2021-10-26 22:27:11.910,2021-10-26 22:27:11.910,1.0,UTC+0900,MN1BiSH8rg,com.sec.android.app.shealth,2021-10-26 22:17:13.000,a1d441f7-5d88-47e2-a318-0f6522db5aa2,
