com.samsung.shealth.food_favorite,6170019,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
0.0,2,2021-07-07 10:02:25.207,2021-07-07 10:02:25.207,bef96420-bdaf-4cbf-9ee0-c650e2062502,,bef96420-bdaf-4cbf-9ee0-c650e2062502,0.0,V57RQzDK0T,com.sec.android.app.shealth,b59b4ac5-e356-48f6-9ceb-d78c527be542,6f01c0f2-c759-4caa-9710-20f9dd0597c0,
0.0,2,2021-07-07 10:02:25.206,2021-07-07 10:02:25.206,bef96420-bdaf-4cbf-9ee0-c650e2062502,,bef96420-bdaf-4cbf-9ee0-c650e2062502,0.0,V57RQzDK0T,com.sec.android.app.shealth,9e4b993d-8711-4e08-b123-11fac4883bdb,6f9d9a12-eff1-487e-8046-a383faf9f2ec,
0.0,2,2021-07-07 10:02:25.207,2021-07-07 10:02:25.207,bef96420-bdaf-4cbf-9ee0-c650e2062502,,bef96420-bdaf-4cbf-9ee0-c650e2062502,0.0,V57RQzDK0T,com.sec.android.app.shealth,5d157a94-396d-44bd-a51b-27de7c81e41b,cc5f81a1-7295-4c37-8fba-1062075f6446,
1.0,3,2021-07-08 02:58:44.078,2021-07-08 02:58:44.078,포기김치,120001,5fe14372-c752-4b2f-ba6c-8d916dc6d3f7,20.0,V57RQzDK0T,com.sec.android.app.shealth,524e0a7a-134a-4b4f-b21d-d4bff47e92c1,e538f267-2f7a-4b2f-af84-aa9c955d5d9e,
0.0,2,2021-07-07 10:02:25.206,2021-07-07 10:02:25.206,bef96420-bdaf-4cbf-9ee0-c650e2062502,,bef96420-bdaf-4cbf-9ee0-c650e2062502,0.0,V57RQzDK0T,com.sec.android.app.shealth,5aab2e76-07cc-4209-9246-6c95750d2f25,59d0f725-85c7-4273-b907-bba796a8a049,
1.0,3,2021-07-08 02:58:29.224,2021-07-08 02:58:29.224,치커리참깨소스무침,120001,c63f4a25-f37b-41dc-89b9-46de525565e7,78.0,V57RQzDK0T,com.sec.android.app.shealth,a02b9b32-866a-4abb-8f06-b735ddd82f23,a005aea5-c0cc-4cf0-a7fd-5f6f5d0d12cf,
1.0,3,2021-07-08 02:57:58.738,2021-07-08 02:57:58.738,야채계란찜,120001,70a2d458-f447-451a-a77a-e32aa706c2c6,187.0,V57RQzDK0T,com.sec.android.app.shealth,b761c8b5-be87-4856-9a4d-87d7c7f8fb1f,67dcd0d1-afa5-4ef4-b92b-d2564e930385,
0.0,2,2021-07-08 03:01:02.024,2021-07-08 03:01:02.024,856f14c2-dd02-445e-8a9f-af064806ea6a,,856f14c2-dd02-445e-8a9f-af064806ea6a,0.0,V57RQzDK0T,com.sec.android.app.shealth,bd5daeee-8b22-48e1-9733-79e0a43f47d7,e538f267-2f7a-4b2f-af84-aa9c955d5d9e,
0.0,2,2021-07-08 03:01:02.023,2021-07-08 03:01:02.023,856f14c2-dd02-445e-8a9f-af064806ea6a,,856f14c2-dd02-445e-8a9f-af064806ea6a,0.0,V57RQzDK0T,com.sec.android.app.shealth,5586ccfd-bf05-4221-a372-38ecc11632c0,a005aea5-c0cc-4cf0-a7fd-5f6f5d0d12cf,
1.0,3,2021-07-08 02:57:33.144,2021-07-08 02:57:33.144,아욱국,120001,28265037-1ac2-4546-a2de-fedd067250ae,210.0,V57RQzDK0T,com.sec.android.app.shealth,756a47e6-dece-483a-85be-216438a2f539,a7a59830-d1b7-4095-8f1c-92baf2ab75a1,
