com.samsung.health.exercise,1144003,15
count_type,update_time,decline_distance,end_time,additional,max_rpm,pkg_name,mean_cadence,custom,duration,comment,mean_power,location_data,mean_caloricburn_rate,create_time,altitude_loss,mean_rpm,distance,max_power,count,max_cadence,altitude_gain,max_altitude,exercise_custom_type,vo2_max,datauuid,max_caloricburn_rate,max_heart_rate,mean_speed,max_speed,start_time,calorie,mean_heart_rate,live_data,min_heart_rate,min_altitude,incline_distance,exercise_type,deviceuuid,time_offset
,2021. 07. 03. 오후 12:19:18,0.000000,2021. 07. 03. 오후 12:19:18,,,com.sec.android.app.shealth,,,4000,,,,,2021. 07. 03. 오후 12:19:18,,,,,,,,0.000000,,,e7b5d63f-87b6-86ef-cdba-54ff0682dc27,,0.000000,,,2021. 07. 03. 오후 12:19:12,0.183750,0.000000,e7b5d63f-87b6-86ef-cdba-54ff0682dc27.live_data,,0.000000,0.000000,0,jj7jIQhOji,32400000,
,2021. 07. 03. 오후 12:22:54,0.000000,2021. 07. 03. 오후 12:22:54,,,com.sec.android.app.shealth,0.000000,,2000,,,,,2021. 07. 03. 오후 12:22:54,,,0.000000,,,0.000000,,0.000000,,,c13b5414-74f1-9a7c-d3ee-f35a89aa7528,,0.000000,0.000000,0.000000,2021. 07. 03. 오후 12:22:50,0.105000,0.000000,c13b5414-74f1-9a7c-d3ee-f35a89aa7528.live_data,,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 07. 05. 오전 10:30:49,0.000000,2021. 07. 05. 오전 10:30:49,,,com.sec.android.app.shealth,0.000000,,1686000,,,,,2021. 07. 05. 오전 10:30:49,,,0.000000,,,0.000000,,0.000000,,,58f3fe9c-027b-bb47-669b-225f79cb4bd8,,122.000000,0.000000,0.000000,2021. 07. 05. 오전 10:02:42,176.924820,102.000000,58f3fe9c-027b-bb47-669b-225f79cb4bd8.live_data,70.000000,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 07. 05. 오후 2:52:07,0.000000,2021. 07. 05. 오후 2:52:07,,,com.sec.android.app.shealth,0.000000,,13554000,,,,,2021. 07. 05. 오후 2:52:07,,,0.000000,,,0.000000,,0.000000,,,fe4cfa89-11c9-5987-69cb-33be5ac5cb2c,,149.000000,0.000000,0.000000,2021. 07. 05. 오전 10:31:12,1422.918945,108.000000,fe4cfa89-11c9-5987-69cb-33be5ac5cb2c.live_data,70.000000,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 07. 11. 오후 3:39:26,0.000000,2021. 07. 11. 오후 3:39:26,,,com.sec.android.app.shealth,0.000000,,73000,,,,,2021. 07. 11. 오후 3:39:26,,,0.000000,,,0.000000,,0.000000,,,4d8b3943-7c8e-6c4c-9b34-6e5a60c246cb,,116.000000,0.000000,0.000000,2021. 07. 11. 오후 3:38:04,2.310000,116.000000,4d8b3943-7c8e-6c4c-9b34-6e5a60c246cb.live_data,116.000000,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 07. 11. 오후 3:44:31,0.000000,2021. 07. 11. 오후 3:44:31,,,com.sec.android.app.shealth,0.000000,,82000,,,,,2021. 07. 11. 오후 3:44:31,,,0.000000,,,0.000000,,0.000000,,,3af83b7d-42ff-be8b-b12e-74ae75e023f2,,128.000000,0.000000,0.000000,2021. 07. 11. 오후 3:43:05,0.000000,116.000000,3af83b7d-42ff-be8b-b12e-74ae75e023f2.live_data,100.000000,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 07. 11. 오후 3:45:48,0.000000,2021. 07. 11. 오후 3:45:48,,,com.sec.android.app.shealth,0.000000,,1000,,,,,2021. 07. 11. 오후 3:45:48,,,0.000000,,,0.000000,,0.000000,,,74ffe4ec-00b6-c6b1-9b2d-3b3b76b3579c,,127.000000,0.000000,0.000000,2021. 07. 11. 오후 3:45:45,0.000000,127.000000,74ffe4ec-00b6-c6b1-9b2d-3b3b76b3579c.live_data,127.000000,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 07. 11. 오후 3:47:59,0.000000,2021. 07. 11. 오후 3:47:59,,,com.sec.android.app.shealth,0.000000,,60000,,,,,2021. 07. 11. 오후 3:47:59,,,0.000000,,,0.000000,,0.000000,,,1957dd52-87a0-9d17-192e-4beb74624c8e,,127.000000,0.000000,0.000000,2021. 07. 11. 오후 3:46:47,0.000000,106.000000,1957dd52-87a0-9d17-192e-4beb74624c8e.live_data,89.000000,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 07. 11. 오후 4:01:29,0.000000,2021. 07. 11. 오후 4:01:29,,,com.sec.android.app.shealth,0.000000,,106000,,,,,2021. 07. 11. 오후 4:01:29,,,0.000000,,,0.000000,,0.000000,,,a769233c-c488-c76d-bcc6-99b0b86a3a11,,109.000000,0.000000,0.000000,2021. 07. 11. 오후 3:59:40,0.000000,90.000000,a769233c-c488-c76d-bcc6-99b0b86a3a11.live_data,74.000000,0.000000,0.000000,13001,jj7jIQhOji,32400000,
,2021. 11. 29. 오전 10:02:45,,2021. 11. 29. 오전 10:02:45,,,com.sec.android.app.shealth,101.847610,,777000,,,,,2021. 11. 29. 오전 10:02:45,,,995.801147,,,126.999992,,0.000000,,,c9040716-4fca-9e27-1589-4f4a9602fa56,,0.000000,1.200046,1.683390,2021. 11. 29. 오전 9:49:48,44.194679,0.000000,c9040716-4fca-9e27-1589-4f4a9602fa56.live_data,,0.000000,,1001,jj7jIQhOji,32400000,
