com.samsung.health.step_count,1144003,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.435035,com.sec.android.app.shealth,5,,32400000,2021. 07. 03. 오후 12:17:00,0.131194,m5awt1XVZi,,2021. 07. 03. 오후 12:18:00,16252822-0000-0000-0000-252822200000,4.064287,2021. 07. 03. 오후 12:18:01,2021. 07. 03. 오후 12:18:01,
1.325656,com.sec.android.app.shealth,12,,32400000,2021. 07. 03. 오후 12:18:00,0.310211,m5awt1XVZi,,2021. 07. 03. 오후 12:19:00,16252822-0000-0000-0000-252822800000,7.575713,2021. 07. 03. 오후 12:37:15,2021. 07. 03. 오후 12:37:15,
0.418904,com.sec.android.app.shealth,22,,32400000,2021. 07. 03. 오후 12:27:00,1.270336,m5awt1XVZi,,2021. 07. 03. 오후 12:28:00,16252828-0000-0000-0000-252828200000,16.370001,2021. 07. 03. 오후 12:37:15,2021. 07. 03. 오후 12:37:15,
0.890656,com.sec.android.app.shealth,15,,32400000,2021. 07. 03. 오후 12:28:00,0.526951,m5awt1XVZi,,2021. 07. 03. 오후 12:29:00,16252828-0000-0000-0000-252828800000,10.500000,2021. 07. 03. 오후 12:37:15,2021. 07. 03. 오후 12:37:15,
0.108723,com.sec.android.app.shealth,8,,32400000,2021. 07. 03. 오후 12:26:00,0.253456,jj7jIQhOji,,2021. 07. 03. 오후 12:26:59,0d665bf3-a9eb-4152-e33b-49d8e0b44462,6.523395,2021. 07. 03. 오후 12:26:59,2021. 07. 03. 오후 12:27:00,
0.309634,com.sec.android.app.shealth,24,,32400000,2021. 07. 03. 오후 12:27:00,0.773337,jj7jIQhOji,,2021. 07. 03. 오후 12:27:59,f5f3f695-23e6-0de2-a1ac-56537b316bc2,18.578054,2021. 07. 03. 오후 12:27:59,2021. 07. 03. 오후 12:28:00,
0.253176,com.sec.android.app.shealth,20,,32400000,2021. 07. 03. 오후 12:28:00,0.648659,jj7jIQhOji,,2021. 07. 03. 오후 12:28:59,1cda5a7f-5548-8c5e-7ef8-f6f5abf03225,15.190554,2021. 07. 03. 오후 12:28:59,2021. 07. 03. 오후 12:29:00,
0.380438,com.sec.android.app.shealth,30,,32400000,2021. 07. 03. 오후 12:29:00,0.973277,jj7jIQhOji,,2021. 07. 03. 오후 12:29:59,a7cfb3e1-2231-67f1-0330-a58961d3402f,22.826267,2021. 07. 03. 오후 12:29:59,2021. 07. 03. 오후 12:30:00,
0.684344,com.sec.android.app.shealth,37,,32400000,2021. 07. 03. 오후 12:29:00,1.565581,m5awt1XVZi,,2021. 07. 03. 오후 12:30:00,16252829-0000-0000-0000-252829400000,26.389999,2021. 07. 03. 오후 8:49:08,2021. 07. 03. 오후 8:49:08,
0.810887,com.sec.android.app.shealth,68,,32400000,2021. 07. 03. 오후 12:57:00,2.899979,m5awt1XVZi,,2021. 07. 03. 오후 12:58:00,16252846-0000-0000-0000-252846200000,52.520000,2021. 07. 03. 오후 8:49:08,2021. 07. 03. 오후 8:49:08,
