com.samsung.shealth.activity.day_summary,1144003,2
day_time,goal,target,pkg_name,update_time,walk_time,longest_idle_time,active_time,longest_active_time,calorie,deviceuuid,run_time,step_count,extra_data,datauuid,distance,create_time,others_time,score
1624752000000,-1,,com.sec.android.app.shealth,2021. 07. 03. 오후 12:19:18,0,-1,0,0,0.000000,m5awt1XVZi,0,0,76b58c38-e46e-4ef3-a99f-d30a01fe2c9e.extra_data,76b58c38-e46e-4ef3-a99f-d30a01fe2c9e,0.000000,2021. 07. 03. 오후 12:19:18,0,0,
1624838400000,-1,,com.sec.android.app.shealth,2021. 07. 03. 오후 12:19:19,0,-1,0,0,0.000000,m5awt1XVZi,0,0,e7ce1ca8-e44a-4edd-a023-81ebb593627b.extra_data,e7ce1ca8-e44a-4edd-a023-81ebb593627b,0.000000,2021. 07. 03. 오후 12:19:19,0,0,
1624924800000,-1,,com.sec.android.app.shealth,2021. 07. 03. 오후 12:19:19,0,-1,0,0,0.000000,m5awt1XVZi,0,0,f152ee33-0c5e-4dbf-879c-642699fea499.extra_data,f152ee33-0c5e-4dbf-879c-642699fea499,0.000000,2021. 07. 03. 오후 12:19:19,0,0,
1625011200000,-1,,com.sec.android.app.shealth,2021. 07. 03. 오후 12:19:19,0,-1,0,0,0.000000,m5awt1XVZi,0,0,f164a0aa-87cd-4a6b-b2cd-c1f769e1787a.extra_data,f164a0aa-87cd-4a6b-b2cd-c1f769e1787a,0.000000,2021. 07. 03. 오후 12:19:19,0,0,
1625097600000,-1,,com.sec.android.app.shealth,2021. 07. 03. 오후 12:19:19,0,-1,0,0,0.000000,m5awt1XVZi,0,0,e8c0a964-e25a-4f65-bdb7-a676a602d05e.extra_data,e8c0a964-e25a-4f65-bdb7-a676a602d05e,0.000000,2021. 07. 03. 오후 12:19:19,0,0,
1625184000000,-1,,com.sec.android.app.shealth,2021. 07. 03. 오후 12:19:19,0,-1,0,0,0.000000,m5awt1XVZi,0,0,65c9b08b-c27f-4c25-bc48-c1bf788deb20.extra_data,65c9b08b-c27f-4c25-bc48-c1bf788deb20,0.000000,2021. 07. 03. 오후 12:19:19,0,0,
1625270400000,60,,com.sec.android.app.shealth,2021. 07. 03. 오후 8:49:10,1249688,44220000,1260488,300000,66.146774,m5awt1XVZi,4800,2004,94244943-9a52-4f31-94fc-132f29b1dd16.extra_data,94244943-9a52-4f31-94fc-132f29b1dd16,1545.784790,2021. 07. 03. 오후 8:49:10,6000,0,
1625356800000,-1,,com.sec.android.app.shealth,2021. 07. 05. 오후 3:32:26,0,-1,0,0,0.000000,m5awt1XVZi,0,0,f9b5beb3-7821-45a1-a39f-94996c543be0.extra_data,f9b5beb3-7821-45a1-a39f-94996c543be0,0.000000,2021. 07. 05. 오후 3:32:26,0,0,
1625443200000,60,,com.sec.android.app.shealth,2021. 07. 05. 오후 6:17:25,1397245,35040000,16637245,13566000,1678.078247,m5awt1XVZi,0,21851,b8a5c0f5-aecc-462e-85cd-359ef0daa09a.extra_data,b8a5c0f5-aecc-462e-85cd-359ef0daa09a,1629.032349,2021. 07. 05. 오후 6:17:25,15240000,0,
1625529600000,-1,,com.sec.android.app.shealth,2021. 07. 10. 오후 9:27:21,0,-1,0,0,0.000000,m5awt1XVZi,0,0,2374c068-88e9-47f1-bbba-cbcf1c94ab8e.extra_data,2374c068-88e9-47f1-bbba-cbcf1c94ab8e,0.000000,2021. 07. 10. 오후 9:27:21,0,0,
1625616000000,-1,,com.sec.android.app.shealth,2021. 07. 10. 오후 9:27:21,0,-1,0,0,0.000000,m5awt1XVZi,0,0,dc61c30e-3762-4cc8-b1a4-8d0ea876f846.extra_data,dc61c30e-3762-4cc8-b1a4-8d0ea876f846,0.000000,2021. 07. 10. 오후 9:27:21,0,0,
1625702400000,-1,,com.sec.android.app.shealth,2021. 07. 10. 오후 9:27:21,0,-1,0,0,0.000000,m5awt1XVZi,0,0,32b10ba6-91ca-4043-b663-891d6ee02fe6.extra_data,32b10ba6-91ca-4043-b663-891d6ee02fe6,0.000000,2021. 07. 10. 오후 9:27:21,0,0,
1625788800000,-1,,com.sec.android.app.shealth,2021. 07. 10. 오후 9:27:21,0,-1,0,0,0.000000,m5awt1XVZi,0,0,880ea7d8-1477-4465-a1fd-3e7b260df155.extra_data,880ea7d8-1477-4465-a1fd-3e7b260df155,0.000000,2021. 07. 10. 오후 9:27:21,0,0,
1625875200000,60,,com.sec.android.app.shealth,2021. 07. 10. 오후 9:27:22,156078,28320000,182478,17600,12.941605,m5awt1XVZi,26400,300,619f0e0b-00f0-48af-96b6-7ac8c75422fe.extra_data,619f0e0b-00f0-48af-96b6-7ac8c75422fe,253.249924,2021. 07. 10. 오후 9:27:22,0,0,
1625961600000,60,,com.sec.android.app.shealth,2021. 07. 11. 오후 11:22:01,577856,56220000,931456,166000,38.451916,m5awt1XVZi,31600,1083,6805cf5a-bf3f-409c-8dd7-d4759502d835.extra_data,6805cf5a-bf3f-409c-8dd7-d4759502d835,756.281921,2021. 07. 11. 오후 11:22:01,322000,0,
