com.samsung.shealth.food_frequent,1144003,1
lunch_count,pkg_name,morningsnack_count,afternoonsnack_count,breakfast_count,food_info_id,eveningsnack_count,datauuid,deviceuuid,create_time,update_time,dinner_count
0.990000,com.sec.android.app.shealth,0.990000,0.990000,1.990000,01343B99-6F12-4392-883D-044959B515FD,0.990000,4D76F12B-3BF5-406A-B471-B5D08439EFD0,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오후 12:15:01,0.990000,
0.950000,com.sec.android.app.shealth,0.950000,0.950000,0.950000,309773B7-BFEB-42F2-A08D-D5DDE83C32A8,0.950000,EDD27001-47D6-40FF-BF4E-515B0583F3A4,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.950000,
0.910000,com.sec.android.app.shealth,0.910000,0.910000,0.910000,4DCC9477-1408-4F41-B2FB-8BACAEB17DA1,0.910000,8965A29F-B9A3-43BD-ABA5-AFDD0ED27079,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.910000,
0.870000,com.sec.android.app.shealth,0.870000,0.870000,0.870000,7CE6F784-3BAB-47E7-B5A3-81FA28BE5124,0.870000,961AF8C6-C61E-4B9B-801D-9E8708F0901B,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.870000,
0.830000,com.sec.android.app.shealth,0.830000,0.830000,0.830000,E2C134E1-C9F6-4235-89F7-78C796DE6709,0.830000,F1310275-C662-40D8-83F6-A913B620DD47,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.830000,
0.790000,com.sec.android.app.shealth,0.790000,0.790000,0.790000,1C720238-86ED-4E2E-91D7-AA70404AF00D,0.790000,7A051C8C-6EA6-4A1F-8BBC-EE027C9FA79A,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.790000,
0.750000,com.sec.android.app.shealth,0.750000,0.750000,0.750000,20883712-1FD8-4FCD-8524-F058076E8666,0.750000,9B00590D-929C-4636-BB24-ED37FB662544,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.750000,
0.710000,com.sec.android.app.shealth,0.710000,0.710000,0.710000,83102894-C324-43B7-BF6F-91B77069C519,0.710000,4A0C0D29-0DED-4C0A-AE53-37CE938521E4,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.710000,
0.670000,com.sec.android.app.shealth,0.670000,0.670000,0.670000,01153BDB-B154-4E8A-8C9D-2284BC8A7C77,0.670000,4C7AD30B-C177-48F8-8283-CCE60EE54D34,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.670000,
0.630000,com.sec.android.app.shealth,0.630000,0.630000,0.630000,B003A2EF-B808-4EC7-A21B-734C2B7B5943,0.630000,AA6FD5F7-E1A4-4B27-BC91-D7CE3EFFA706,m5awt1XVZi,2021. 07. 03. 오전 11:15:53,2021. 07. 03. 오전 11:15:53,0.630000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,1.000000,2C5500D8-9C5C-4F5A-9DBB-02258E187469,0.000000,881A6806-861A-42B4-921F-29E45C6E35F5,m5awt1XVZi,2021. 07. 03. 오후 12:15:01,2021. 07. 03. 오후 12:15:01,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,1.000000,2BE4C7B8-4B77-40DA-9916-31F4500C4384,0.000000,D75C3E73-5A3E-4B3E-9314-7E2B3DBDC544,m5awt1XVZi,2021. 07. 03. 오후 12:15:01,2021. 07. 03. 오후 12:15:01,0.000000,
0.000000,com.sec.android.app.shealth,0.000000,0.000000,1.000000,0AC1F4A0-FDDE-4786-ACCD-54CB40457650,0.000000,A6BBC1F0-E842-424B-8D5A-242C444DC574,m5awt1XVZi,2021. 07. 03. 오후 12:15:01,2021. 07. 03. 오후 12:15:01,0.000000,

