com.samsung.shealth.step_daily_trend,1144003,6
speed,day_time,pkg_name,count,binning_data,source_pkg_name,source_type,calorie,deviceuuid,datauuid,distance,create_time,update_time
0.618334,1625270400000,com.sec.android.app.shealth,2012,e86f2d3f-afca-48ec-be0c-a22f8f108922.binning_data,com.sec.android.app.shealth,-2,66.125310,VfS0qUERdZ,e86f2d3f-afca-48ec-be0c-a22f8f108922,1553.178855,2021. 07. 03. 오후 12:18:03,2021. 07. 05. 오후 3:32:26,
1.452181,1625270400000,com.sec.android.app.shealth,1948,410e15e8-845a-4e1c-b7f5-7155544a3570.binning_data,com.sec.android.app.shealth,25,63.096954,jj7jIQhOji,410e15e8-845a-4e1c-b7f5-7155544a3570,1507.047607,2021. 07. 03. 오후 12:37:16,2021. 07. 05. 오후 3:32:26,
1.435035,1625270400000,com.sec.android.app.shealth,166,c75a7327-0557-4644-b830-ca4fd319742b.binning_data,com.sec.android.app.shealth,0,6.989943,m5awt1XVZi,c75a7327-0557-4644-b830-ca4fd319742b,122.939913,2021. 07. 03. 오후 12:37:20,2021. 07. 05. 오후 3:32:27,
2.451030,1625356800000,com.sec.android.app.shealth,1393,bbc2c14a-a992-4777-b78d-71b1e4bde187.binning_data,com.sec.android.app.shealth,25,50.512680,jj7jIQhOji,bbc2c14a-a992-4777-b78d-71b1e4bde187,1130.455811,2021. 07. 05. 오후 3:32:26,2021. 07. 05. 오후 3:32:26,
1.464827,1625443200000,com.sec.android.app.shealth,12716,7c5a442e-3c1e-4d7f-b664-9dc19ae7471a.binning_data,com.sec.android.app.shealth,25,411.178589,jj7jIQhOji,7c5a442e-3c1e-4d7f-b664-9dc19ae7471a,9808.848633,2021. 07. 05. 오후 3:32:26,2021. 07. 05. 오후 6:17:25,
0.431984,1625356800000,com.sec.android.app.shealth,1420,b69dbd72-edec-4fcf-85aa-bbb3f4287a63.binning_data,com.sec.android.app.shealth,-2,51.513428,VfS0qUERdZ,b69dbd72-edec-4fcf-85aa-bbb3f4287a63,1150.015811,2021. 07. 05. 오후 3:32:26,2021. 07. 05. 오후 3:32:26,
0.904284,1625443200000,com.sec.android.app.shealth,21851,1b0d81da-0500-4279-8c72-87d83472a513.binning_data,com.sec.android.app.shealth,-2,716.022710,VfS0qUERdZ,1b0d81da-0500-4279-8c72-87d83472a513,13909.656966,2021. 07. 05. 오후 3:32:26,2021. 07. 05. 오후 6:17:28,
0.904678,1625356800000,com.sec.android.app.shealth,27,5d59e9c7-066e-4ede-bbea-70bdbe9e7a38.binning_data,com.sec.android.app.shealth,0,1.000748,m5awt1XVZi,5d59e9c7-066e-4ede-bbea-70bdbe9e7a38,19.560000,2021. 07. 05. 오후 3:32:27,2021. 07. 05. 오후 3:32:27,
1.956353,1625443200000,com.sec.android.app.shealth,21564,cf9fab18-d326-44aa-81a7-6d7c78d669d3.binning_data,com.sec.android.app.shealth,0,708.504079,m5awt1XVZi,cf9fab18-d326-44aa-81a7-6d7c78d669d3,13613.392508,2021. 07. 05. 오후 3:32:27,2021. 07. 05. 오후 6:17:28,
0.473743,1625702400000,com.sec.android.app.shealth,1797,3b5bc649-b1bf-4408-9f44-cd573455c298.binning_data,com.sec.android.app.shealth,-2,63.893235,VfS0qUERdZ,3b5bc649-b1bf-4408-9f44-cd573455c298,1339.724921,2021. 07. 08. 오전 10:22:00,2021. 07. 10. 오후 9:27:20,
