com.samsung.shealth.tracker.pedometer_day_summary,1144003,5
day_time,speed,update_time,pkg_name,source_info,source_package_name,walk_step_count,binning_data,active_time,achievement,healthy_step,calorie,recommendation,datauuid,deviceuuid,distance,create_time,run_step_count,step_count
1625270400000,0.618334,2021. 07. 05. 오후 3:32:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,2000,db2e63ad-1558-449b-abce-9532b54db847.binning_data,2511877,db2e63ad-1558-449b-abce-9532b54db847.achievement,0,66.125313,6000,db2e63ad-1558-449b-abce-9532b54db847,VfS0qUERdZ,1553.178833,2021. 07. 03. 오후 12:18:03,12,2012,
1625270400000,1.452181,2021. 07. 05. 오후 3:32:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,1936,35553096-7d08-42fc-be0c-ecd0040969d8.binning_data,0,35553096-7d08-42fc-be0c-ecd0040969d8.achievement,0,63.096954,6000,35553096-7d08-42fc-be0c-ecd0040969d8,jj7jIQhOji,1507.047607,2021. 07. 03. 오후 12:37:16,12,1948,
1625270400000,1.435035,2021. 07. 05. 오후 3:32:27,com.sec.android.app.shealth,,com.sec.android.app.shealth,166,e5dd855b-3de6-4a37-bb59-0122b20cf49f.binning_data,166000,e5dd855b-3de6-4a37-bb59-0122b20cf49f.achievement,0,6.989943,6000,e5dd855b-3de6-4a37-bb59-0122b20cf49f,m5awt1XVZi,122.939911,2021. 07. 03. 오후 12:37:20,0,166,
1625356800000,2.451030,2021. 07. 05. 오후 3:32:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,1251,4e8845da-0eb4-4fa9-a05f-0e0493fcc3f9.binning_data,0,4e8845da-0eb4-4fa9-a05f-0e0493fcc3f9.achievement,0,50.512680,6000,4e8845da-0eb4-4fa9-a05f-0e0493fcc3f9,jj7jIQhOji,1130.455811,2021. 07. 05. 오후 3:32:26,142,1393,
1625443200000,1.464827,2021. 07. 05. 오후 6:17:25,com.sec.android.app.shealth,,com.sec.android.app.shealth,12705,44b0f42c-a381-46c2-ac0c-a58d34b3f2c7.binning_data,0,44b0f42c-a381-46c2-ac0c-a58d34b3f2c7.achievement,0,411.178589,6000,44b0f42c-a381-46c2-ac0c-a58d34b3f2c7,jj7jIQhOji,9808.848633,2021. 07. 05. 오후 3:32:26,11,12716,
1625356800000,0.431984,2021. 07. 05. 오후 3:32:26,com.sec.android.app.shealth,,com.sec.android.app.shealth,1278,599752c2-e9ff-488b-b3fa-6247bbb9706c.binning_data,2662169,599752c2-e9ff-488b-b3fa-6247bbb9706c.achievement,0,51.513428,6000,599752c2-e9ff-488b-b3fa-6247bbb9706c,VfS0qUERdZ,1150.015869,2021. 07. 05. 오후 3:32:26,142,1420,
1625443200000,0.904284,2021. 07. 05. 오후 6:17:28,com.sec.android.app.shealth,,com.sec.android.app.shealth,21840,4ce342a5-c7bb-4f99-a285-cd8bd485376d.binning_data,15381963,4ce342a5-c7bb-4f99-a285-cd8bd485376d.achievement,0,716.022705,6000,4ce342a5-c7bb-4f99-a285-cd8bd485376d,VfS0qUERdZ,13909.657227,2021. 07. 05. 오후 3:32:26,11,21851,
1625356800000,0.904678,2021. 07. 05. 오후 3:32:27,com.sec.android.app.shealth,,com.sec.android.app.shealth,27,a9ced0d1-87ca-4c15-978c-78c11f86a66c.binning_data,21000,a9ced0d1-87ca-4c15-978c-78c11f86a66c.achievement,0,1.000748,6000,a9ced0d1-87ca-4c15-978c-78c11f86a66c,m5awt1XVZi,19.559999,2021. 07. 05. 오후 3:32:27,0,27,
1625443200000,1.956353,2021. 07. 05. 오후 6:17:28,com.sec.android.app.shealth,,com.sec.android.app.shealth,21564,38ac34f0-0757-4d84-bb4e-afa566e89891.binning_data,14247000,38ac34f0-0757-4d84-bb4e-afa566e89891.achievement,0,708.504089,6000,38ac34f0-0757-4d84-bb4e-afa566e89891,m5awt1XVZi,13613.392578,2021. 07. 05. 오후 3:32:27,0,21564,
1625702400000,0.473743,2021. 07. 10. 오후 9:27:20,com.sec.android.app.shealth,,com.sec.android.app.shealth,1797,66258d37-e9f4-4999-87d7-8bcb0434fe5a.binning_data,2827956,66258d37-e9f4-4999-87d7-8bcb0434fe5a.achievement,0,63.893234,6000,66258d37-e9f4-4999-87d7-8bcb0434fe5a,VfS0qUERdZ,1339.724976,2021. 07. 08. 오전 10:22:00,0,1797,
1625529600000,1.709437,2021. 07. 08. 오전 10:22:00,com.sec.android.app.shealth,,com.sec.android.app.shealth,468,5e080a14-e0de-4345-a74b-ddb50fec97e0.binning_data,375000,5e080a14-e0de-4345-a74b-ddb50fec97e0.achievement,0,16.590307,6000,5e080a14-e0de-4345-a74b-ddb50fec97e0,m5awt1XVZi,300.179993,2021. 07. 08. 오전 10:22:00,0,468,
1625616000000,1.203303,2021. 07. 08. 오전 10:22:00,com.sec.android.app.shealth,,com.sec.android.app.shealth,695,55ab4153-ea91-4693-9368-2f7135620977.binning_data,496000,55ab4153-ea91-4693-9368-2f7135620977.achievement,0,22.000420,6000,55ab4153-ea91-4693-9368-2f7135620977,m5awt1XVZi,393.600006,2021. 07. 08. 오전 10:22:00,0,695,
1625702400000,1.198115,2021. 07. 10. 오후 9:27:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,769,8d93533f-e0a4-4a3d-93e6-4fc527c8a88d.binning_data,716000,8d93533f-e0a4-4a3d-93e6-4fc527c8a88d.achievement,0,30.769213,6000,8d93533f-e0a4-4a3d-93e6-4fc527c8a88d,m5awt1XVZi,538.429993,2021. 07. 08. 오전 10:22:00,0,769,
1625529600000,0.778244,2021. 07. 08. 오전 10:22:00,com.sec.android.app.shealth,,com.sec.android.app.shealth,468,c24a2a84-73e7-4c38-8957-bd3e45014d98.binning_data,385714,c24a2a84-73e7-4c38-8957-bd3e45014d98.achievement,0,16.590307,6000,c24a2a84-73e7-4c38-8957-bd3e45014d98,VfS0qUERdZ,300.179993,2021. 07. 08. 오전 10:22:00,0,468,
1625616000000,0.779972,2021. 07. 08. 오전 10:22:00,com.sec.android.app.shealth,,com.sec.android.app.shealth,695,b08d6de1-6237-4cc3-86f1-c1bf9d41937b.binning_data,504633,b08d6de1-6237-4cc3-86f1-c1bf9d41937b.achievement,0,22.000420,6000,b08d6de1-6237-4cc3-86f1-c1bf9d41937b,VfS0qUERdZ,393.600006,2021. 07. 08. 오전 10:22:00,0,695,
1625702400000,1.102230,2021. 07. 10. 오후 9:27:20,com.sec.android.app.shealth,,com.sec.android.app.shealth,1028,e32521a6-28ed-496e-87ee-61d6a9fb6aad.binning_data,0,e32521a6-28ed-496e-87ee-61d6a9fb6aad.achievement,0,33.124023,6000,e32521a6-28ed-496e-87ee-61d6a9fb6aad,jj7jIQhOji,801.294922,2021. 07. 10. 오후 9:27:20,0,1028,
1625788800000,1.305550,2021. 07. 10. 오후 9:27:20,com.sec.android.app.shealth,,com.sec.android.app.shealth,1570,9a9e6072-7462-4df4-a647-88023b82637b.binning_data,0,9a9e6072-7462-4df4-a647-88023b82637b.achievement,0,50.389709,6000,9a9e6072-7462-4df4-a647-88023b82637b,jj7jIQhOji,1226.343750,2021. 07. 10. 오후 9:27:20,0,1570,
1625788800000,0.428795,2021. 07. 10. 오후 9:27:21,com.sec.android.app.shealth,,com.sec.android.app.shealth,1993,d5622cb8-7f3a-4f5c-9774-8693bb22f1d7.binning_data,3591906,d5622cb8-7f3a-4f5c-9774-8693bb22f1d7.achievement,0,64.711884,6000,d5622cb8-7f3a-4f5c-9774-8693bb22f1d7,VfS0qUERdZ,1540.189941,2021. 07. 10. 오후 9:27:20,0,1993,
1625875200000,0.246663,2021. 07. 10. 오후 9:33:35,com.sec.android.app.shealth,,com.sec.android.app.shealth,260,0f2b9344-7377-48ca-bd62-1cd21f6b6637.binning_data,1101865,0f2b9344-7377-48ca-bd62-1cd21f6b6637.achievement,0,13.906434,6000,0f2b9344-7377-48ca-bd62-1cd21f6b6637,VfS0qUERdZ,271.789917,2021. 07. 10. 오후 9:27:20,66,326,
