,max,heart_rate,start_date,start_time,min
0,142.0,142.0,2021-07-03,21:00:59,142.0
1,142.0,69.0,2021-07-03,21:30:59,69.0
2,66.0,66.0,2021-07-04,9:30:59,66.0
3,66.0,65.0,2021-07-04,10:00:59,65.0
4,66.0,59.0,2021-07-04,11:30:59,59.0
5,66.0,60.0,2021-07-04,12:00:59,59.0
6,66.0,60.0,2021-07-04,13:00:59,59.0
7,90.0,90.0,2021-07-04,13:30:59,59.0
8,90.0,62.0,2021-07-04,15:00:59,59.0
9,90.0,62.0,2021-07-04,15:30:59,59.0
10,90.0,64.0,2021-07-04,16:00:59,59.0
11,90.0,65.0,2021-07-04,16:30:59,59.0
12,90.0,61.0,2021-07-04,17:00:59,59.0
13,90.0,58.0,2021-07-04,17:30:59,58.0
14,90.0,62.0,2021-07-04,18:00:59,58.0
15,132.0,84.0,2021-07-05,1:00:59,70.0
16,149.0,108.0,2021-07-05,15:00:59,70.0
17,149.0,97.0,2021-07-05,15:30:59,70.0
18,140.0,106.0,2021-07-05,2:00:00,85.0
19,128.0,118.0,2021-07-05,10:00:00,70.0
20,132.0,116.0,2021-07-05,11:00:00,84.0
21,127.0,85.0,2021-07-05,12:00:00,72.0
22,149.0,101.0,2021-07-05,13:00:00,70.0
23,149.0,103.0,2021-07-05,16:00:59,70.0
24,58.0,58.0,2021-07-08,11:30:59,58.0
25,115.0,115.0,2021-07-08,12:00:59,58.0
26,115.0,59.0,2021-07-08,14:00:59,58.0
27,115.0,61.0,2021-07-08,15:00:59,58.0
28,115.0,60.0,2021-07-08,15:30:59,58.0
29,115.0,92.0,2021-07-08,19:30:59,58.0
30,134.0,134.0,2021-07-08,20:00:59,58.0
31,65.0,65.0,2021-07-09,12:00:59,65.0
32,65.0,60.0,2021-07-09,12:30:59,60.0
33,65.0,60.0,2021-07-09,16:00:59,60.0
34,65.0,60.0,2021-07-09,17:00:59,60.0
35,65.0,61.0,2021-07-09,23:30:59,60.0
36,60.0,60.0,2021-07-10,12:00:59,60.0
37,63.0,63.0,2021-07-10,12:30:59,60.0
38,63.0,58.0,2021-07-10,1:00:59,58.0
39,64.0,64.0,2021-07-10,1:30:59,58.0
40,64.0,58.0,2021-07-10,2:00:59,58.0
41,64.0,56.0,2021-07-10,2:30:59,56.0
42,64.0,56.0,2021-07-10,3:00:59,56.0
43,64.0,63.0,2021-07-10,3:30:59,56.0
44,64.0,58.0,2021-07-10,4:00:59,56.0
45,102.0,102.0,2021-07-10,4:30:59,56.0
46,102.0,52.0,2021-07-10,5:00:59,52.0
47,102.0,50.0,2021-07-10,5:30:59,50.0
48,102.0,54.0,2021-07-10,7:00:59,50.0
49,102.0,58.0,2021-07-10,7:30:59,50.0
50,102.0,59.0,2021-07-10,8:00:59,50.0
51,102.0,60.0,2021-07-10,10:30:59,50.0
52,116.0,116.0,2021-07-10,11:00:59,50.0
53,128.0,90.0,2021-07-11,3:00:00,89.0
54,81.0,81.0,2021-07-11,4:00:00,74.0
55,149.0,60.0,2021-07-11,16:30:59,60.0
56,149.0,63.0,2021-07-11,17:00:59,60.0
57,149.0,78.0,2021-07-11,19:30:59,60.0
58,149.0,59.0,2021-07-11,20:30:59,59.0
59,149.0,62.0,2021-07-11,21:30:59,59.0
60,149.0,65.0,2021-07-11,22:30:59,59.0
61,62.0,62.0,2021-07-12,14:30:59,62.0
62,65.0,65.0,2021-07-12,15:00:59,62.0
63,65.0,62.0,2021-07-12,15:30:59,62.0
64,65.0,64.0,2021-07-12,16:00:59,62.0
65,65.0,59.0,2021-07-12,16:30:59,59.0
66,65.0,58.0,2021-07-12,17:30:59,58.0
67,65.0,62.0,2021-07-12,18:00:59,58.0
68,65.0,59.0,2021-07-12,21:30:59,58.0
69,65.0,61.0,2021-07-12,22:00:59,58.0
70,65.0,64.0,2021-07-12,23:00:59,58.0
71,65.0,64.0,2021-07-12,23:30:59,58.0
72,58.0,58.0,2021-07-13,12:00:59,58.0
73,58.0,56.0,2021-07-13,12:30:59,56.0
74,58.0,58.0,2021-07-13,1:30:59,56.0
75,58.0,58.0,2021-07-13,2:00:59,56.0
76,58.0,52.0,2021-07-13,2:30:59,52.0
77,58.0,52.0,2021-07-13,3:00:59,52.0
78,96.0,96.0,2021-07-13,3:30:59,52.0
79,96.0,57.0,2021-07-13,4:00:59,52.0
80,96.0,55.0,2021-07-13,4:30:59,52.0
81,96.0,55.0,2021-07-13,5:00:59,52.0
82,96.0,55.0,2021-07-13,5:30:59,52.0
83,96.0,56.0,2021-07-13,6:30:59,52.0
84,96.0,58.0,2021-07-13,7:00:59,52.0
85,99.0,99.0,2021-07-13,9:30:59,52.0
86,127.0,78.0,2021-07-13,13:00:59,52.0
87,127.0,68.0,2021-07-13,15:30:59,52.0
88,127.0,100.0,2021-07-13,16:00:59,52.0
89,127.0,103.0,2021-07-13,10:00:00,90.0
90,120.0,117.0,2021-07-13,9:00:00,78.0
91,66.0,66.0,2021-09-03,12:30:59,66.0
92,69.0,69.0,2021-09-03,13:30:59,66.0
93,124.0,69.0,2000-01-06,11:00:00,62.0
94,55.0,55.0,2021-11-28,21:30:59,55.0
95,79.0,79.0,2021-11-29,9:00:59,79.0
96,84.0,84.0,2021-11-29,12:30:59,79.0
97,84.0,81.0,2021-11-29,13:30:59,79.0
98,86.0,86.0,2021-11-29,15:00:59,79.0
99,86.0,69.0,2021-11-29,16:00:59,69.0
100,86.0,69.0,2021-11-29,16:30:59,69.0
101,100.0,100.0,2021-11-29,17:00:59,69.0
102,100.0,68.0,2021-11-29,18:00:59,68.0
103,100.0,78.0,2021-11-29,18:30:59,68.0
104,100.0,78.0,2021-11-29,19:00:59,68.0
105,100.0,71.0,2021-11-29,19:30:59,68.0
106,100.0,82.0,2021-11-29,20:00:59,68.0
107,100.0,76.0,2021-11-29,20:30:59,68.0
108,72.0,72.0,2021-11-30,9:00:59,72.0
109,91.0,91.0,2021-11-30,10:00:59,72.0
110,105.0,105.0,2021-11-30,10:30:59,72.0
111,105.0,97.0,2021-11-30,11:00:59,72.0
