com.samsung.health.sleep_stage,6200039,6,,,,,,,,
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
32:09.0,00000000-0000-0000-0000-00002ac81757,,32:09.0,33:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,33:09.0,d09bcbb5-87ed-ef4e-80e5-e6306168bc1b
48:45.0,00000000-0000-0000-0000-00004571fbcf,,48:45.0,49:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,49:45.0,e5e95a48-3c19-f583-b2e8-33c85664e9ee
34:25.0,00000000-0000-0000-0000-0000251251c1,,34:25.0,53:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,53:25.0,25d9f64b-0650-6992-23cb-a98ee7b8c9b4
02:03.0,00000000-0000-0000-0000-000003e753ed,,02:03.0,03:03.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,03:03.0,fc7bfce4-e146-aba0-4b9f-13f4ff55534d
05:45.0,00000000-0000-0000-0000-00004571fbcf,,05:45.0,09:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,09:45.0,c1c137a1-7516-7f5b-da1f-546fb946b28b
32:25.0,00000000-0000-0000-0000-00006f0a68f3,,32:25.0,46:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,46:25.0,d604e072-7ad1-cb0e-b2b3-c45242f42c7e
20:03.0,00000000-0000-0000-0000-000003e753ed,,20:03.0,21:04.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,21:04.0,d340e5ee-57d1-e68d-ac8c-afa086fa1870
23:09.0,00000000-0000-0000-0000-00002ac81757,,23:09.0,25:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,25:09.0,c9b9620e-0d59-34bb-4e5b-30197048f022
07:25.0,00000000-0000-0000-0000-0000251251c1,,07:25.0,25:25.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,25:25.0,e6e6e3e7-d774-1259-8108-3c66dd26158d
30:30.0,00000000-0000-0000-0000-000018f55f29,,30:30.0,48:30.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,48:30.0,0164ba4e-a1ac-b559-42dd-a70f9c0a82d2
02:45.0,00000000-0000-0000-0000-00004571fbcf,,02:45.0,08:45.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,08:45.0,ebfaeafa-61ad-2e32-5963-c2548def8060
04:09.0,00000000-0000-0000-0000-00002ac81757,,04:09.0,14:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,14:09.0,12c7b3c3-2849-8251-c4ad-f99c8116cf27
36:45.0,00000000-0000-0000-0000-000020f41578,,36:45.0,37:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,37:45.0,05c2bd9b-4baf-c0be-203d-83e5158d1a2e
42:45.0,00000000-0000-0000-0000-00004571fbcf,,42:45.0,43:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,43:45.0,ee8dd536-78c1-3ef3-d6c9-e95465d91399
08:45.0,00000000-0000-0000-0000-00004571fbcf,,08:45.0,09:45.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,09:45.0,30249d56-acde-e162-bcf6-eb02afb1fb16
42:09.0,00000000-0000-0000-0000-00002ac81757,,42:09.0,52:09.0,40002,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,52:09.0,b1861526-9485-c322-6075-32dfb8a17206
14:09.0,00000000-0000-0000-0000-00002ac81757,,14:09.0,15:09.0,40001,UTC+0900,GzaRnrgqFB,com.sec.android.app.shealth,15:09.0,acd4e2fe-7578-d368-debb-d1bf17ec9258
