com.samsung.shealth.activity.day_summary,6200039,2,,,,,,,,,,,,,,,,
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,43:31.9,43:31.9,-1,0,0,0,0,57c71c77-76f8-4bc5-859d-5fe76c401b76.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,0,-1,57c71c77-76f8-4bc5-859d-5fe76c401b76,1.62752E+12
0,0,90,0,43:31.5,43:31.5,-1,0,0,0,0,429e725b-2918-4661-891a-34e1b005862a.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,0,-1,429e725b-2918-4661-891a-34e1b005862a,1.62734E+12
1217,690930,90,0,34:19.7,43:31.3,-1,300000,12,975.59,43.489998,34509110-56f4-4d16-a305-5906390d4bcd.extra_data.json,fLETIHaUF/,17464,com.sec.android.app.shealth,673466,46680000,34509110-56f4-4d16-a305-5906390d4bcd,1.62968E+12
0,0,90,0,43:32.0,43:32.0,-1,0,0,0,0,a5d44475-ff38-4224-b887-eaf3b7b5ad85.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,0,-1,a5d44475-ff38-4224-b887-eaf3b7b5ad85,1.6276E+12
0,0,90,0,43:31.9,43:31.9,-1,0,0,0,0,635c158d-841f-49bc-867f-f6e8cdd712b8.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,0,-1,635c158d-841f-49bc-867f-f6e8cdd712b8,1.62743E+12
5270,3181659,90,0,43:32.6,43:32.6,-1,360000,58,4052.3582,181.67996,5b25cd97-4512-4075-9e1e-a02149c0e127.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,3181659,28860000,5b25cd97-4512-4075-9e1e-a02149c0e127,1.62804E+12
146,96581,90,0,43:32.2,43:32.2,-1,12539,1,114.94476,4.8039055,0cca38d0-f73c-462d-993f-ffa415aed5b1.extra_data.json,fLETIHaUF/,1200,com.sec.android.app.shealth,95381,32400000,0cca38d0-f73c-462d-993f-ffa415aed5b1,1.62778E+12
1419,840847,90,0,43:32.1,43:32.1,-1,300000,15,1099.3059,48.67401,64d62426-31ed-46f6-af30-7a7508873cef.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,840847,53580000,64d62426-31ed-46f6-af30-7a7508873cef,1.62769E+12
2336,1463128,90,0,43:32.7,43:32.7,-1,240000,26,1792.9878,81.80438,f9c94eda-059e-44f1-a603-8328a20a100b.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,1463128,42419999,f9c94eda-059e-44f1-a603-8328a20a100b,1.62812E+12
1342,809688,90,0,43:32.3,43:32.3,-1,180000,14,1044.6248,46.202847,5042239c-52ea-42a8-8453-45012c57e97b.extra_data.json,fLETIHaUF/,6800,com.sec.android.app.shealth,802888,15840000,5042239c-52ea-42a8-8453-45012c57e97b,1.62786E+12
1030,596088,90,0,43:32.4,43:32.4,-1,240000,10,793.8196,34.460068,bdd29dbf-8a87-4792-b0cf-d4a6a60600e9.extra_data.json,fLETIHaUF/,0,com.sec.android.app.shealth,596088,44099999,bdd29dbf-8a87-4792-b0cf-d4a6a60600e9,1.62795E+12
