com.samsung.shealth.exercise,6200039,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
live_data_internal,mission_value,subset_data,total_calorie,completion_status,pace_info_id,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,reward_status,heart_rate_sample_count,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
759c0720-51ef-a1be-8581-013d5712647d.live_data_internal.json,,,,,,,,1,,,,,,,,,,,3000,,,,19:12.0,1001,,0,0,67,,,0,67,19:15.0,19:15.0,,0,0,67,,0,,0.035594955,0,0,,UTC+0900,GzaRnrgqFB,,,759c0720-51ef-a1be-8581-013d5712647d.com.samsung.health.exercise.live_data.json,,0,com.sec.android.app.shealth,,,,19:15.0,759c0720-51ef-a1be-8581-013d5712647d,
69988629-f805-b1d5-435a-1eb8e0db27c9.live_data_internal.json,,,,,,,,1,,,,,,,,,,,37000,,,,08:09.0,1001,,0,0,73,,,0,73,40:50.0,40:50.0,,0,0,73,,0,,0.11143659,0,0,,UTC+0900,GzaRnrgqFB,,,69988629-f805-b1d5-435a-1eb8e0db27c9.com.samsung.health.exercise.live_data.json,,0,com.sec.android.app.shealth,,,,40:50.0,69988629-f805-b1d5-435a-1eb8e0db27c9,
,,,,1,,,,4,0,0,,,,,,,,,2449430,,,,23:22.0,1001,,,,,30001,,,,52:47.3,52:47.3,,1.5833334,,,4222,3229.83,,165.74,,,,UTC+0900,fLETIHaUF/,,,54ac743f-06f7-4e9d-acd8-0800e3c9c284.com.samsung.health.exercise.live_data.json,,1.3186047,com.sec.android.app.shealth,,,,04:11.0,54ac743f-06f7-4e9d-acd8-0800e3c9c284,
,,,,1,,,,4,0,0,,,,,,,,,2075510,,,,18:00.0,1001,,,,,30001,,,,15:53.3,15:53.3,,1.5555556,,,3464,2639.6401,,135.88,,,,UTC+0900,fLETIHaUF/,,,3ee79baa-bb7d-4614-9b6e-9f0dd0a4220a.com.samsung.health.exercise.live_data.json,,1.2718031,com.sec.android.app.shealth,,,,52:35.0,3ee79baa-bb7d-4614-9b6e-9f0dd0a4220a,
e4f7bb14-c2d2-eafa-8acd-ad43f12e99a2.live_data_internal.json,,,,,,,,1,,,,1,,,,,e4f7bb14-c2d2-eafa-8acd-ad43f12e99a2.location_data_internal.json,,208000,,,e4f7bb14-c2d2-eafa-8acd-ad43f12e99a2.com.samsung.health.exercise.location_data.json,15:46.0,1002,,-19.9,0,69,,,-90.9,79,49:32.5,49:28.0,,0.6697418,13.82313,58,,92.82649,,3.7703485,33.333336,0,,UTC+0900,GzaRnrgqFB,,,e4f7bb14-c2d2-eafa-8acd-ad43f12e99a2.com.samsung.health.exercise.live_data.json,,0.38512006,com.sec.android.app.shealth,,,,49:28.0,e4f7bb14-c2d2-eafa-8acd-ad43f12e99a2,
,,,,1,,,,4,0,0,,,,,,,,,2330833,,,,15:14.0,1001,,,,,30001,,,,15:26.7,15:26.7,,1.7777778,,,3786,2875.33,,152.03,,,,UTC+0900,fLETIHaUF/,,,baf2faf7-be15-46e0-9031-ad9187b5a848.com.samsung.health.exercise.live_data.json,,1.2336062,com.sec.android.app.shealth,,,,54:04.0,baf2faf7-be15-46e0-9031-ad9187b5a848,
,,,,1,,,,4,0,0,,,,,,,,,1991134,,,,20:00.0,1001,,,,,30001,,,,00:13.7,00:13.7,,2,,,3453,2674.47,,125.37,,,,UTC+0900,fLETIHaUF/,,,fd9f25ea-2b2b-4341-ba7e-83cf92b3df0c.com.samsung.health.exercise.live_data.json,,1.3431892,com.sec.android.app.shealth,,,,53:11.0,fd9f25ea-2b2b-4341-ba7e-83cf92b3df0c,
,,,,1,,,,4,0,0,,,,,,,,,788578,,,,02:00.0,1001,,,,,30001,,,,19:25.4,19:25.4,,1.7777778,,,1336,1017.28,,52.66,,,,UTC+0900,fLETIHaUF/,,,430d3c62-15c3-4bf8-8139-a4cd1a9a79eb.com.samsung.health.exercise.live_data.json,,1.2900183,com.sec.android.app.shealth,,,,15:08.0,430d3c62-15c3-4bf8-8139-a4cd1a9a79eb,
,,,,1,,,,4,0,0,,,,,,,,,2401942,,,,37:01.0,1001,,,,,30001,,,,27:48.9,27:48.9,,6.9444447,,,3987,3133.31,,159.95999,,,,UTC+0900,fLETIHaUF/,,,7cc03d0f-f5f8-4d17-bf70-042a04eeffca.com.samsung.health.exercise.live_data.json,,1.3044903,com.sec.android.app.shealth,,,,17:02.0,7cc03d0f-f5f8-4d17-bf70-042a04eeffca,
,,,,1,,,,4,0,0,,,,,,,,,2654482,,,,18:00.0,1001,,,,,30001,,,,50:19.7,50:19.7,,1.6388888,,,4245,3226.68,,169.39,,,,UTC+0900,fLETIHaUF/,,,15e675a3-983e-479b-8d33-0f194efbba99.com.samsung.health.exercise.live_data.json,,1.2155592,com.sec.android.app.shealth,,,,02:14.0,15e675a3-983e-479b-8d33-0f194efbba99,
,,,,1,,,,4,0,0,,,,,,,,,1148285,,,,16:00.0,1001,,,,,30001,,,,55:43.5,55:43.5,,1.75,,,2014,1546.43,,80.44,,,,UTC+0900,fLETIHaUF/,,,b7def408-12fb-4c54-9d11-28cd06cc61fa.com.samsung.health.exercise.live_data.json,,1.3467301,com.sec.android.app.shealth,,,,35:08.0,b7def408-12fb-4c54-9d11-28cd06cc61fa,
,,,,1,,,,4,0,0,,,,,,,,,2434995,,,,10:29.0,1001,,,,,30001,,,,56:01.7,56:01.7,,1.7222222,,,4236,3235.3,,169.01,,,,UTC+0900,fLETIHaUF/,,,cf30f50c-98f1-42d4-8342-30679c28fbd8.com.samsung.health.exercise.live_data.json,,1.3286681,com.sec.android.app.shealth,,,,51:03.0,cf30f50c-98f1-42d4-8342-30679c28fbd8,
,,,,1,,,,4,0,0,,,,,,,,,2653320,,,,16:29.0,1001,,,,,30001,,,,15:19.0,15:19.0,,1.6944444,,,4363,3270.56,,173.99,,,,UTC+0900,fLETIHaUF/,,,6966b80c-659d-43ac-a9b5-0523bad82dca.com.samsung.health.exercise.live_data.json,,1.2326294,com.sec.android.app.shealth,,,,00:42.0,6966b80c-659d-43ac-a9b5-0523bad82dca,
,,,,1,,,,4,0,0,,,,,,,,,2939173,,,,37:05.0,1001,,,,,30001,,,,35:51.6,35:51.6,,1.5,,,4540,3373.68,,181.16,,,,UTC+0900,fLETIHaUF/,,,8871d567-d5c1-420c-88d9-2da2cdeae42b.com.samsung.health.exercise.live_data.json,,1.1478331,com.sec.android.app.shealth,,,,26:04.0,8871d567-d5c1-420c-88d9-2da2cdeae42b,
,,,,1,,,,4,0,0,,,,,,,,,1634429,,,,20:19.0,1001,,,,,30001,,,,55:43.8,55:43.8,,1.5,,,2808,2118.29,,112.130005,,,,UTC+0900,fLETIHaUF/,,,e3fb542e-0687-4e4d-8db6-95bd9d36cd2c.com.samsung.health.exercise.live_data.json,,1.2960429,com.sec.android.app.shealth,,,,47:33.0,e3fb542e-0687-4e4d-8db6-95bd9d36cd2c,
,,,,1,,,,4,0,0,,,,,,,,,1418020,,,,09:03.0,1001,,,,,30001,,,,36:48.0,36:48.0,,1.5833334,,,2529,1939.67,,101.03,,,,UTC+0900,fLETIHaUF/,,,f6a3df35-4546-44ee-bbad-926b7118293a.com.samsung.health.exercise.live_data.json,,1.3678722,com.sec.android.app.shealth,,,,32:41.0,f6a3df35-4546-44ee-bbad-926b7118293a,
