com.samsung.shealth.report,6200039,3,,,,,,,,,
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1.62774E+12,23:55.3,14:13.2,0,0,2,NooOiVctGC,X,com.sec.android.app.shealth,0d8496a2-8841-4463-8c25-9618749157f3,0d8496a2-8841-4463-8c25-9618749157f3.compressed_content.json
Asia/Seoul,1.62714E+12,41:13.1,41:12.0,0,0,2,NooOiVctGC,X,com.sec.android.app.shealth,e1f85bdb-86a4-4923-8a9b-20060a20176e,e1f85bdb-86a4-4923-8a9b-20060a20176e.compressed_content.json
Asia/Seoul,1.63077E+12,24:03.5,24:02.0,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,43fc06a8-19dd-4fa7-bcab-e2162e9672e2,43fc06a8-19dd-4fa7-bcab-e2162e9672e2.compressed_content.json
Asia/Seoul,1.63137E+12,41:35.8,41:33.7,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,c00dd732-e018-49a3-9aaf-2f9dd9fc49a8,c00dd732-e018-49a3-9aaf-2f9dd9fc49a8.compressed_content.json
Asia/Seoul,1.62835E+12,57:19.4,57:16.9,0,0,2,NooOiVctGC,X,com.sec.android.app.shealth,4f241e26-3b76-4dd7-a0ca-aacbd3698358,4f241e26-3b76-4dd7-a0ca-aacbd3698358.compressed_content.json
Asia/Seoul,1.635E+12,28:51.4,28:50.0,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,9011e056-2c10-429c-ba51-7eb9fbf99010,9011e056-2c10-429c-ba51-7eb9fbf99010.compressed_content.json
Asia/Seoul,1.63198E+12,13:05.4,13:03.8,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,54dc9637-a3d6-426b-a3b4-be31896cbb59,54dc9637-a3d6-426b-a3b4-be31896cbb59.compressed_content.json
Asia/Seoul,1.6344E+12,26:06.2,26:04.5,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,4e28e5f5-27d0-4f61-8f54-5068ac474b39,4e28e5f5-27d0-4f61-8f54-5068ac474b39.compressed_content.json
Asia/Seoul,1.63863E+12,21:07.2,21:05.5,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,62d0a312-39df-4151-a8c0-411206ac0d2a,62d0a312-39df-4151-a8c0-411206ac0d2a.compressed_content.json
Asia/Seoul,1.63561E+12,16:20.5,16:18.4,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,898a2fa0-529c-467e-ade9-c3180293899a,898a2fa0-529c-467e-ade9-c3180293899a.compressed_content.json
Asia/Seoul,1.63803E+12,16:19.2,16:17.6,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,9a93578f-68f8-4bc0-8cef-2ebca82cdebe,9a93578f-68f8-4bc0-8cef-2ebca82cdebe.compressed_content.json
Asia/Seoul,1.62895E+12,32:20.2,17:00.4,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,bfed2ba9-5ea2-4420-8490-a8bb46317fa9,bfed2ba9-5ea2-4420-8490-a8bb46317fa9.compressed_content.json
Asia/Seoul,1.62956E+12,46:01.2,45:59.6,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,d33fc317-cf40-4131-bb79-3d43e570dfb8,d33fc317-cf40-4131-bb79-3d43e570dfb8.compressed_content.json
Asia/Seoul,1.63016E+12,29:50.1,29:48.5,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,e619fd59-f293-40d8-8eb5-d0bf95aa98a6,e619fd59-f293-40d8-8eb5-d0bf95aa98a6.compressed_content.json
Asia/Seoul,1.63258E+12,48:36.7,48:35.1,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,d63fccb9-b99d-497d-8479-c1e23f49d9e5,d63fccb9-b99d-497d-8479-c1e23f49d9e5.compressed_content.json
Asia/Seoul,1.63319E+12,04:33.0,04:30.5,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,e5490736-33f6-49e4-ba9c-4a5511149464,e5490736-33f6-49e4-ba9c-4a5511149464.compressed_content.json
Asia/Seoul,1.63379E+12,10:38.2,10:36.4,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,b5b9987c-572c-4f4c-bed3-8b1a408f2fbb,b5b9987c-572c-4f4c-bed3-8b1a408f2fbb.compressed_content.json
Asia/Seoul,1.63621E+12,01:12.3,01:09.2,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,de82d196-33ac-40f5-a559-ab28352ccef0,de82d196-33ac-40f5-a559-ab28352ccef0.compressed_content.json
Asia/Seoul,1.63682E+12,36:37.4,36:35.8,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,a1be0c0d-1fd5-4042-854a-478fdb5cb910,a1be0c0d-1fd5-4042-854a-478fdb5cb910.compressed_content.json
Asia/Seoul,1.63742E+12,18:23.8,18:22.2,0,0,2,fLETIHaUF/,X,com.sec.android.app.shealth,39856fd0-09a8-494e-90ea-1163d1028edb,39856fd0-09a8-494e-90ea-1163d1028edb.compressed_content.json
