com.samsung.shealth.tracker.pedometer_day_summary,6200039,5,,,,,,,,,,,,,,,,
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1217,1ce7e076-9820-42c9-b9d1-b8112866e507.binning_data.json,658933,6000,0,43:33.5,com.sec.android.app.shealth,43:33.5,,1.4245105,938.6573,42.82726,1217,fLETIHaUF/,com.sec.android.app.shealth,0,1ce7e076-9820-42c9-b9d1-b8112866e507.achievement.json,1ce7e076-9820-42c9-b9d1-b8112866e507,1.62769E+12
1112,d1accb2c-d00b-412c-ab7e-da7a61051a9d.binning_data.json,595381,6000,0,43:33.5,com.sec.android.app.shealth,43:33.5,,1.4419585,858.51556,38.907368,1112,fLETIHaUF/,com.sec.android.app.shealth,0,d1accb2c-d00b-412c-ab7e-da7a61051a9d.achievement.json,d1accb2c-d00b-412c-ab7e-da7a61051a9d,1.62786E+12
3892,477d8e86-3570-4013-848c-cc6f1d31344c.binning_data.json,2212501,6000,0,43:47.0,com.sec.android.app.shealth,43:33.8,,1.340403,2965.643,136.75354,3892,fLETIHaUF/,com.sec.android.app.shealth,0,477d8e86-3570-4013-848c-cc6f1d31344c.achievement.json,477d8e86-3570-4013-848c-cc6f1d31344c,1.62829E+12
951,75eedce0-f744-4c82-b959-f41657da3811.binning_data.json,542116,6000,0,43:33.5,com.sec.android.app.shealth,43:33.5,,1.3392955,726.05444,33.36676,951,fLETIHaUF/,com.sec.android.app.shealth,0,75eedce0-f744-4c82-b959-f41657da3811.achievement.json,75eedce0-f744-4c82-b959-f41657da3811,1.62795E+12
2034,6d02e9cc-3d96-45ea-84b0-777430275d37.binning_data.json,1146761,6000,0,43:33.5,com.sec.android.app.shealth,43:33.5,,1.3601333,1559.7485,71.22305,2034,fLETIHaUF/,com.sec.android.app.shealth,0,6d02e9cc-3d96-45ea-84b0-777430275d37.achievement.json,6d02e9cc-3d96-45ea-84b0-777430275d37,1.62812E+12
5023,2683a367-bf4f-416b-beec-9a80e8001996.binning_data.json,2762059,6000,0,43:47.0,com.sec.android.app.shealth,43:33.8,,1.3860506,3828.3538,176.67564,5023,fLETIHaUF/,com.sec.android.app.shealth,0,2683a367-bf4f-416b-beec-9a80e8001996.achievement.json,2683a367-bf4f-416b-beec-9a80e8001996,1.62847E+12
4842,99ee5a4b-feb8-4f76-9000-2009120dba74.binning_data.json,2668786,6000,0,43:33.5,com.sec.android.app.shealth,43:33.5,,1.3920639,3715.1208,169.84491,4842,fLETIHaUF/,com.sec.android.app.shealth,0,99ee5a4b-feb8-4f76-9000-2009120dba74.achievement.json,99ee5a4b-feb8-4f76-9000-2009120dba74,1.62804E+12
350,72e0ad3f-816c-47c9-9ef4-f3f600b3b7a7.binning_data.json,206089,6000,0,43:47.0,com.sec.android.app.shealth,43:33.8,,1.272397,262.22766,12.4025955,350,fLETIHaUF/,com.sec.android.app.shealth,0,72e0ad3f-816c-47c9-9ef4-f3f600b3b7a7.achievement.json,72e0ad3f-816c-47c9-9ef4-f3f600b3b7a7,1.62838E+12
831,9d05d8ff-acd1-403a-b551-4ee2caeaddca.binning_data.json,435124,6000,0,43:47.0,com.sec.android.app.shealth,43:33.7,,1.463762,636.91895,29.12378,831,fLETIHaUF/,com.sec.android.app.shealth,0,9d05d8ff-acd1-403a-b551-4ee2caeaddca.achievement.json,9d05d8ff-acd1-403a-b551-4ee2caeaddca,1.62821E+12
726,58a4db71-796a-4e66-8a72-cf7a292d39bd.binning_data.json,410150,6000,0,43:47.0,com.sec.android.app.shealth,43:33.8,,1.3508161,554.0381,25.507843,726,fLETIHaUF/,com.sec.android.app.shealth,0,58a4db71-796a-4e66-8a72-cf7a292d39bd.achievement.json,58a4db71-796a-4e66-8a72-cf7a292d39bd,1.62855E+12
6363,6e72df82-ac63-48b7-b398-19e651d52914.binning_data.json,3548536,6000,1,43:47.2,com.sec.android.app.shealth,43:33.9,,1.3746371,4877.95,223.92728,6362,fLETIHaUF/,com.sec.android.app.shealth,0,6e72df82-ac63-48b7-b398-19e651d52914.achievement.json,6e72df82-ac63-48b7-b398-19e651d52914,1.62864E+12
1419,5ef71303-712e-4878-b121-301a0ff0346a.binning_data.json,1618705,6000,0,43:36.8,com.sec.android.app.shealth,43:36.8,5ef71303-712e-4878-b121-301a0ff0346a.source_info.json,0.67912674,1099.306,48.67401,1419,VfS0qUERdZ,com.sec.android.app.shealth,0,5ef71303-712e-4878-b121-301a0ff0346a.achievement.json,5ef71303-712e-4878-b121-301a0ff0346a,1.62769E+12
1342,c89a3528-5418-433e-98f4-83eec0bd8627.binning_data.json,1707593,6000,17,43:36.8,com.sec.android.app.shealth,43:36.8,c89a3528-5418-433e-98f4-83eec0bd8627.source_info.json,0.61175275,1044.6248,46.202847,1325,VfS0qUERdZ,com.sec.android.app.shealth,0,c89a3528-5418-433e-98f4-83eec0bd8627.achievement.json,c89a3528-5418-433e-98f4-83eec0bd8627,1.62786E+12
1030,20c06ba8-9a89-4bd2-b2e0-634301677031.binning_data.json,810889,6000,0,43:36.8,com.sec.android.app.shealth,43:36.8,20c06ba8-9a89-4bd2-b2e0-634301677031.source_info.json,0.97894895,793.8196,34.460068,1030,VfS0qUERdZ,com.sec.android.app.shealth,0,20c06ba8-9a89-4bd2-b2e0-634301677031.achievement.json,20c06ba8-9a89-4bd2-b2e0-634301677031,1.62795E+12
146,18f9c407-25fd-4235-817a-e485e5c12023.binning_data.json,839999,6000,3,43:36.7,com.sec.android.app.shealth,43:36.7,18f9c407-25fd-4235-817a-e485e5c12023.source_info.json,0.136839,114.94476,4.8039055,143,VfS0qUERdZ,com.sec.android.app.shealth,0,18f9c407-25fd-4235-817a-e485e5c12023.achievement.json,18f9c407-25fd-4235-817a-e485e5c12023,1.62778E+12
5270,cbd0a5cc-7bea-4860-b727-7f5978bb16a5.binning_data.json,3868799,6000,0,43:36.9,com.sec.android.app.shealth,43:36.9,cbd0a5cc-7bea-4860-b727-7f5978bb16a5.source_info.json,1.047446,4052.3582,181.64436,5270,VfS0qUERdZ,com.sec.android.app.shealth,0,cbd0a5cc-7bea-4860-b727-7f5978bb16a5.achievement.json,cbd0a5cc-7bea-4860-b727-7f5978bb16a5,1.62804E+12
4451,60062993-5362-443b-88bc-07e65e36b89b.binning_data.json,4306089,6000,0,43:49.3,com.sec.android.app.shealth,43:37.2,60062993-5362-443b-88bc-07e65e36b89b.source_info.json,0.79432815,3420.4475,156.0562,4451,VfS0qUERdZ,com.sec.android.app.shealth,0,60062993-5362-443b-88bc-07e65e36b89b.achievement.json,60062993-5362-443b-88bc-07e65e36b89b,1.62829E+12
2336,fb355681-fdb9-4b35-852b-866c5f3b3d71.binning_data.json,1998308,6000,0,43:37.2,com.sec.android.app.shealth,43:37.2,fb355681-fdb9-4b35-852b-866c5f3b3d71.source_info.json,0.89725286,1792.9877,81.80438,2336,VfS0qUERdZ,com.sec.android.app.shealth,0,fb355681-fdb9-4b35-852b-866c5f3b3d71.achievement.json,fb355681-fdb9-4b35-852b-866c5f3b3d71,1.62812E+12
655,e39fb076-4971-42cb-b4e9-d0d5760705c0.binning_data.json,1173807,6000,12,43:49.3,com.sec.android.app.shealth,43:37.2,e39fb076-4971-42cb-b4e9-d0d5760705c0.source_info.json,0.43217638,507.292,23.247986,643,VfS0qUERdZ,com.sec.android.app.shealth,0,e39fb076-4971-42cb-b4e9-d0d5760705c0.achievement.json,e39fb076-4971-42cb-b4e9-d0d5760705c0,1.62838E+12
1182,ae3acc3c-e948-43bb-8425-487a9afb4628.binning_data.json,1519011,6000,12,43:49.4,com.sec.android.app.shealth,43:37.2,ae3acc3c-e948-43bb-8425-487a9afb4628.source_info.json,0.6041156,917.65845,41.77001,1170,VfS0qUERdZ,com.sec.android.app.shealth,0,ae3acc3c-e948-43bb-8425-487a9afb4628.achievement.json,ae3acc3c-e948-43bb-8425-487a9afb4628,1.62821E+12
