com.samsung.shealth.tracker.pedometer_step_count,6200039,2,,,,,,,,,,,,,,,
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
20068,4,0,33,11:00.0,,,13:39.5,13:39.5,33,1.3055556,26.2,1.44,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,12:00.0,3e122927-5d53-4776-b613-7d5f1bcbf626
11575,4,0,24,12:00.0,,,13:39.6,13:39.6,24,1.6111112,18.65,0.89,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,13:00.0,e6df59e2-ce9f-4dbb-a753-50bd0b31170e
18486,4,0,35,14:00.0,,,15:00.8,15:00.8,35,1.5,27.73,1.31,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,15:00.0,1f030662-1633-40fb-a0c7-7c532a5f8769
59360,4,0,116,18:00.0,,,35:40.2,35:40.2,116,1.5277778,90.69,4.64,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,19:00.0,995e1e14-f945-46df-8dd4-d96b9eca8494
55671,4,0,111,19:00.0,,,35:40.2,35:40.2,111,1.5555556,86.6,4.44,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,20:00.0,883777ff-a2ba-4996-845c-83ceb241da5a
54758,4,0,109,20:00.0,,,35:40.3,35:40.3,109,1.5555556,85.18,4.36,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,21:00.0,f637da72-58d1-491f-93bc-c4bdbcd27f94
55819,4,0,111,24:00.0,,,35:40.5,35:40.5,111,1.5555556,86.83,4.42,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,25:00.0,8069598f-947d-4222-bcea-ba8adc460af5
59054,4,0,109,25:00.0,,,35:40.5,35:40.5,109,1.4166666,83.66,4.32,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,26:00.0,f40b1d99-78fb-4910-9d85-7025f925d8af
60000,4,0,108,26:00.0,,,35:40.5,35:40.5,108,1.3711666,82.27,4.31,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,27:00.0,c44a5b6e-7f14-4752-8b35-8c28f528049f
57987,4,0,110,21:00.0,,,35:40.4,35:40.4,110,1.4722222,85.37,4.39,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,22:00.0,67fe2d6e-7ada-45dc-9b0a-173b62004993
58209,4,0,109,31:00.0,,,36:20.7,36:20.7,109,1.4444444,84.08,4.36,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,32:00.0,1dd4a47a-0eaa-41a7-ae0e-c27ecf25a491
59363,4,0,108,27:00.0,,,35:40.6,35:40.6,108,1.3888888,82.45,4.28,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,28:00.0,68f27fb9-154a-43eb-9247-aad3b0947e37
56063,4,0,105,32:00.0,,,36:20.8,36:20.8,105,1.4444444,80.98,4.2,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,33:00.0,5e042b97-2a95-48e1-8cb1-834bede36da1
58320,4,0,109,30:00.0,,,36:20.7,36:20.7,109,1.4444444,84.24,4.36,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,31:00.0,d0ea01ca-ef65-4dc8-abe7-941c865752f1
59341,4,0,106,33:00.0,,,36:20.8,36:20.8,106,1.3611112,80.77,4.23,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,34:00.0,d9eac5f7-751d-4da2-8ade-820da5370a77
57134,4,0,105,37:00.0,,,55:43.5,55:43.5,105,1.4166666,80.94,4.2,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,38:00.0,4e476534-c189-4cc0-a7f6-4aae1cf692af
56616,4,0,106,36:00.0,,,55:39.6,55:39.6,106,1.4444444,81.78,4.24,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,37:00.0,f8bc6fa4-80cb-4840-8a50-6843ec8f9a91
59583,4,0,103,39:00.0,,,55:43.6,55:43.6,103,1.3055556,77.79,4.12,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,40:00.0,307b7837-fa6d-440c-bc86-6d9a484a3e28
58836,4,0,112,38:00.0,,,55:43.5,55:43.5,112,1.4722222,86.62,4.48,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,39:00.0,426ae7b5-06a2-4fc6-8e2d-2452ea017550
21960,4,0,41,42:00.0,,,55:43.7,55:43.7,41,1.4444444,31.72,1.61,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,43:00.0,332cdfac-313b-4ba0-9696-b57f6019bd1b
33985,4,13,68,45:00.0,,,55:43.8,55:43.8,81,2.0555556,69.86,3.45,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,46:00.0,04741c9e-97df-4067-9597-1246cb4f0c7c
58584,4,1,108,43:00.0,,,55:43.7,55:43.7,109,1.4722222,86.25,4.57,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,44:00.0,00c2f1f4-88a4-4469-abd1-701af4472d88
44732,4,2,88,49:00.0,,,55:43.9,55:43.9,90,1.7222222,77.04,3.87,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,50:00.0,b985e45b-4d5b-4733-a40c-e8273d4c44c3
55669,4,0,109,52:00.0,,,55:44.1,55:44.1,109,1.5277778,85.05,4.36,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,53:00.0,469cd074-495c-44cd-ade7-94545d5739c7
51474,4,11,100,50:00.0,,,55:44.0,55:44.0,111,1.7777778,91.51,4.76,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,51:00.0,0861fe6e-6197-4ac4-b39c-b5814210ddff
34764,4,0,64,44:00.0,,,55:43.8,55:43.8,64,1.4166666,49.25,2.55,UTC+0900,fLETIHaUF/,com.sec.android.app.shealth,45:00.0,d6f70b60-adb7-4f61-a5e8-eac6c4b4d2a1
