,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,start_date,start_time,com.samsung.shealth.calories_burned.active_calorie
0,0,1536.563,2021-07-03 ,02:08:28.358,0.0
1,0,1536.563,2021-07-03 ,02:08:28.362,0.0
2,0,1536.563,2021-07-03 ,02:08:28.371,0.0
3,0,1536.563,2021-07-03 ,02:08:28.379,0.0
4,0,1536.563,2021-07-03 ,02:08:28.388,0.0
5,0,1536.563,2021-07-03 ,02:08:28.393,0.0
6,0,1536.563,2021-07-03 ,02:08:28.396,0.0
7,0,1536.563,2021-07-03 ,02:08:28.407,0.0
8,0,1536.563,2021-07-03 ,02:08:28.414,0.0
9,0,1536.563,2021-07-03 ,02:08:28.422,0.0
10,0,1536.563,2021-07-03 ,02:08:28.431,0.0
11,0,1536.563,2021-07-03 ,02:08:28.441,0.0
12,0,1536.563,2021-07-03 ,02:08:28.454,0.0
13,0,1536.563,2021-07-03 ,02:08:28.461,0.0
14,0,1536.563,2021-07-03 ,02:08:28.471,0.0
15,0,1536.563,2021-07-03 ,02:08:28.475,0.0
16,0,1536.563,2021-07-03 ,02:08:28.479,0.0
17,0,1536.563,2021-07-03 ,02:08:28.490,0.0
18,0,1536.563,2021-07-03 ,02:08:28.494,0.0
19,0,1536.563,2021-07-03 ,02:08:28.497,0.0
20,0,1536.563,2021-07-03 ,02:08:28.507,0.0
21,0,1536.563,2021-07-03 ,02:08:28.512,0.0
22,0,1536.563,2021-07-03 ,02:08:28.516,0.0
23,0,1536.563,2021-07-03 ,02:08:28.522,0.0
24,0,1536.563,2021-07-03 ,02:08:28.527,0.0
25,0,1536.563,2021-07-03 ,02:08:28.531,0.0
26,0,1536.563,2021-07-03 ,02:08:28.538,0.0
27,1324422,1513.009,2021-07-03 ,15:07:26.365,79.25
28,1417802,1511.3484,2021-07-04 ,15:49:16.013,83.33001
29,1337125,1512.7831,2021-07-05 ,16:02:58.192,83.930016
30,1282607,1513.7527,2021-07-06 ,15:18:32.408,73.45999
31,2300166,1495.6561,2021-07-07 ,15:00:00.499,137.63
32,2897533,1485.0323,2021-07-08 ,15:00:02.512,168.08002
33,4523009,1456.1245,2021-07-09 ,16:27:59.724,283.16135
34,801067,1522.3167,2021-07-10 ,15:00:00.556,42.43431
35,3356204,1476.8752,2021-07-11 ,15:00:00.834,191.52155
36,2452716,1492.9431,2021-07-12 ,15:00:00.606,146.46945
37,1031911,1518.2112,2021-07-14 ,11:29:35.435,55.000385
38,1136372,1516.3535,2021-07-14 ,15:02:53.712,62.94302
39,1790187,1504.7258,2021-07-15 ,15:00:00.731,102.258675
40,1331909,1512.8759,2021-07-16 ,15:00:00.661,71.67207
41,707859,1523.9742,2021-07-17 ,15:00:00.538,38.310356
42,3874107,1467.6648,2021-07-18 ,15:00:00.558,220.13174
43,2498780,1492.1239,2021-07-19 ,15:00:00.388,147.32404
44,1587449,1508.3313,2021-07-22 ,01:59:17.354,91.44547
45,1371959,1512.1637,2021-07-22 ,01:59:17.371,74.49029
46,2229601,1496.9111,2021-07-22 ,15:05:37.689,121.6447
47,1686056,1506.5776,2021-07-23 ,15:00:00.597,94.98148
48,2287963,1495.8733,2021-07-24 ,15:00:00.825,117.843185
49,2698682,1488.5688,2021-07-25 ,15:00:00.512,146.13223
50,4557996,1455.5022,2021-07-26 ,15:00:00.538,275.35156
51,2330606,1495.1147,2021-07-27 ,15:00:00.891,139.80305
52,2813198,1486.5322,2021-07-28 ,15:00:00.677,145.86417
53,3492885,1474.4445,2021-07-29 ,15:00:00.762,186.09181
54,3387389,1476.3207,2021-07-30 ,15:00:00.687,170.37831
55,2295246,1495.7437,2021-07-31 ,15:43:40.657,127.15501
56,6643059,1418.4209,2021-08-01 ,15:00:01.104,389.70288
57,4126726,1463.172,2021-08-02 ,15:32:15.021,243.30585
58,4279447,1460.456,2021-08-03 ,15:00:00.561,246.32668
59,7815348,1397.5726,2021-08-05 ,02:04:48.772,455.98944
60,3468583,1474.8767,2021-08-06 ,01:45:30.967,191.8782
61,2634480,1489.7106,2021-08-06 ,15:00:01.539,152.14891
62,867894,1521.128,2021-08-07 ,15:00:18.441,48.413406
63,4243125,1461.1019,2021-08-08 ,15:00:04.214,246.15694
64,4944036,1448.6368,2021-08-09 ,15:29:36.043,288.05093
65,4051990,1464.5012,2021-08-10 ,15:00:00.876,218.22711
66,4249626,1460.9865,2021-08-11 ,15:00:00.718,228.22636
67,4660186,1453.6849,2021-08-12 ,15:00:00.718,249.33502
68,3881624,1467.531,2021-08-13 ,15:00:00.728,209.10207
69,624859,1525.4503,2021-08-14 ,15:00:00.851,34.890003
70,1699382,1506.3407,2021-08-15 ,15:00:01.309,93.37813
71,5551590,1437.8319,2021-08-16 ,15:00:00.862,304.70514
72,4386484,1458.5525,2021-08-17 ,15:00:21.752,239.95917
73,5434368,1439.9166,2021-08-18 ,15:00:00.957,296.16827
74,3135488,1480.8005,2021-08-19 ,15:00:00.790,171.00836
75,4677118,1453.3837,2021-08-20 ,15:00:01.637,256.40652
76,4151754,1462.727,2021-08-21 ,15:00:00.768,230.50787
77,5797287,1433.4623,2021-08-25 ,03:35:37.036,336.76526
78,4526419,1456.0638,2021-08-25 ,03:35:37.184,257.51764
79,1924231,1502.3419,2021-08-25 ,03:35:37.412,107.35462
80,886484,1520.7976,2021-08-25 ,15:26:24.457,49.717762
81,1576610,1508.5242,2021-08-26 ,15:20:55.877,84.33448
82,1961661,1501.6761,2021-08-27 ,15:00:00.660,114.7191
83,1384632,1511.9384,2021-08-29 ,02:42:34.903,76.1347
84,767050,1522.9216,2021-08-29 ,15:41:02.218,40.828926
85,4329961,1459.5577,2021-08-30 ,15:00:00.754,250.53648
86,3957309,1466.185,2021-09-01 ,04:48:13.762,232.4341
87,4894408,1449.5194,2021-09-03 ,02:56:05.254,266.60712
88,1101053,1516.9814,2021-09-03 ,02:56:05.305,62.163345
89,3278860,1478.2507,2021-09-03 ,15:20:34.801,165.04353
90,4186319,1462.1123,2021-09-04 ,15:10:29.584,230.81021
91,2502191,1492.0632,2021-09-05 ,15:00:00.458,144.71413
92,564949,1526.5157,2021-09-06 ,15:00:00.805,30.929996
93,4002,1536.4918,2021-09-07 ,15:00:00.669,0.21738717
94,3569407,1473.0836,2021-09-08 ,15:00:00.764,204.72299
95,3322784,1477.4696,2021-09-09 ,15:00:00.867,186.96179
96,3822550,1468.5817,2021-09-10 ,15:27:08.265,214.76184
97,3176898,1480.0641,2021-09-11 ,15:01:04.847,174.1111
98,3765313,1469.5996,2021-09-12 ,16:44:46.912,210.70045
99,3473252,1474.7937,2021-09-13 ,15:05:38.429,191.10439
100,2947706,1484.1401,2021-09-14 ,15:00:00.771,166.83774
101,3326405,1477.4052,2021-09-16 ,12:22:20.941,184.91325
102,2254289,1496.472,2021-09-16 ,15:00:00.848,129.65137
103,3989560,1465.6115,2021-09-17 ,15:00:01.407,216.7073
104,3837528,1468.3153,2021-09-18 ,15:00:00.646,210.47223
105,3076525,1481.8491,2021-09-19 ,15:00:01.122,171.1271
106,10114573,1356.6824,2021-09-20 ,15:13:44.918,570.10004
107,2856978,1485.7537,2021-09-22 ,04:20:04.341,162.20543
108,4668626,1453.5348,2021-09-23 ,07:24:53.194,266.95142
109,4110346,1463.4634,2021-09-23 ,15:00:00.904,222.66331
110,2460233,1492.8094,2021-09-24 ,15:24:37.595,139.28142
111,583625,1526.1837,2021-09-25 ,15:00:00.863,30.844683
112,3677935,1471.1534,2021-09-26 ,15:00:01.076,211.4829
113,1849513,1503.6708,2021-09-27 ,15:00:00.632,105.21703
114,1810454,1504.3654,2021-09-28 ,15:00:01.710,101.74822
115,2097872,1499.2538,2021-09-29 ,15:00:01.130,120.07694
116,1604106,1508.0352,2021-09-30 ,15:00:00.822,102.29083
117,2681344,1488.8772,2021-10-01 ,15:00:00.577,154.58092
118,4542082,1455.7853,2021-10-04 ,04:26:11.660,239.49522
119,2506096,1491.9939,2021-10-04 ,04:26:11.727,145.22226
120,2370733,1494.4011,2021-10-04 ,15:00:01.031,139.86111
121,4742485,1452.2212,2021-10-05 ,15:35:51.252,264.3008
122,5347925,1441.4539,2021-10-06 ,15:00:01.033,298.40448
123,4694252,1453.079,2021-10-07 ,15:05:02.727,266.4045
124,3881845,1467.5271,2021-10-09 ,00:02:33.520,224.63106
125,2962348,1483.8796,2021-10-09 ,15:35:01.988,170.17796
126,3429571,1475.5706,2021-10-10 ,15:08:47.199,190.7224
127,4559970,1455.4672,2021-10-12 ,02:23:29.905,254.01324
128,6802684,1415.582,2021-10-12 ,15:32:23.470,365.44727
129,4931951,1448.8517,2021-10-14 ,00:32:40.900,280.76392
130,2705172,1488.4535,2021-10-14 ,15:18:15.861,149.58517
