,potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,metric_serving_amount,sodium,dietary_fiber,total_fat,start_date,start_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,saturated_fat,trans_fat,carbohydrate,unit_count_per_calorie
0,83.0,1.0,0.0,0.0,0.0,317 kcal,90,5.0,0.86,0.09,2021-07-03 ,02:08:26.654,0.0,5.13,0.0,1.0,쌀밥+,0.0,0.0,5.0,316.8,인분,0.0,0.0,70.7,0.2840909
1,256.0,1.0,0.0,0.0,0.0,353 kcal,100,4.0,3.09,0.64,2021-07-03 ,02:08:26.655,0.01,7.8,0.06,2.0,잡곡밥+,0.0,0.0,16.0,352.8,인분,0.03,0.0,76.6,0.28344673
2,293.0,0.0,0.0,0.0,0.0,315 kcal,90,71.0,2.97,1.89,2021-07-03 ,02:08:26.661,0.0,6.84,0.0,1.0,현미밥+,0.0,0.0,5.0,315.0,인분,0.0,0.0,69.4,0.2857143
3,180.0,29.0,8.0,0.0,0.0,11 kcal,60,688.0,1.8,0.3,2021-07-03 ,02:08:26.661,0.0,1.2,0.0,0.0,배추김치+,0.0,0.0,28.0,10.8,인분,0.0,0.0,2.3,5.5555553
4,385.0,159.0,1.0,0.0,240.0,515 kcal,169,1252.0,3.66,20.599,2021-07-03 ,02:08:26.662,2.19,15.992,0.8,2.0,라면+,0.0,0.0,42.0,515.0,인분,1.57,0.0,73.9,0.32815534
5,420.0,386.0,14.0,0.0,79.0,445 kcal,190,662.0,3.31,12.765,2021-07-03 ,02:08:26.662,2.93,10.656,4.41,3.0,김밥+,0.0,0.0,42.0,444.8,인분,1.61,0.0,71.2,0.4271583
6,380.0,7.0,10.0,0.0,0.0,80 kcal,100,2.0,1.8,0.2,2021-07-03 ,02:08:26.662,0.0,1.2,0.0,1.0,바나나+,0.0,0.0,4.0,80.0,인분,0.0,0.0,21.1,1.25
7,72.0,18.0,0.0,0.0,7.0,43 kcal,115,5.0,0.0,1.935,2021-07-03 ,02:08:26.663,0.0,0.37,0.0,0.0,커피+설탕+프림+,0.0,0.0,12.0,42.8,인분,0.0,0.0,5.8,2.6869159
8,60.0,0.0,0.0,0.0,0.0,3 kcal,100,1.0,0.0,0.0,2021-07-03 ,02:08:26.663,0.0,0.1,0.0,0.0,커피+원두+블랙+,0.0,0.0,2.0,3.0,인분,0.0,0.0,0.4,33.333332
9,296.0,56.0,2.0,0.0,22.0,120 kcal,200,110.0,0.0,6.4,2021-07-03 ,02:08:26.664,1.82,6.4,0.22,0.0,우유+,0.0,0.0,210.0,120.0,인분,4.34,0.0,9.4,1.6666666
10,0.0,0.0,0.0,0.0,0.0,0 kcal,237,5.0,0.0,0.0,2021-07-13 ,02:54:23.525,0.0,0.0,0.0,0.0,물+,0.0,,0.0,0.0,컵 (240 ml),0.0,,0.0,
