,mental_recovery,physical_recovery,movement_awakening,sleep_cycle,efficiency,sleep_score,sleep_duration,start_date,start_time
0,83.0,54.0,10.0,3.0,93.396225,81.0,423.0,2021-07-09 ,14:13:00.000
1,75.0,22.0,45.0,1.0,81.818184,38.0,219.0,2021-07-09 ,21:29:00.000

2,82.0,29.0,9.0,3.0,91.43836,56.0,289.0,2021-07-10 ,18:06:00.000
3,74.0,14.0,23.0,1.0,86.013985,46.0,138.0,2021-07-10 ,23:15:00.000

4,74.0,19.0,44.0,1.0,81.28342,38.0,185.0,2021-07-12 ,05:42:00.000

5,87.0,56.0,18.0,4.0,90.12346,61.0,551.0,2021-07-14 ,13:39:00.000

6,73.0,16.0,33.0,1.0,82.27848,44.0,157.0,2021-07-15 ,04:16:00.000

7,62.0,20.0,18.0,2.0,86.95652,39.0,200.0,2021-07-16 ,05:32:00.000

8,52.0,7.0,58.0,1.0,67.12329,31.0,69.0,2021-07-19 ,06:13:00.000
9,74.0,29.0,18.0,1.0,89.62656,60.0,238.0,2021-07-19 ,10:02:00.000
10,77.0,54.0,62.0,4.0,78.66972,66.0,434.0,2021-07-19 ,16:47:00.000

11,59.0,11.0,36.0,1.0,78.899086,33.0,107.0,2021-07-20 ,13:48:00.000
12,86.0,59.0,34.0,4.0,89.10257,69.0,460.0,2021-07-20 ,15:58:00.000

13,75.0,60.0,19.0,2.0,90.66667,73.0,448.0,2021-07-21 ,16:03:00.000

14,84.0,54.0,11.0,3.0,92.73608,82.0,411.0,2021-07-23 ,16:05:00.000
15,61.0,8.0,44.0,1.0,75.0,41.0,78.0,2021-07-23 ,23:23:00.000

16,74.0,25.0,12.0,1.0,91.72414,71.0,144.0,2021-07-24 ,06:08:00.000
17,82.0,54.0,23.0,3.0,88.50102,70.0,479.0,2021-07-24 ,16:15:00.000

18,60.0,13.0,61.0,1.0,73.13432,40.0,132.0,2021-07-25 ,14:29:00.000
19,82.0,48.0,14.0,3.0,90.12048,82.0,407.0,2021-07-25 ,16:47:00.000

20,70.0,9.0,23.0,0.0,81.31868,31.0,87.0,2021-07-26 ,09:02:00.000
21,79.0,56.0,33.0,2.0,86.14719,65.0,460.0,2021-07-26 ,15:02:00.000

22,70.0,19.0,22.0,0.0,84.29319,31.0,188.0,2021-07-27 ,07:39:00.000
23,85.0,60.0,42.0,4.0,85.51483,61.0,570.0,2021-07-27 ,15:04:00.000

24,64.0,30.0,27.0,1.0,85.29411,64.0,135.0,2021-07-29 ,08:43:00.000

25,86.0,55.0,11.0,4.0,89.014084,78.0,336.0,2021-07-30 ,15:58:00.000

26,85.0,47.0,16.0,3.0,92.51337,76.0,372.0,2021-07-31 ,14:50:00.000

27,79.0,31.0,19.0,2.0,91.459076,55.0,280.0,2021-08-01 ,13:24:00.000
28,74.0,22.0,6.0,1.0,96.0,47.0,224.0,2021-08-01 ,19:35:00.000

29,78.0,31.0,19.0,2.0,89.26829,65.0,202.0,2021-08-03 ,14:23:00.000
