,start_date,start_time,update_time,create_time,stage,end_time
0,2021-07-09 ,14:13:29.000,2021-07-09 14:13:29.000,2021-07-09 14:31:29.000,40002,2021-07-09 14:31:29.000
1,2021-07-09 ,14:31:29.000,2021-07-09 14:31:29.000,2021-07-09 14:33:29.000,40001,2021-07-09 14:33:29.000
2,2021-07-09 ,14:33:29.000,2021-07-09 14:33:29.000,2021-07-09 14:40:29.000,40002,2021-07-09 14:40:29.000
3,2021-07-09 ,14:40:29.000,2021-07-09 14:40:29.000,2021-07-09 14:43:29.000,40003,2021-07-09 14:43:29.000
4,2021-07-09 ,14:43:29.000,2021-07-09 14:43:29.000,2021-07-09 14:44:29.000,40002,2021-07-09 14:44:29.000
5,2021-07-09 ,14:44:29.000,2021-07-09 14:44:29.000,2021-07-09 14:45:29.000,40001,2021-07-09 14:45:29.000
6,2021-07-09 ,14:45:29.000,2021-07-09 14:45:29.000,2021-07-09 15:07:29.000,40002,2021-07-09 15:07:29.000
7,2021-07-09 ,15:07:29.000,2021-07-09 15:07:29.000,2021-07-09 15:32:29.000,40004,2021-07-09 15:32:29.000
8,2021-07-09 ,15:32:29.000,2021-07-09 15:32:29.000,2021-07-09 15:33:29.000,40001,2021-07-09 15:33:29.000
9,2021-07-09 ,15:33:29.000,2021-07-09 15:33:29.000,2021-07-09 15:43:29.000,40002,2021-07-09 15:43:29.000
10,2021-07-09 ,15:43:29.000,2021-07-09 15:43:29.000,2021-07-09 16:00:29.000,40003,2021-07-09 16:00:29.000
11,2021-07-09 ,16:00:29.000,2021-07-09 16:00:29.000,2021-07-09 16:04:29.000,40002,2021-07-09 16:04:29.000
12,2021-07-09 ,16:04:29.000,2021-07-09 16:04:29.000,2021-07-09 16:07:29.000,40003,2021-07-09 16:07:29.000
13,2021-07-09 ,16:07:29.000,2021-07-09 16:07:29.000,2021-07-09 16:08:29.000,40002,2021-07-09 16:08:29.000
14,2021-07-09 ,16:08:29.000,2021-07-09 16:08:29.000,2021-07-09 16:16:29.000,40003,2021-07-09 16:16:29.000
15,2021-07-09 ,16:16:29.000,2021-07-09 16:16:29.000,2021-07-09 16:24:29.000,40002,2021-07-09 16:24:29.000
16,2021-07-09 ,16:24:29.000,2021-07-09 16:24:29.000,2021-07-09 16:26:29.000,40001,2021-07-09 16:26:29.000
17,2021-07-09 ,16:26:29.000,2021-07-09 16:26:29.000,2021-07-09 16:31:29.000,40002,2021-07-09 16:31:29.000
18,2021-07-09 ,16:31:29.000,2021-07-09 16:31:29.000,2021-07-09 16:32:29.000,40001,2021-07-09 16:32:29.000
19,2021-07-09 ,16:32:29.000,2021-07-09 16:32:29.000,2021-07-09 16:46:29.000,40003,2021-07-09 16:46:29.000
20,2021-07-09 ,16:46:29.000,2021-07-09 16:46:29.000,2021-07-09 16:50:29.000,40002,2021-07-09 16:50:29.000
21,2021-07-09 ,16:50:29.000,2021-07-09 16:50:29.000,2021-07-09 16:51:29.000,40001,2021-07-09 16:51:29.000
22,2021-07-09 ,16:51:29.000,2021-07-09 16:51:29.000,2021-07-09 16:54:29.000,40002,2021-07-09 16:54:29.000
23,2021-07-09 ,16:54:29.000,2021-07-09 16:54:29.000,2021-07-09 17:11:29.000,40004,2021-07-09 17:11:29.000
24,2021-07-09 ,17:11:29.000,2021-07-09 17:11:29.000,2021-07-09 17:21:29.000,40002,2021-07-09 17:21:29.000
