duration,version_code,run_step,walk_step,start_date,start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
12429,4,0,18,2021-10-26 ,00:02:00.000,,,2021-10-26 00:05:59.069,2021-10-26 00:05:59.069,18,1.0555556,13.12,0.66,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:03:00.000,9da31f4b-a637-43eb-abc3-ffd82215ef96
19300,4,0,32,2021-10-26 ,00:04:00.000,,,2021-10-26 00:05:59.111,2021-10-26 00:05:59.111,32,1.2222222,23.59,1.22,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:05:00.000,bd12be6e-e16e-42c5-ae87-4f0f80499613
58237,4,0,101,2021-10-26 ,00:05:00.000,,,2021-10-26 00:05:59.739,2021-10-26 00:05:59.164,101,1.308098,76.17999,3.98,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:06:00.000,3addaf75-fa5d-410f-80bc-efe7ea6fb7a6
55300,4,0,101,2021-10-26 ,00:06:00.000,,,2021-10-26 00:06:59.836,2021-10-26 00:06:00.350,101,1.3907728,76.90996,3.9199977,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:07:00.000,2df224f1-ab11-4376-bb5e-763ac85ee560
59700,4,0,108,2021-10-26 ,00:07:00.000,,,2021-10-26 00:09:47.468,2021-10-26 00:07:00.424,108,1.3815596,82.48,3.9,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:08:00.000,6af0f75d-102b-48f8-97c6-e913d11aec71
60000,4,0,110,2021-10-26 ,00:08:00.000,,,2021-10-26 00:09:47.519,2021-10-26 00:09:47.519,110,1.3991666,83.95,4.18,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:09:00.000,ca904f21-ed63-4bdb-9052-e0eafabf70bb
58898,4,0,107,2021-10-26 ,00:09:00.000,,,2021-10-26 00:09:59.645,2021-10-26 00:09:47.550,107,1.3872994,81.71005,4.049999,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:10:00.000,fe5ce8b7-00f3-4eed-8a24-9019d22beec6
59008,4,0,106,2021-10-26 ,00:10:00.000,,,2021-10-26 00:10:59.433,2021-10-26 00:10:00.165,106,1.3648823,80.539955,4.209997,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:11:00.000,3f41bcdf-b706-4e31-b0a3-b9a26fb9388b
17609,4,0,30,2021-10-26 ,00:11:00.000,,,2021-10-26 00:11:18.286,2021-10-26 00:11:00.033,30,1.2754133,22.46,1.1999999,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:12:00.000,38c8b057-fa99-4873-9753-639e2ac8e4b7
23899,4,0,43,2021-10-26 ,00:12:00.000,,,2021-10-26 00:15:01.947,2021-10-26 00:15:01.947,43,1.3611112,32.53,1.69,UTC+0900,OvMFo+Qpk+,com.sec.android.app.shealth,2021-10-26 00:13:00.000,27c55241-71f4-4ce5-8684-e25e640de104
