,duration,walk_step,start_date,start_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
0,12429.0,18,2021-10-26 ,00:02:00.000,1.0555556,13.12,0.66,2021-10-26 00:03:00.000
1,19300.0,32,2021-10-26 ,00:04:00.000,1.2222222,23.59,1.22,2021-10-26 00:05:00.000
2,58237.0,101,2021-10-26 ,00:05:00.000,1.308098,76.17999,3.98,2021-10-26 00:06:00.000
3,55300.0,101,2021-10-26 ,00:06:00.000,1.3907728,76.90996,3.9199977,2021-10-26 00:07:00.000
4,59700.0,108,2021-10-26 ,00:07:00.000,1.3815596,82.48,3.9,2021-10-26 00:08:00.000
5,60000.0,110,2021-10-26 ,00:08:00.000,1.3991666,83.95,4.18,2021-10-26 00:09:00.000
6,58898.0,107,2021-10-26 ,00:09:00.000,1.3872994,81.71005,4.049999,2021-10-26 00:10:00.000
7,59008.0,106,2021-10-26 ,00:10:00.000,1.3648823,80.539955,4.209997,2021-10-26 00:11:00.000
8,17609.0,30,2021-10-26 ,00:11:00.000,1.2754133,22.46,1.1999999,2021-10-26 00:12:00.000
9,23899.0,43,2021-10-26 ,00:12:00.000,1.3611112,32.53,1.69,2021-10-26 00:13:00.000
10,47241.0,90,2021-10-26 ,00:13:00.000,1.4722222,69.55,2.92,2021-10-26 00:14:00.000
11,4626.0,8,2021-10-26 ,00:14:00.000,1.3055556,6.04,0.29,2021-10-26 00:15:00.000
12,9634.0,15,2021-10-26 ,05:33:00.000,1.1666666,11.24,0.53,2021-10-26 05:34:00.000
13,7372.0,13,2021-10-26 ,05:34:00.000,1.3333334,9.83,0.49,2021-10-26 05:35:00.000
14,11737.0,19,2021-10-26 ,05:35:00.000,1.1944444,14.02,0.7,2021-10-26 05:36:00.000
15,12084.0,20,2021-10-26 ,05:36:00.000,1.2222222,14.77,0.72,2021-10-26 05:37:00.000
16,6600.0,10,2021-10-26 ,05:39:00.000,1.0833334,7.15,0.38,2021-10-26 05:40:00.000
17,3573.0,7,2021-10-26 ,05:41:00.000,1.5277778,5.46,0.24,2021-10-26 05:42:00.000
18,5493.0,10,2021-10-26 ,05:42:00.000,1.3888888,7.63,0.37,2021-10-26 05:43:00.000
19,10357.0,14,2021-10-26 ,05:45:00.000,0.9722222,10.07,0.51,2021-10-26 05:46:00.000
20,14391.0,22,2021-10-26 ,05:51:00.000,1.1111112,15.99,0.83,2021-10-26 05:52:00.000
21,700.0,1,2021-10-26 ,05:52:00.000,1.0277777,0.72,0.04,2021-10-26 05:53:00.000
22,5526.0,8,2021-10-26 ,05:54:00.000,1.0277778,5.68,0.3,2021-10-26 05:55:00.000
23,44979.0,86,2021-10-26 ,08:12:00.000,1.4722222,66.22,2.65,2021-10-26 08:13:00.000
24,6739.0,13,2021-10-26 ,08:13:00.000,1.5,10.11,0.39,2021-10-26 08:14:00.000
25,27711.0,43,2021-10-26 ,08:14:00.000,1.1388888,31.56,1.69,2021-10-26 08:15:00.000
26,35941.0,58,2021-10-26 ,08:15:00.000,1.1944444,42.93,2.32,2021-10-26 08:16:00.000
27,12519.0,19,2021-10-26 ,08:16:00.000,1.1111112,13.91,0.7,2021-10-26 08:17:00.000
28,11181.0,15,2021-10-26 ,08:20:00.000,0.9444444,10.56,0.56,2021-10-26 08:21:00.000
29,9970.0,17,2021-10-26 ,08:27:00.000,1.2777778,12.74,0.65,2021-10-26 08:28:00.000
30,6488.0,10,2021-10-26 ,08:36:00.000,1.1388888,7.39,0.37,2021-10-26 08:37:00.000
31,7952.0,13,2021-10-26 ,08:59:00.000,1.2222222,9.72,0.49,2021-10-26 09:00:00.000
32,60000.0,99,2021-10-26 ,10:49:00.000,1.2046667,72.28,3.91,2021-10-26 10:50:00.000
33,58689.0,98,2021-10-26 ,10:50:00.000,1.2450283,73.07004,3.869999,2021-10-26 10:51:00.000
34,59732.0,89,2021-10-26 ,10:51:00.000,1.0833334,64.71,3.56,2021-10-26 10:52:00.000
35,60000.0,91,2021-10-26 ,10:52:00.000,1.0996667,65.98,3.64,2021-10-26 10:53:00.000
36,58100.0,90,2021-10-26 ,10:53:00.000,1.1388888,66.17,3.57,2021-10-26 10:54:00.000
37,60000.0,96,2021-10-26 ,10:54:00.000,1.1801667,70.81,3.8399994,2021-10-26 10:55:00.000
38,57749.0,95,2021-10-26 ,10:55:00.000,1.2225108,70.6,3.8,2021-10-26 10:56:00.000
39,60000.0,96,2021-10-26 ,10:56:00.000,1.1771666,70.63,3.84,2021-10-26 10:57:00.000
40,59180.0,92,2021-10-26 ,10:57:00.000,1.1388888,67.4,3.68,2021-10-26 10:58:00.000
41,41940.0,64,2021-10-26 ,10:58:00.000,1.111111,46.6,2.5,2021-10-26 10:59:00.000
42,4724.0,6,2021-10-26 ,10:59:00.000,0.88888896,4.2,0.24,2021-10-26 11:00:00.000
43,,11,2021-10-26 ,12:48:00.000,0.13450521,8.0703125,0.39569092,2021-10-26 12:48:59.000
44,,10,2021-10-26 ,13:06:00.000,0.12486979,7.4921875,0.3534546,2021-10-26 13:06:59.000
45,,6,2021-10-26 ,21:46:00.000,0.07695313,4.6171875,0.21069336,2021-10-26 21:46:59.000
46,,2,2021-10-26 ,21:47:00.000,0.024641927,1.4785156,0.07128906,2021-10-26 21:47:59.000
47,,12,2021-10-26 ,23:57:00.000,0.16116537,9.669922,0.41485596,2021-10-26 23:57:59.000

48,,18,2021-10-27 ,00:06:00.000,0.2443685,14.662109,0.6158447,2021-10-27 00:06:59.000
49,,7,2021-10-27 ,00:07:00.000,0.08778725,5.267235,0.24857795,2021-10-27 00:07:59.000
50,,13,2021-10-27 ,00:08:00.000,0.1619208,9.715248,0.4629122,2021-10-27 00:08:59.000
51,,7,2021-10-27 ,00:09:00.000,0.09305592,5.583355,0.24216962,2021-10-27 00:09:59.000
52,,7,2021-10-27 ,00:10:00.000,0.08752753,5.251652,0.24820495,2021-10-27 00:10:59.000
53,,7,2021-10-27 ,00:11:00.000,0.09214255,5.528553,0.2452774,2021-10-27 00:11:59.000
54,,39,2021-10-27 ,00:18:00.000,0.49403578,29.642147,1.3797827,2021-10-27 00:18:59.000
55,,72,2021-10-27 ,00:19:00.000,0.90668386,54.40103,2.5514402,2021-10-27 00:19:59.000
56,60000.0,107,2021-10-27 ,00:19:00.000,1.3041667,78.25,4.21,2021-10-27 00:20:00.000
57,,91,2021-10-27 ,00:20:00.000,1.1346436,68.07861,3.2310557,2021-10-27 00:20:59.000
58,55809.0,87,2021-10-27 ,00:20:00.000,1.1460502,63.96,3.4799988,2021-10-27 00:21:00.000
59,59320.0,89,2021-10-27 ,00:21:00.000,1.0906909,64.69997,3.5599978,2021-10-27 00:22:00.000
60,,67,2021-10-27 ,00:21:00.000,0.8169027,49.01416,2.4063997,2021-10-27 00:21:59.000
61,60000.0,91,2021-10-27 ,00:22:00.000,1.1066663,66.39998,3.6399977,2021-10-27 00:23:00.000
62,,86,2021-10-27 ,00:22:00.000,1.0671651,64.02991,3.0716877,2021-10-27 00:22:59.000
63,,93,2021-10-27 ,00:23:00.000,1.1477829,68.866974,3.3095217,2021-10-27 00:23:59.000
64,57816.0,95,2021-10-27 ,00:23:00.000,1.2162533,70.32002,3.7299976,2021-10-27 00:24:00.000
65,,97,2021-10-27 ,00:24:00.000,1.2018529,72.111176,3.4542713,2021-10-27 00:24:59.000
66,60000.0,94,2021-10-27 ,00:24:00.000,1.1448332,68.68999,3.7599976,2021-10-27 00:25:00.000
67,58940.0,98,2021-10-27 ,00:25:00.000,1.2395513,73.06,3.8600001,2021-10-27 00:26:00.000
68,,95,2021-10-27 ,00:25:00.000,1.1799285,70.795715,3.3673458,2021-10-27 00:25:59.000
69,57154.0,94,2021-10-27 ,00:26:00.000,1.219319,69.689995,3.7399998,2021-10-27 00:27:00.000
70,,93,2021-10-27 ,00:26:00.000,1.1528686,69.17212,3.303379,2021-10-27 00:26:59.000
71,,98,2021-10-27 ,00:27:00.000,1.2205821,73.234924,3.469017,2021-10-27 00:27:59.000
72,59903.0,100,2021-10-27 ,00:27:00.000,1.25,74.88,3.97,2021-10-27 00:28:00.000
73,,30,2021-10-27 ,00:28:00.000,0.37354532,22.41272,1.0619545,2021-10-27 00:28:59.000
74,18528.0,31,2021-10-27 ,00:28:00.000,1.25,23.16,1.2399999,2021-10-27 00:29:00.000
75,,10,2021-10-27 ,00:29:00.000,0.13183899,7.9103394,0.3489952,2021-10-27 00:29:59.000
76,,10,2021-10-27 ,00:46:00.000,0.13427022,8.056213,0.34273148,2021-10-27 00:46:59.000
77,,8,2021-10-27 ,00:47:00.000,0.10086873,6.052124,0.2852478,2021-10-27 00:47:59.000
78,,11,2021-10-27 ,00:50:00.000,0.14292195,8.575317,0.38653946,2021-10-27 00:50:59.000
79,,16,2021-10-27 ,00:54:00.000,0.1956665,11.73999,0.5743828,2021-10-27 00:54:59.000
80,,11,2021-10-27 ,00:58:00.000,0.13752747,8.251648,0.39013672,2021-10-27 00:58:59.000
81,,10,2021-10-27 ,01:01:00.000,0.12615459,7.569275,0.35190964,2021-10-27 01:01:59.000
82,,2,2021-10-27 ,01:02:00.000,0.025419109,1.5251465,0.07010651,2021-10-27 01:02:59.000
83,,7,2021-10-27 ,01:06:00.000,0.09382324,5.6293945,0.24269867,2021-10-27 01:06:59.000
84,,7,2021-10-27 ,01:15:00.000,0.091499835,5.48999,0.24406052,2021-10-27 01:15:59.000
85,,22,2021-10-27 ,01:31:00.000,0.2975993,17.855957,0.8008995,2021-10-27 01:31:59.000
86,24683.0,37,2021-10-27 ,01:41:00.000,1.0833334,26.74,1.43,2021-10-27 01:42:00.000
87,,30,2021-10-27 ,01:41:00.000,0.38333434,23.000061,1.055584,2021-10-27 01:41:59.000
88,40145.0,59,2021-10-27 ,01:42:00.000,1.0626266,42.66,2.3000002,2021-10-27 01:43:00.000
89,,11,2021-10-27 ,01:42:00.000,0.13885702,8.331421,0.38874817,2021-10-27 01:42:59.000
90,,6,2021-10-27 ,01:45:00.000,0.08195292,4.9171753,0.20561981,2021-10-27 01:45:59.000
91,,13,2021-10-27 ,01:46:00.000,0.17529398,10.517639,0.44779205,2021-10-27 01:46:59.000
92,,13,2021-10-27 ,01:47:00.000,0.17265218,10.359131,0.45180893,2021-10-27 01:47:59.000
93,,21,2021-10-27 ,01:48:00.000,0.26997784,16.19867,0.73540497,2021-10-27 01:48:59.000
94,,10,2021-10-27 ,01:50:00.000,0.12815551,7.689331,0.35074997,2021-10-27 01:50:59.000
95,,28,2021-10-27 ,02:11:00.000,0.36021322,21.612793,0.98028946,2021-10-27 02:11:59.000
96,,17,2021-10-27 ,02:12:00.000,0.212854,12.77124,0.6000824,2021-10-27 02:12:59.000
97,,33,2021-10-27 ,02:15:00.000,0.40478924,24.287354,1.1847878,2021-10-27 02:15:59.000
98,,62,2021-10-27 ,02:20:00.000,0.7888102,47.328613,2.183937,2021-10-27 02:20:59.000
99,,37,2021-10-27 ,02:21:00.000,0.4694336,28.166016,1.2999878,2021-10-27 02:21:59.000
100,,53,2021-10-27 ,02:22:00.000,0.70382994,42.229797,1.8311539,2021-10-27 02:22:59.000
101,,7,2021-10-27 ,02:37:00.000,0.094203696,5.6522217,0.23907852,2021-10-27 02:37:59.000
102,,10,2021-10-27 ,02:47:00.000,0.13249308,7.949585,0.34677887,2021-10-27 02:47:59.000
103,,8,2021-10-27 ,02:54:00.000,0.10528971,6.317383,0.27287674,2021-10-27 02:54:59.000
104,,10,2021-10-27 ,02:55:00.000,0.13024291,7.814575,0.3503952,2021-10-27 02:55:59.000
105,,6,2021-10-27 ,03:04:00.000,0.08059082,4.835449,0.20439911,2021-10-27 03:04:59.000
106,,10,2021-10-27 ,03:08:00.000,0.12658487,7.595093,0.35330582,2021-10-27 03:08:59.000
107,,9,2021-10-27 ,03:20:00.000,0.11671957,7.003174,0.31601715,2021-10-27 03:20:59.000
108,,1,2021-10-27 ,03:22:00.000,0.013267009,0.7960205,0.03470993,2021-10-27 03:22:59.000
109,,24,2021-10-27 ,03:28:00.000,0.31606647,18.96399,0.8315582,2021-10-27 03:28:59.000
110,,6,2021-10-27 ,03:30:00.000,0.07738851,4.6433105,0.20845413,2021-10-27 03:30:59.000
111,,15,2021-10-27 ,03:32:00.000,0.19124146,11.474487,0.5279541,2021-10-27 03:32:59.000
112,,11,2021-10-27 ,03:47:00.000,0.13893433,8.33606,0.387146,2021-10-27 03:47:59.000
113,,7,2021-10-27 ,03:48:00.000,0.08991089,5.3946533,0.24541092,2021-10-27 03:48:59.000
114,,6,2021-10-27 ,03:51:00.000,0.07664388,4.598633,0.21054459,2021-10-27 03:51:59.000
115,,4,2021-10-27 ,03:53:00.000,0.05225016,3.1350098,0.1391449,2021-10-27 03:53:59.000
116,,7,2021-10-27 ,03:57:00.000,0.089465335,5.36792,0.24528122,2021-10-27 03:57:59.000
117,,12,2021-10-27 ,04:13:00.000,0.16066487,9.639893,0.41786575,2021-10-27 04:13:59.000
118,,15,2021-10-27 ,04:15:00.000,0.19769287,11.861572,0.52251816,2021-10-27 04:15:59.000
119,,7,2021-10-27 ,04:18:00.000,0.09539388,5.723633,0.23846817,2021-10-27 04:18:59.000
120,,16,2021-10-27 ,04:24:00.000,0.20405884,12.24353,0.56331635,2021-10-27 04:24:59.000
121,,2,2021-10-27 ,04:25:00.000,0.027486166,1.6491699,0.06876373,2021-10-27 04:25:59.000
122,,10,2021-10-27 ,04:28:00.000,0.12754923,7.652954,0.35063934,2021-10-27 04:28:59.000
123,,7,2021-10-27 ,04:36:00.000,0.09187622,5.5125732,0.24238968,2021-10-27 04:36:59.000
124,,13,2021-10-27 ,04:46:00.000,0.1724996,10.349976,0.44691467,2021-10-27 04:46:59.000
125,,8,2021-10-27 ,04:58:00.000,0.09664307,5.798584,0.28997803,2021-10-27 04:58:59.000
126,,10,2021-10-27 ,05:01:00.000,0.12680867,7.6085205,0.3533554,2021-10-27 05:01:59.000
127,29777.0,54,2021-10-27 ,05:11:00.000,1.3825804,41.170002,2.0099998,2021-10-27 05:12:00.000
128,,44,2021-10-27 ,05:11:00.000,0.5558675,33.35205,1.5487404,2021-10-27 05:11:59.000
129,30141.0,54,2021-10-27 ,05:12:00.000,1.3605858,41.01,2.1499999,2021-10-27 05:13:00.000
130,,62,2021-10-27 ,05:12:00.000,0.7869751,47.218506,2.1767006,2021-10-27 05:12:59.000
