,update_time,start_date,start_time,source_type,count,speed,distance,calorie
1,2021-07-03 15:07:27.247,2021-07-03 ,15:07:27.247,0,2080,1.2892998,1541.24,79.24999

3,2021-07-04 15:49:17.854,2021-07-04 ,15:49:17.854,0,2185,1.2603687,1623.68,83.329994

7,2021-07-06 15:18:33.393,2021-07-06 ,15:18:33.393,0,1931,1.2715194,1447.91,73.45999

9,2021-07-07 15:00:00.786,2021-07-07 ,15:00:00.786,0,3621,1.235751,2698.54,137.62997

11,2021-07-08 15:00:12.709,2021-07-08 ,15:00:12.709,0,4364,1.1979078,3218.36,168.07999
12,2021-07-09 13:33:02.429,2021-07-08 ,21:15:02.656,-2,7191,1.2640862,5377.0117,283.16135

13,2021-07-09 16:28:04.257,2021-07-09 ,16:28:04.257,0,7180,1.2802209,5368.83,282.79996
14,2021-07-09 16:28:05.146,2021-07-09 ,16:28:05.146,25,11,0.1363596,8.181576,0.3614063
15,2021-07-10 13:50:41.892,2021-07-09 ,21:17:10.660,-2,1201,0.37578395,911.89795,42.43431

16,2021-07-11 12:57:24.809,2021-07-10 ,15:00:01.102,-2,5111,0.6106911,3817.3457,191.52155
17,2021-07-10 15:00:01.340,2021-07-10 ,15:00:01.340,0,773,1.2665225,578.36,27.289999
18,2021-07-11 15:00:01.206,2021-07-10 ,15:00:01.343,0,3381,1.190294,2462.76,131.79999
19,2021-07-10 15:00:01.920,2021-07-10 ,15:00:01.920,25,619,0.2092749,477.1468,21.796

20,2021-07-11 15:00:02.187,2021-07-11 ,15:00:02.187,25,4018,0.45851365,3053.701,142.31865
21,2021-07-12 12:19:55.423,2021-07-11 ,15:15:01.684,-2,3925,0.850761,2937.8337,146.46945

22,2021-07-12 15:00:01.021,2021-07-12 ,15:00:01.021,0,3453,1.1616076,2538.21,135.2
23,2021-07-12 15:00:01.652,2021-07-12 ,15:00:01.652,25,3175,0.6286942,2414.1855,112.00804
24,2021-07-14 11:29:35.883,2021-07-12 ,23:46:58.831,-2,1539,0.660339,1167.2887,54.9261

25,2021-07-13 16:41:19.660,2021-07-13 ,16:41:19.660,0,1310,1.3025663,985.13,46.789993
26,2021-07-14 15:02:55.450,2021-07-13 ,16:41:20.955,25,911,0.2852656,701.7534,32.238678
27,2021-07-14 13:27:03.762,2021-07-13 ,23:15:06.298,-2,1722,0.4902786,1303.7961,62.943016

28,2021-07-14 15:02:54.085,2021-07-14 ,15:02:54.085,0,1323,1.3273343,996.51996,49.0
29,2021-07-14 15:02:55.436,2021-07-14 ,15:02:55.436,25,656,0.20633277,507.5786,23.359741
30,2021-07-15 12:56:36.973,2021-07-14 ,22:58:02.330,-2,2833,0.48172405,2170.1697,102.25867

31,2021-07-15 15:00:02.069,2021-07-15 ,15:00:02.069,0,1928,1.2862964,1458.52,72.01

33,2021-07-16 12:20:44.154,2021-07-16 ,00:52:02.166,-2,2013,0.44839486,1529.7444,71.672066
34,2021-07-16 15:00:00.903,2021-07-16 ,15:00:00.903,0,565,1.1881652,417.75998,20.869999
35,2021-07-16 15:00:01.741,2021-07-16 ,15:00:01.741,25,1547,0.36043712,1189.4424,54.272186

36,2021-07-17 14:23:10.297,2021-07-17 ,01:38:28.663,-2,1240,0.39464897,967.45654,44.985317
37,2021-07-17 15:00:01.028,2021-07-17 ,15:00:01.028,0,788,1.4026508,613.75,29.079998
38,2021-07-17 15:00:01.756,2021-07-17 ,15:00:01.756,25,510,0.18945406,397.85352,17.893219
39,2021-07-18 14:59:14.570,2021-07-17 ,16:24:49.931,-2,5982,0.5928583,4506.912,220.13173

40,2021-07-18 15:00:00.846,2021-07-18 ,15:00:00.846,0,3845,1.157386,2817.56,148.45999
41,2021-07-18 15:00:01.591,2021-07-18 ,15:00:01.591,25,4674,0.4375689,3596.8164,164.3374
42,2021-07-19 14:06:06.541,2021-07-18 ,22:15:01.756,-2,3955,0.7533894,2993.0244,147.32402

43,2021-07-19 15:00:00.682,2021-07-19 ,15:00:00.682,0,3324,1.2357843,2479.51,129.45998
44,2021-07-19 15:00:01.376,2021-07-19 ,15:00:01.376,25,2729,0.49908227,2096.1455,97.62805
45,2021-07-22 01:59:17.714,2021-07-19 ,16:13:02.519,-2,2402,0.45197716,1813.6945,91.44544

46,2021-07-20 15:00:01.761,2021-07-20 ,15:00:01.761,0,1773,1.1931683,1315.5599,68.479996
47,2021-07-22 15:05:41.014,2021-07-20 ,15:00:02.750,25,1390,0.22928925,1086.831,51.293518
48,2021-07-22 01:59:17.714,2021-07-20 ,15:34:03.986,-2,2069,0.32435995,1566.5836,74.49029

