com.samsung.shealth.rewards,6196009,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-07-08 15:00:00.000,,100003,,2021-08-04 07:36:45.515,2021-07-09 09:36:01.224,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7191}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-08 15:00:00.000,2731c540-c42d-4607-b01f-d779b2f8ae71,1,
,2021-07-31 15:00:00.000,,100003,,2021-08-01 13:48:02.365,2021-08-01 11:43:02.780,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10412}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,996ef3e8-c6cb-44b5-b3dd-97ba80e23e07,1,
,2021-07-08 15:00:00.000,,10009,,2021-07-14 15:02:57.725,2021-07-09 09:35:57.565,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":7180}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-08 15:00:00.000,2d94c65b-0ac1-4007-9c2f-3f8c5fbef12a,1,
,2021-07-09 09:35:00.430,,,,2021-07-18 13:02:37.515,2021-07-09 09:35:00.452,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":74,""mValue2"":60}",OvMFo+Qpk+,com.sec.android.app.shealth,goal.activity,2021-07-09 09:35:00.430,9c59df5f-a273-4b1a-a63c-5f1c277cd384,0,
,2021-08-03 15:00:00.000,,10009,,2021-08-09 15:36:05.368,2021-08-04 15:39:05.012,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":9727}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-03 15:00:00.000,abf2ff95-9e0f-4e14-a3c1-701038dff537,1,
,2021-07-18 13:02:37.500,,,,2021-07-26 11:39:07.263,2021-07-18 13:02:37.522,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":64,""mValue2"":60}",OvMFo+Qpk+,com.sec.android.app.shealth,goal.activity,2021-07-18 13:02:37.500,4bbea322-5fb1-421c-91f7-4778581ffb88,0,
,2021-07-31 15:00:00.000,,100003,,2021-08-05 15:14:40.401,2021-08-05 15:14:40.401,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10412}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,ae82edcf-08e8-43d4-b06a-93225f225f9b,1,
,2021-07-31 15:00:00.000,,100003,,2021-08-26 17:16:21.117,2021-08-01 05:15:36.199,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":10412}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,b3c2e15b-7789-4099-9622-d72213ae8b70,1,
1203,,1002,,bccacf00-a6ff-86f6-5847-3dd6bf329c4a,2021-10-12 04:51:51.643,2021-08-08 02:05:10.174,,,1203,UTC+0900,158000,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-08-08 02:05:06.000,52865247-f65e-4735-8488-c4a1a0ea40bb,0,
,2021-08-03 15:00:00.000,,100003,,2021-08-05 02:04:49.085,2021-08-04 09:09:58.168,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":12317}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-03 15:00:00.000,b79232ef-4774-45cf-b3a5-e6e21f3648a9,1,
1203,,1002,,7616a5a1-b3e5-9fbd-027c-08348fbd4e3b,2021-10-12 04:51:51.643,2021-08-09 07:42:39.511,,,1203,UTC+0900,580000,OvMFo+Qpk+,com.sec.android.app.shealth,sport.tracker.best.record.duration.lifetime,2021-08-09 07:42:37.000,faf4cea0-7059-4f22-b6af-1a013470f251,0,
,2021-07-25 15:00:00.000,,100003,,2021-08-11 12:01:10.010,2021-07-26 11:48:59.505,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6795}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-25 15:00:00.000,528be203-548f-4cfc-aa93-4cb3dc492be5,1,
,2021-08-03 15:00:00.000,,2599999,,2021-08-05 15:14:37.121,2021-08-05 15:14:37.121,,,tracker_pedometer_reward_most_walking_day,UTC+0900,"{""mTarget"":-1,""mValue"":10176}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-03 15:00:00.000,1b4a38e2-2060-43b9-b70e-8e90ff2673df,1,
,2021-08-11 15:00:00.000,,2599999,,2021-08-17 15:00:36.110,2021-08-12 15:00:03.168,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6505}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-08-11 15:00:00.000,c522d9eb-87cf-45ac-a58e-4238152f9a24,1,
,2021-07-31 15:00:00.000,,10009,,2021-08-06 15:00:46.890,2021-08-01 15:00:01.389,,,tracker_pedometer_reward_target_achieved,UTC+0900,"{""mTarget"":6000,""mValue"":6832}",OvMFo+Qpk+,com.sec.android.app.shealth,tracker.pedometer,2021-07-31 15:00:00.000,a9c26b5f-f1bf-429d-9693-00f0c9a5f47a,1,
